amuse,avg_step_ms,best_val_acc,best_val_loss,col_gamma,elapsed_sec,epoch,examples_per_sec,gpu,lr,lr_final_scale,lr_schedule,max_memory_mb,mimuon,mimuon_mix,momentum,normuon,normuon_aspect_scale,normuon_beta,opt_fallback_count,opt_fallback_params,opt_group_count,opt_matrix_count,opt_matrix_params,opt_sfplus,opt_sfplus_adamc_decay,opt_sfplus_beta,opt_sfplus_beta_anneal,opt_sfplus_c_warmup_enabled,opt_sfplus_ckp1,opt_sfplus_grad_l1,opt_sfplus_inner_momentum,opt_sfplus_ip_term,opt_sfplus_lr,opt_sfplus_polyak,opt_sfplus_polyak_lr,opt_soda_weight,optimizer,overall_examples_per_sec,pmuon_beta,pmuon_eq,root_grouping,root_normuon_mode,row_gamma,seed,sfplus_adamc_decay,sfplus_beta1,sfplus_beta1_anneal_steps,sfplus_beta1_max,sfplus_beta_anneal,sfplus_c_warmup,sfplus_c_warmup_enabled,sfplus_inner_momentum,sfplus_polyak,sfplus_polyak_beta,sfplus_r,sfplus_weight_lr_power,soda,split_seed,step,step_timing,test_acc,test_examples,test_loss,torch,train_acc,train_examples,train_loss,train_val_size,trial,type,val_acc,val_examples,val_loss,val_source,weight_decay,wsd_decay_frac
False,23.15860444461745,77.94,0.624948759841919,0.0,44.71384327404667,19,21124.520363714368,NVIDIA RTX PRO 6000 Blackwell Workstation Edition,3.0,0.1,constant,1128.23779296875,False,0.85,0.95,True,False,0.93,,42.0,,,18.0,1.0,1.0,0.9649788765165559,1.0,0.0,0.000574712643678143,186.81988972984254,1.0,0.3215754913120524,0.012118539547132455,1.0,0.004039513182377485,,sfplus,22108.41336421719,0.9,True,anchor,row,0.35,123,True,0.9,1740,0.965,True,0,False,True,True,0.0,0.0,2.0,none,12345,1740,cpu_launch_unsynchronized,77.88,10000,0.6458633145332336,2.13.0.dev20260506+cu130,77.8107040229885,45000,0.6222198941241736,5000,sfplus_PcBDM_lr3_wd2,epoch,77.94,5000,0.624948759841919,train_split,2.0,0.2
False,22.714196781603746,69.34,0.8626229960441589,0.0,44.0153352629859,19,21332.403790321598,NVIDIA RTX PRO 6000 Blackwell Workstation Edition,3.0,0.1,constant,1128.23779296875,False,0.85,0.95,True,False,0.93,,42.0,,,18.0,1.0,1.0,0.9649788765165559,1.0,0.0,0.000574712643678143,670.393538929522,0.0,-0.23245997520845646,0.00270236436775785,1.0,0.0009007881225859499,,sfplus,22540.96875724302,0.9,True,anchor,row,0.35,123,True,0.9,1740,0.965,True,0,False,False,True,0.0,0.0,2.0,none,12345,1740,cpu_launch_unsynchronized,68.21,10000,0.8773720349311829,2.13.0.dev20260506+cu130,67.12239583333333,45000,0.9175870055439829,5000,sfplus_PcBDm_lr3_wd2,epoch,69.34,5000,0.8626229960441589,train_split,2.0,0.2
False,22.97016421403875,77.82,0.6435601088523865,0.0,44.29723769600969,19,20750.94895780405,NVIDIA RTX PRO 6000 Blackwell Workstation Edition,3.0,0.1,constant,1128.23779296875,False,0.85,0.95,True,False,0.93,,42.0,,,18.0,1.0,0.0,0.9649788765165559,1.0,0.0,0.0005747126436781605,98.61555393598974,1.0,0.47747959043316063,0.02801298935135188,1.0,0.009337663117117293,,sfplus,22289.784053310304,0.9,True,anchor,row,0.35,123,False,0.9,1740,0.965,True,0,False,True,True,0.0,0.0,2.0,none,12345,1740,cpu_launch_unsynchronized,77.29,10000,0.6573164882659912,2.13.0.dev20260506+cu130,77.25844109195403,45000,0.6387183066757246,5000,sfplus_PcBdM_lr3_wd2,epoch,77.82,5000,0.6435601088523865,train_split,2.0,0.2
False,22.3145856938175,68.94,0.8571740778923035,0.0,43.115875640069135,19,21308.343656237288,NVIDIA RTX PRO 6000 Blackwell Workstation Edition,3.0,0.1,constant,1128.23779296875,False,0.85,0.95,True,False,0.93,,42.0,,,18.0,1.0,0.0,0.9649788765165559,1.0,0.0,0.0005747126436781605,713.0502563491464,0.0,-0.0842198468717289,0.0030354571549790097,1.0,0.00101181905165967,,sfplus,22944.63392801665,0.9,True,anchor,row,0.35,123,False,0.9,1740,0.965,True,0,False,False,True,0.0,0.0,2.0,none,12345,1740,cpu_launch_unsynchronized,68.32,10000,0.8869962090492248,2.13.0.dev20260506+cu130,67.29750359195403,45000,0.9145160735338583,5000,sfplus_PcBdm_lr3_wd2,epoch,68.94,5000,0.8571740778923035,train_split,2.0,0.2
False,23.01450477084734,78.18,0.6177945812225342,0.0,44.40479180694092,19,20742.70680142491,NVIDIA RTX PRO 6000 Blackwell Workstation Edition,3.0,0.1,constant,1128.23779296875,False,0.85,0.95,True,False,0.93,,42.0,,,18.0,1.0,1.0,0.9,0.0,0.0,0.0005747126436781605,207.8608216419816,1.0,0.3779578225497971,0.011578114967480327,1.0,0.0038593716558267756,,sfplus,22246.83976900318,0.9,True,anchor,row,0.35,123,True,0.9,0,0.965,False,0,False,True,True,0.0,0.0,2.0,none,12345,1740,cpu_launch_unsynchronized,77.97,10000,0.6334690710067749,2.13.0.dev20260506+cu130,79.09931752873563,45000,0.5871138007476412,5000,sfplus_PcbDM_lr3_wd2,epoch,78.18,5000,0.6177945812225342,train_split,2.0,0.2
False,22.56825378689187,69.62,0.8604925409317017,0.0,43.56067628401797,19,21019.19485248325,NVIDIA RTX PRO 6000 Blackwell Workstation Edition,3.0,0.1,constant,1128.23779296875,False,0.85,0.95,True,False,0.93,,42.0,,,18.0,1.0,1.0,0.9,0.0,0.0,0.0005747126436781605,777.3834548294544,0.0,-0.059175581869203575,0.002815387890423119,1.0,0.0009384626301410397,,sfplus,22686.735306804316,0.9,True,anchor,row,0.35,123,True,0.9,0,0.965,False,0,False,False,True,0.0,0.0,2.0,none,12345,1740,cpu_launch_unsynchronized,68.2,10000,0.8802709934234619,2.13.0.dev20260506+cu130,67.31546336206897,45000,0.907364464354241,5000,sfplus_PcbDm_lr3_wd2,epoch,69.62,5000,0.8604925409317017,train_split,2.0,0.2
False,23.094548299191413,77.9,0.6205765134811402,0.0,44.61430358409416,19,21388.51366040886,NVIDIA RTX PRO 6000 Blackwell Workstation Edition,3.0,0.1,constant,1128.23779296875,False,0.85,0.95,True,False,0.93,,42.0,,,18.0,1.0,0.0,0.9,0.0,0.0,0.0005747126436781605,106.10764628928155,1.0,0.31959267951169734,0.02093090538835455,1.0,0.0069769684627848496,,sfplus,22169.734318550243,0.9,True,anchor,row,0.35,123,False,0.9,0,0.965,False,0,False,True,True,0.0,0.0,2.0,none,12345,1740,cpu_launch_unsynchronized,77.88,10000,0.6430127449035644,2.13.0.dev20260506+cu130,78.58746408045977,45000,0.604071957626562,5000,sfplus_PcbdM_lr3_wd2,epoch,77.9,5000,0.6205765134811402,train_split,2.0,0.2
False,22.542114680948742,69.42,0.8547496089935303,0.0,43.46963061008137,19,21973.662290032626,NVIDIA RTX PRO 6000 Blackwell Workstation Edition,3.0,0.1,constant,1128.23779296875,False,0.85,0.95,True,False,0.93,,42.0,,,18.0,1.0,0.0,0.9,0.0,0.0,0.000574712643678143,698.9981095716357,0.0,-0.02660062717041001,0.0032631354236771493,1.0,0.001087711807892383,,sfplus,22713.04211014027,0.9,True,anchor,row,0.35,123,False,0.9,0,0.965,False,0,False,False,True,0.0,0.0,2.0,none,12345,1740,cpu_launch_unsynchronized,68.44,10000,0.8851606474876403,2.13.0.dev20260506+cu130,67.8430316091954,45000,0.8992044384452118,5000,sfplus_Pcbdm_lr3_wd2,epoch,69.42,5000,0.8547496089935303,train_split,2.0,0.2
False,23.129000868072904,78.32,0.6161551886558533,0.0,44.487696619005874,19,20528.188928239866,NVIDIA RTX PRO 6000 Blackwell Workstation Edition,0.008,0.1,constant,1128.23779296875,False,0.85,0.95,True,False,0.93,,42.0,,,18.0,1.0,1.0,0.9649788765165559,1.0,1.0,0.0006024096385542314,393.3174673952162,1.0,0.27761101672590044,0.008,0.0,1.0,,sfplus,22136.710656912157,0.9,True,anchor,row,0.35,123,True,0.9,1740,0.965,True,80,True,True,False,0.0,0.0,2.0,none,12345,1740,cpu_launch_unsynchronized,78.14,10000,0.6379253013610839,2.13.0.dev20260506+cu130,78.88829022988506,45000,0.5906944172135715,5000,sfplus_pCBDM_lr0.008_wd2,epoch,78.32,5000,0.6161551886558533,train_split,2.0,0.2
False,22.10307709087254,71.92,0.7849715404510498,0.0,42.978992418036796,19,22039.52128873996,NVIDIA RTX PRO 6000 Blackwell Workstation Edition,0.008,0.1,constant,1128.23779296875,False,0.85,0.95,True,False,0.93,,42.0,,,18.0,1.0,1.0,0.9649788765165559,1.0,1.0,0.0006024096385542314,966.3888805285096,0.0,0.161093249152095,0.008,0.0,1.0,,sfplus,23164.195550466153,0.9,True,anchor,row,0.35,123,True,0.9,1740,0.965,True,80,True,False,False,0.0,0.0,2.0,none,12345,1740,cpu_launch_unsynchronized,72.21,10000,0.8027155550956726,2.13.0.dev20260506+cu130,71.06232040229885,45000,0.8121845235769776,5000,sfplus_pCBDm_lr0.008_wd2,epoch,71.92,5000,0.7849715404510498,train_split,2.0,0.2
False,22.814807287235368,78.54,0.6150431280136108,0.0,44.087317753001116,19,21566.3998468211,NVIDIA RTX PRO 6000 Blackwell Workstation Edition,0.008,0.1,constant,1128.23779296875,False,0.85,0.95,True,False,0.93,,42.0,,,18.0,1.0,0.0,0.9649788765165559,1.0,1.0,0.0006024096385542314,373.46254236996174,1.0,0.47476552090986307,0.008,0.0,1.0,,sfplus,22441.56584598715,0.9,True,anchor,row,0.35,123,False,0.9,1740,0.965,True,80,True,True,False,0.0,0.0,2.0,none,12345,1740,cpu_launch_unsynchronized,78.31,10000,0.6312099637985229,2.13.0.dev20260506+cu130,78.88829022988506,45000,0.5890655462769256,5000,sfplus_pCBdM_lr0.008_wd2,epoch,78.5,5000,0.6150431280136108,train_split,2.0,0.2
False,22.282499014654185,71.68,0.7874369134902954,0.0,43.134447449003346,19,20854.363975039403,NVIDIA RTX PRO 6000 Blackwell Workstation Edition,0.008,0.1,constant,1128.23779296875,False,0.85,0.95,True,False,0.93,,42.0,,,18.0,1.0,0.0,0.9649788765165559,1.0,1.0,0.0006024096385542314,880.2218699604273,0.0,0.09524790103652288,0.008,0.0,1.0,,sfplus,22977.674077906653,0.9,True,anchor,row,0.35,123,False,0.9,1740,0.965,True,80,True,False,False,0.0,0.0,2.0,none,12345,1740,cpu_launch_unsynchronized,71.76,10000,0.8023853461265564,2.13.0.dev20260506+cu130,70.9612966954023,45000,0.8124215109594937,5000,sfplus_pCBdm_lr0.008_wd2,epoch,71.68,5000,0.7874369134902954,train_split,2.0,0.2
False,22.865858559239783,79.2,0.5865594117164612,0.0,44.04419822792988,19,20752.055497968446,NVIDIA RTX PRO 6000 Blackwell Workstation Edition,0.008,0.1,constant,1128.23779296875,False,0.85,0.95,True,False,0.93,,42.0,,,18.0,1.0,1.0,0.9,0.0,1.0,0.0006024096385542314,364.3933207169175,1.0,0.4715932159408111,0.008,0.0,1.0,,sfplus,22391.461867637056,0.9,True,anchor,row,0.35,123,True,0.9,0,0.965,False,80,True,True,False,0.0,0.0,2.0,none,12345,1740,cpu_launch_unsynchronized,79.45,10000,0.605688406944275,2.13.0.dev20260506+cu130,80.5383441091954,45000,0.543051041063221,5000,sfplus_pCbDM_lr0.008_wd2,epoch,79.2,5000,0.5865594117164612,train_split,2.0,0.2
False,22.443317783589677,72.28,0.7858879529953003,0.0,43.47549716604408,19,20913.606162023567,NVIDIA RTX PRO 6000 Blackwell Workstation Edition,0.008,0.1,constant,1128.23779296875,False,0.85,0.95,True,False,0.93,,42.0,,,18.0,1.0,1.0,0.9,0.0,1.0,0.0006024096385542314,1033.4376028999686,0.0,0.27001978371699814,0.008,0.0,1.0,,sfplus,22813.026350959975,0.9,True,anchor,row,0.35,123,True,0.9,0,0.965,False,80,True,False,False,0.0,0.0,2.0,none,12345,1740,cpu_launch_unsynchronized,71.93,10000,0.8036460054397583,2.13.0.dev20260506+cu130,71.04660560344827,45000,0.8092130025227865,5000,sfplus_pCbDm_lr0.008_wd2,epoch,72.28,5000,0.7858879529953003,train_split,2.0,0.2
False,22.9329767489763,79.24,0.5917694684028626,0.0,44.18522774998564,19,20759.870418034625,NVIDIA RTX PRO 6000 Blackwell Workstation Edition,0.008,0.1,constant,1128.23779296875,False,0.85,0.95,True,False,0.93,,42.0,,,18.0,1.0,0.0,0.9,0.0,1.0,0.0006024096385542314,349.39686382189393,1.0,0.35059198709204803,0.008,0.0,1.0,,sfplus,22325.92853532872,0.9,True,anchor,row,0.35,123,False,0.9,0,0.965,False,80,True,True,False,0.0,0.0,2.0,none,12345,1740,cpu_launch_unsynchronized,78.94,10000,0.6110644733428955,2.13.0.dev20260506+cu130,80.57426364942529,45000,0.5469178341586014,5000,sfplus_pCbdM_lr0.008_wd2,epoch,79.24,5000,0.5917694684028626,train_split,2.0,0.2
False,22.58382470777858,71.34,0.7908729310035706,0.0,43.56083132897038,19,20874.401498324958,NVIDIA RTX PRO 6000 Blackwell Workstation Edition,0.008,0.1,constant,1128.23779296875,False,0.85,0.95,True,False,0.93,,42.0,,,18.0,1.0,0.0,0.9,0.0,1.0,0.0006024096385542314,1062.7050749473274,0.0,0.3061660826148,0.008,0.0,1.0,,sfplus,22671.09343191329,0.9,True,anchor,row,0.35,123,False,0.9,0,0.965,False,80,True,False,False,0.0,0.0,2.0,none,12345,1740,cpu_launch_unsynchronized,72.0,10000,0.8009671015739441,2.13.0.dev20260506+cu130,70.88721264367815,45000,0.811258501705082,5000,sfplus_pCbdm_lr0.008_wd2,epoch,71.34,5000,0.7908729310035706,train_split,2.0,0.2
False,22.845744833968386,78.46,0.6278290548324585,0.0,44.000833768979646,19,20899.867224510876,NVIDIA RTX PRO 6000 Blackwell Workstation Edition,0.008,0.1,constant,1128.23779296875,False,0.85,0.95,True,False,0.93,,42.0,,,18.0,1.0,1.0,0.9649788765165559,1.0,0.0,0.0005747126436781764,368.5777926519513,1.0,0.43900649111000045,0.008,0.0,1.0,,sfplus,22411.175635592695,0.9,True,anchor,row,0.35,123,True,0.9,1740,0.965,True,0,False,True,False,0.0,0.0,2.0,none,12345,1740,cpu_launch_unsynchronized,77.38,10000,0.6555568822860718,2.13.0.dev20260506+cu130,78.43256106321839,45000,0.6122218048435518,5000,sfplus_pcBDM_lr0.008_wd2,epoch,78.46,5000,0.6278290548324585,train_split,2.0,0.2
False,22.43747716928811,71.18,0.8048952676773071,0.0,43.435349243925884,19,22074.08047319431,NVIDIA RTX PRO 6000 Blackwell Workstation Edition,0.008,0.1,constant,1128.23779296875,False,0.85,0.95,True,False,0.93,,42.0,,,18.0,1.0,1.0,0.9649788765165559,1.0,0.0,0.0005747126436781764,1083.7324924319983,0.0,0.3842038577601793,0.008,0.0,1.0,,sfplus,22818.964723039968,0.9,True,anchor,row,0.35,123,True,0.9,1740,0.965,True,0,False,False,False,0.0,0.0,2.0,none,12345,1740,cpu_launch_unsynchronized,70.46,10000,0.8285551001548767,2.13.0.dev20260506+cu130,70.29454022988506,45000,0.8339071979467896,5000,sfplus_pcBDm_lr0.008_wd2,epoch,71.18,5000,0.8048952676773071,train_split,2.0,0.2
False,22.870508872705845,78.44,0.6239118414878845,0.0,44.04031079902779,19,21823.717534292697,NVIDIA RTX PRO 6000 Blackwell Workstation Edition,0.008,0.1,constant,1128.23779296875,False,0.85,0.95,True,False,0.93,,42.0,,,18.0,1.0,0.0,0.9649788765165559,1.0,0.0,0.0005747126436781764,369.60162226110697,1.0,0.6188873217048187,0.008,0.0,1.0,,sfplus,22386.90895990652,0.9,True,anchor,row,0.35,123,False,0.9,1740,0.965,True,0,False,True,False,0.0,0.0,2.0,none,12345,1740,cpu_launch_unsynchronized,77.59,10000,0.6526570912361145,2.13.0.dev20260506+cu130,78.04418103448276,45000,0.6166120185249153,5000,sfplus_pcBdM_lr0.008_wd2,epoch,78.44,5000,0.6239118414878845,train_split,2.0,0.2
False,22.388503729197165,71.1,0.8080340931892395,0.0,43.25092044903431,19,22228.293162850183,NVIDIA RTX PRO 6000 Blackwell Workstation Edition,0.008,0.1,constant,1128.23779296875,False,0.85,0.95,True,False,0.93,,42.0,,,18.0,1.0,0.0,0.9649788765165559,1.0,0.0,0.0005747126436781764,1038.8699676766992,0.0,0.3444325413111903,0.008,0.0,1.0,,sfplus,22868.879769410116,0.9,True,anchor,row,0.35,123,False,0.9,1740,0.965,True,0,False,False,False,0.0,0.0,2.0,none,12345,1740,cpu_launch_unsynchronized,70.43,10000,0.8303335763931274,2.13.0.dev20260506+cu130,70.26086566091954,45000,0.8340408343008194,5000,sfplus_pcBdm_lr0.008_wd2,epoch,71.1,5000,0.8080340931892395,train_split,2.0,0.2
False,22.917083398527303,79.32,0.6043843359470368,0.0,44.17403951508459,19,21572.300345078937,NVIDIA RTX PRO 6000 Blackwell Workstation Edition,0.008,0.1,constant,1128.23779296875,False,0.85,0.95,True,False,0.93,,42.0,,,18.0,1.0,1.0,0.9,0.0,0.0,0.0005747126436781764,380.17800092697144,1.0,0.4328678042453247,0.008,0.0,1.0,,sfplus,22341.411910771425,0.9,True,anchor,row,0.35,123,True,0.9,0,0.965,False,0,False,True,False,0.0,0.0,2.0,none,12345,1740,cpu_launch_unsynchronized,78.03,10000,0.6300627021789551,2.13.0.dev20260506+cu130,79.5056573275862,45000,0.5715864266472301,5000,sfplus_pcbDM_lr0.008_wd2,epoch,79.32,5000,0.6043843359470368,train_split,2.0,0.2
False,22.301800748943513,71.24,0.8011517649650574,0.0,43.18898661702406,19,22201.04533622605,NVIDIA RTX PRO 6000 Blackwell Workstation Edition,0.008,0.1,constant,1128.23779296875,False,0.85,0.95,True,False,0.93,,42.0,,,18.0,1.0,1.0,0.9,0.0,0.0,0.0005747126436781764,1138.8254104107618,0.0,0.43691179786110296,0.008,0.0,1.0,,sfplus,22957.787389623893,0.9,True,anchor,row,0.35,123,True,0.9,0,0.965,False,0,False,False,False,0.0,0.0,2.0,none,12345,1740,cpu_launch_unsynchronized,70.82,10000,0.8226766885757446,2.13.0.dev20260506+cu130,70.3753591954023,45000,0.8338805656323488,5000,sfplus_pcbDm_lr0.008_wd2,epoch,71.24,5000,0.8011517649650574,train_split,2.0,0.2
False,23.144815982207014,79.5,0.6017682294845581,0.0,44.78844803094398,19,20730.690020381877,NVIDIA RTX PRO 6000 Blackwell Workstation Edition,0.008,0.1,constant,1128.23779296875,False,0.85,0.95,True,False,0.93,,42.0,,,18.0,1.0,0.0,0.9,0.0,0.0,0.0005747126436781764,354.73149916902184,1.0,0.586110363228363,0.008,0.0,1.0,,sfplus,22121.584392531313,0.9,True,anchor,row,0.35,123,False,0.9,0,0.965,False,0,False,True,False,0.0,0.0,2.0,none,12345,1740,cpu_launch_unsynchronized,78.13,10000,0.6262682948112488,2.13.0.dev20260506+cu130,79.4225933908046,45000,0.5735305160626598,5000,sfplus_pcbdM_lr0.008_wd2,epoch,79.5,5000,0.6017682294845581,train_split,2.0,0.2
