amuse,avg_step_ms,best_val_acc,best_val_loss,col_gamma,elapsed_sec,epoch,examples_per_sec,gpu,lr,lr_schedule,max_memory_mb,mimuon,mimuon_mix,momentum,normuon,normuon_aspect_scale,normuon_beta,opt_beta,opt_lr,opt_matrix_params,opt_mimuon_params,opt_normuon_aspect_params,opt_normuon_params,opt_params,opt_step,opt_sync_diagnostics,optimizer,overall_examples_per_sec,pmuon_beta,pmuon_eq,row_gamma,seed,soda,step,step_timing,torch,train_acc,train_loss,trial,type,val_acc,val_loss,weight_decay
True,11.682769807321227,68.5,0.8845424629211426,0.0,17.49533074395731,11,37421.405480776244,NVIDIA RTX PRO 6000 Blackwell Workstation Edition,0.004,cosine,1124.625,False,0.85,0.95,False,False,0.95,,,,,,,,,,adamw,43825.22367933207,0.95,True,0.2,123,matrix,1164,cpu_launch_unsynchronized,2.13.0.dev20260506+cu130,66.7626449742268,0.9214714439873842,adamw_cosine_lr0.004_wd0.001,epoch,68.5,0.8845424629211426,0.001
False,20.361053648555195,77.15,0.651200585269928,0.05,27.473828161950223,11,22476.70139044822,NVIDIA RTX PRO 6000 Blackwell Workstation Edition,0.008,cosine,1126.43212890625,False,0.85,0.95,True,True,0.93,1.0,0.008,18.0,0.0,18.0,18.0,60.0,1164.0,0.0,anchormuon,25146.04640984928,0.9,True,0.35,123,all,1164,cpu_launch_unsynchronized,2.13.0.dev20260506+cu130,74.4885631443299,0.7189834855266453,normuon_aspect_mlr0.008_rg0.35_cg0.05_mom0.95_pb0.9_nb0.93,epoch,77.15,0.651200585269928,0.05
False,19.73818858220927,76.97,0.6615561263084412,0.05,26.62414897501003,11,24959.21176145624,NVIDIA RTX PRO 6000 Blackwell Workstation Edition,0.008,cosine,1126.43212890625,False,0.85,0.95,True,True,0.95,1.0,0.008,18.0,0.0,18.0,18.0,60.0,1164.0,0.0,anchormuon,25939.56369742479,0.9,True,0.35,123,all,1164,cpu_launch_unsynchronized,2.13.0.dev20260506+cu130,74.34761597938144,0.7297584463640586,normuon_aspect_mlr0.008_rg0.35_cg0.05_mom0.95_pb0.9_nb0.95,epoch,76.97,0.6615561263084412,0.05
False,19.825870503433038,76.65,0.6676230296134948,0.0,26.748919441946782,11,23405.485268587872,NVIDIA RTX PRO 6000 Blackwell Workstation Edition,0.008,cosine,1126.43212890625,False,0.85,0.95,True,True,0.93,1.0,0.008,18.0,0.0,18.0,18.0,60.0,1164.0,0.0,anchormuon,25824.843348560276,0.9,True,0.35,123,all,1164,cpu_launch_unsynchronized,2.13.0.dev20260506+cu130,74.40399484536083,0.7275952235939577,normuon_aspect_mlr0.008_rg0.35_cg0_mom0.95_pb0.9_nb0.93,epoch,76.65,0.6676230296134948,0.05
False,19.964270585951077,77.59,0.644007495880127,0.0,26.88361379201524,11,24433.205603942253,NVIDIA RTX PRO 6000 Blackwell Workstation Edition,0.008,cosine,1126.43212890625,False,0.85,0.95,True,True,0.95,1.0,0.008,18.0,0.0,18.0,18.0,60.0,1164.0,0.0,anchormuon,25645.815498027565,0.9,True,0.35,123,all,1164,cpu_launch_unsynchronized,2.13.0.dev20260506+cu130,74.47245489690722,0.7243637184506839,normuon_aspect_mlr0.008_rg0.35_cg0_mom0.95_pb0.9_nb0.95,epoch,77.59,0.644007495880127,0.05
False,20.59678952357671,76.18,0.671048171710968,0.05,27.742066982900724,11,22812.30197511945,NVIDIA RTX PRO 6000 Blackwell Workstation Edition,0.008,cosine,1126.43212890625,False,0.85,0.95,True,True,0.93,1.0,0.008,18.0,0.0,18.0,18.0,60.0,1164.0,0.0,anchormuon,24858.243048700595,0.9,True,0.3,123,all,1164,cpu_launch_unsynchronized,2.13.0.dev20260506+cu130,74.02545103092784,0.7382417437956506,normuon_aspect_mlr0.008_rg0.3_cg0.05_mom0.95_pb0.9_nb0.93,epoch,76.18,0.671048171710968,0.05
False,20.309477363020193,76.44,0.6721431427955628,0.05,27.367586005013436,11,24223.816785305626,NVIDIA RTX PRO 6000 Blackwell Workstation Edition,0.008,cosine,1126.43212890625,False,0.85,0.95,True,True,0.95,1.0,0.008,18.0,0.0,18.0,18.0,60.0,1164.0,0.0,anchormuon,25209.905250061107,0.9,True,0.3,123,all,1164,cpu_launch_unsynchronized,2.13.0.dev20260506+cu130,74.06169458762886,0.731537479715249,normuon_aspect_mlr0.008_rg0.3_cg0.05_mom0.95_pb0.9_nb0.95,epoch,76.44,0.6721431427955628,0.05
False,20.103734567792625,77.17,0.6530255069732666,0.0,27.056814900017343,11,22545.223146920416,NVIDIA RTX PRO 6000 Blackwell Workstation Edition,0.008,cosine,1126.43212890625,False,0.85,0.95,True,True,0.93,1.0,0.008,18.0,0.0,18.0,18.0,60.0,1164.0,0.0,anchormuon,25467.904894658444,0.9,True,0.3,123,all,1164,cpu_launch_unsynchronized,2.13.0.dev20260506+cu130,74.19660115979381,0.734010373808674,normuon_aspect_mlr0.008_rg0.3_cg0_mom0.95_pb0.9_nb0.93,epoch,77.17,0.6530255069732666,0.05
False,19.74195222145497,76.09,0.6924623866081238,0.0,26.765694281901233,11,22665.760500400753,NVIDIA RTX PRO 6000 Blackwell Workstation Edition,0.008,cosine,1126.43212890625,False,0.85,0.95,True,True,0.95,1.0,0.008,18.0,0.0,18.0,18.0,60.0,1164.0,0.0,anchormuon,25934.61853501872,0.9,True,0.3,123,all,1164,cpu_launch_unsynchronized,2.13.0.dev20260506+cu130,74.3737918814433,0.7280679369710156,normuon_aspect_mlr0.008_rg0.3_cg0_mom0.95_pb0.9_nb0.95,epoch,76.09,0.6924623866081238,0.05
False,20.635260406863967,76.75,0.6564978909492493,0.05,27.784967201994732,11,22639.50212783785,NVIDIA RTX PRO 6000 Blackwell Workstation Edition,0.008,cosine,1126.43212890625,False,0.85,0.95,True,False,0.93,1.0,0.008,18.0,0.0,0.0,18.0,60.0,1164.0,0.0,anchormuon,24811.899142774662,0.9,True,0.35,123,all,1164,cpu_launch_unsynchronized,2.13.0.dev20260506+cu130,74.10599226804123,0.7323989216814336,normuon_mlr0.008_rg0.35_cg0.05_mom0.95_pb0.9_nb0.93,epoch,76.75,0.6564978909492493,0.05
False,20.328625652893475,77.81,0.6396769261360169,0.05,27.40851311304141,11,23144.921806027847,NVIDIA RTX PRO 6000 Blackwell Workstation Edition,0.008,cosine,1126.43212890625,False,0.85,0.95,True,False,0.95,1.0,0.008,18.0,0.0,0.0,18.0,60.0,1164.0,0.0,anchormuon,25186.15910107649,0.9,True,0.35,123,all,1164,cpu_launch_unsynchronized,2.13.0.dev20260506+cu130,74.5348743556701,0.7192193269729614,normuon_mlr0.008_rg0.35_cg0.05_mom0.95_pb0.9_nb0.95,epoch,77.81,0.6396769261360169,0.05
False,20.231523256008018,76.35,0.6742353548049926,0.0,27.275764812948182,11,23549.67172204309,NVIDIA RTX PRO 6000 Blackwell Workstation Edition,0.008,cosine,1126.43212890625,False,0.85,0.95,True,False,0.93,1.0,0.008,18.0,0.0,0.0,18.0,60.0,1164.0,0.0,anchormuon,25307.041566825912,0.9,True,0.35,123,all,1164,cpu_launch_unsynchronized,2.13.0.dev20260506+cu130,73.98719394329896,0.7351083085709011,normuon_mlr0.008_rg0.35_cg0_mom0.95_pb0.9_nb0.93,epoch,76.35,0.6742353548049926,0.05
False,20.130013893906483,77.3,0.6469252016067505,0.0,27.002816962078214,11,23307.22949708352,NVIDIA RTX PRO 6000 Blackwell Workstation Edition,0.008,cosine,1126.43212890625,False,0.85,0.95,True,False,0.95,1.0,0.008,18.0,0.0,0.0,18.0,60.0,1164.0,0.0,anchormuon,25434.657059774137,0.9,True,0.35,123,all,1164,cpu_launch_unsynchronized,2.13.0.dev20260506+cu130,74.20062822164948,0.7285032462827938,normuon_mlr0.008_rg0.35_cg0_mom0.95_pb0.9_nb0.95,epoch,77.3,0.6469252016067505,0.05
False,20.449413239569452,77.26,0.6582276743888855,0.05,27.483052994008176,11,24432.55065401376,NVIDIA RTX PRO 6000 Blackwell Workstation Edition,0.008,cosine,1126.43212890625,False,0.85,0.95,True,False,0.93,1.0,0.008,18.0,0.0,0.0,18.0,60.0,1164.0,0.0,anchormuon,25037.39320056793,0.9,True,0.3,123,all,1164,cpu_launch_unsynchronized,2.13.0.dev20260506+cu130,74.5691043814433,0.719890896192531,normuon_mlr0.008_rg0.3_cg0.05_mom0.95_pb0.9_nb0.93,epoch,77.26,0.6582276743888855,0.05
False,20.26583404537079,77.17,0.6462632948875427,0.05,27.294831019011326,11,22657.955579417892,NVIDIA RTX PRO 6000 Blackwell Workstation Edition,0.008,cosine,1126.43212890625,False,0.85,0.95,True,False,0.95,1.0,0.008,18.0,0.0,0.0,18.0,60.0,1164.0,0.0,anchormuon,25264.19583096079,0.9,True,0.3,123,all,1164,cpu_launch_unsynchronized,2.13.0.dev20260506+cu130,74.70803801546391,0.7171734491574395,normuon_mlr0.008_rg0.3_cg0.05_mom0.95_pb0.9_nb0.95,epoch,77.17,0.6462632948875427,0.05
False,20.16061697518485,77.36,0.6505710933685303,0.0,27.18724836804904,11,23078.72631007421,NVIDIA RTX PRO 6000 Blackwell Workstation Edition,0.008,cosine,1126.43212890625,False,0.85,0.95,True,False,0.93,1.0,0.008,18.0,0.0,0.0,18.0,60.0,1164.0,0.0,anchormuon,25396.048178000045,0.9,True,0.3,123,all,1164,cpu_launch_unsynchronized,2.13.0.dev20260506+cu130,74.62749677835052,0.720387904914384,normuon_mlr0.008_rg0.3_cg0_mom0.95_pb0.9_nb0.93,epoch,77.36,0.6505710933685303,0.05
False,19.910710094867856,77.56,0.6430756895065307,0.0,26.907435048022307,11,23088.30371241772,NVIDIA RTX PRO 6000 Blackwell Workstation Edition,0.008,cosine,1126.43212890625,False,0.85,0.95,True,False,0.95,1.0,0.008,18.0,0.0,0.0,18.0,60.0,1164.0,0.0,anchormuon,25714.803618780632,0.9,True,0.3,123,all,1164,cpu_launch_unsynchronized,2.13.0.dev20260506+cu130,74.68588917525773,0.716814194143433,normuon_mlr0.008_rg0.3_cg0_mom0.95_pb0.9_nb0.95,epoch,77.56,0.6430756895065307,0.05
