amuse,avg_step_ms,best_val_acc,best_val_loss,col_gamma,elapsed_sec,epoch,examples_per_sec,gpu,lr,lr_final_scale,lr_schedule,max_memory_mb,mimuon,mimuon_mix,momentum,normuon,normuon_aspect_scale,normuon_beta,opt_beta,opt_gram_params,opt_lr,opt_matrix_params,opt_mimuon_params,opt_normuon_aspect_params,opt_normuon_params,opt_params,opt_step,opt_sync_diagnostics,optimizer,overall_examples_per_sec,pmuon_beta,pmuon_eq,root_grouping,root_normuon_mode,row_gamma,seed,sfplus_adamc_decay,sfplus_beta1,sfplus_beta1_anneal_steps,sfplus_beta1_max,sfplus_beta_anneal,sfplus_c_warmup,sfplus_c_warmup_enabled,sfplus_inner_momentum,sfplus_polyak,sfplus_polyak_beta,sfplus_r,sfplus_weight_lr_power,soda,split_seed,step,step_timing,test_examples,torch,train_acc,train_examples,train_loss,train_val_size,trial,type,use_gram,val_acc,val_examples,val_loss,val_source,weight_decay,wsd_decay_frac
False,17.104013941618273,67.72,0.9059804869651794,0.0,20.66891675500665,11,28553.025804278554,NVIDIA RTX PRO 6000 Blackwell Workstation Edition,0.004,0.1,wsd,1126.43212890625,False,0.85,0.95,True,False,0.93,1.0,0.0,0.004,18.0,0.0,0.0,18.0,60.0,1044.0,0.0,anchormuon,29934.49384148232,0.9,True,anchor,row,0.25,123,False,0.9,0,0.965,False,0,False,False,False,0.0,0.0,2.0,all,12345,1044,cpu_launch_unsynchronized,10000,2.13.0.dev20260506+cu130,65.45213721264368,45000,0.9624401488523374,5000,component_no_gram_lr0.004_rg0.25_pb0.9_nb0.93,epoch,False,67.72,5000,0.9059804869651794,train_split,0.001,0.2
False,16.76760412488575,66.82,0.9316403992652893,0.0,20.28681495296769,11,29939.297087319017,NVIDIA RTX PRO 6000 Blackwell Workstation Edition,0.004,0.1,wsd,1126.43212890625,False,0.85,0.95,True,False,0.93,1.0,0.0,0.004,18.0,0.0,0.0,18.0,60.0,1044.0,0.0,anchormuon,30535.072046465586,0.9,True,anchor,row,0.35,123,False,0.9,0,0.965,False,0,False,False,False,0.0,0.0,2.0,all,12345,1044,cpu_launch_unsynchronized,10000,2.13.0.dev20260506+cu130,65.50152658045977,45000,0.9654122323825441,5000,component_no_gram_lr0.004_rg0.35_pb0.9_nb0.93,epoch,False,66.82,5000,0.9316403992652893,train_split,0.001,0.2
False,16.912291705464746,66.56,0.9273085978507996,0.0,20.469461300992407,11,27709.650960959978,NVIDIA RTX PRO 6000 Blackwell Workstation Edition,0.004,0.1,wsd,1126.43212890625,False,0.85,0.95,True,False,0.93,1.0,0.0,0.004,18.0,0.0,0.0,18.0,60.0,1044.0,0.0,anchormuon,30273.83922396284,0.9,True,anchor,row,0.45,123,False,0.9,0,0.965,False,0,False,False,False,0.0,0.0,2.0,all,12345,1044,cpu_launch_unsynchronized,10000,2.13.0.dev20260506+cu130,65.0951867816092,45000,0.9757522481611405,5000,component_no_gram_lr0.004_rg0.45_pb0.9_nb0.93,epoch,False,66.56,5000,0.9273085978507996,train_split,0.001,0.2
False,17.056561992311906,67.84,0.9053763861656189,0.0,20.625208353972994,11,28591.06756235016,NVIDIA RTX PRO 6000 Blackwell Workstation Edition,0.006,0.1,wsd,1126.43212890625,False,0.85,0.95,True,False,0.93,1.0,0.0,0.006,18.0,0.0,0.0,18.0,60.0,1044.0,0.0,anchormuon,30017.77264555304,0.9,True,anchor,row,0.25,123,False,0.9,0,0.965,False,0,False,False,False,0.0,0.0,2.0,all,12345,1044,cpu_launch_unsynchronized,10000,2.13.0.dev20260506+cu130,65.5621408045977,45000,0.9674909409435316,5000,component_no_gram_lr0.006_rg0.25_pb0.9_nb0.93,epoch,False,67.84,5000,0.9053763861656189,train_split,0.001,0.2
False,17.297082016948377,68.48,0.890811125278473,0.0,20.855519472039305,11,27658.8737379305,NVIDIA RTX PRO 6000 Blackwell Workstation Edition,0.006,0.1,wsd,1126.43212890625,False,0.85,0.95,True,False,0.93,1.0,0.0,0.006,18.0,0.0,0.0,18.0,60.0,1044.0,0.0,anchormuon,29600.3684030822,0.9,True,anchor,row,0.35,123,False,0.9,0,0.965,False,0,False,False,False,0.0,0.0,2.0,all,12345,1044,cpu_launch_unsynchronized,10000,2.13.0.dev20260506+cu130,66.31420617816092,45000,0.9484756116209359,5000,component_no_gram_lr0.006_rg0.35_pb0.9_nb0.93,epoch,False,68.48,5000,0.890811125278473,train_split,0.001,0.2
False,16.8719959923225,67.98,0.9064723592758178,0.0,20.45888329402078,11,27576.210689861793,NVIDIA RTX PRO 6000 Blackwell Workstation Edition,0.006,0.1,wsd,1126.43212890625,False,0.85,0.95,True,False,0.93,1.0,0.0,0.006,18.0,0.0,0.0,18.0,60.0,1044.0,0.0,anchormuon,30346.142817541124,0.9,True,anchor,row,0.45,123,False,0.9,0,0.965,False,0,False,False,False,0.0,0.0,2.0,all,12345,1044,cpu_launch_unsynchronized,10000,2.13.0.dev20260506+cu130,66.10317887931035,45000,0.9581569344147869,5000,component_no_gram_lr0.006_rg0.45_pb0.9_nb0.93,epoch,False,67.98,5000,0.9064723592758178,train_split,0.001,0.2
False,17.33176803612864,67.88,0.8875872923851014,0.0,20.90494551602751,11,28459.66325980472,NVIDIA RTX PRO 6000 Blackwell Workstation Edition,0.008,0.1,wsd,1126.43212890625,False,0.85,0.95,True,False,0.93,1.0,0.0,0.008,18.0,0.0,0.0,18.0,60.0,1044.0,0.0,anchormuon,29541.129268100012,0.9,True,anchor,row,0.35,123,False,0.9,0,0.965,False,0,False,False,False,0.0,0.0,2.0,all,12345,1044,cpu_launch_unsynchronized,10000,2.13.0.dev20260506+cu130,65.01436781609195,45000,0.9802084366480509,5000,component_no_gram_lr0.008_rg0.35_pb0.9_nb0.93,epoch,False,67.88,5000,0.8875872923851014,train_split,0.001,0.2
False,19.486682255457108,73.06,0.757506016921997,0.0,23.183409780962393,11,25023.32227836695,NVIDIA RTX PRO 6000 Blackwell Workstation Edition,0.004,0.1,wsd,1126.41162109375,False,0.85,0.95,False,False,0.93,1.0,18.0,0.004,18.0,0.0,0.0,0.0,60.0,1044.0,0.0,anchormuon,26274.354622712544,0.9,True,anchor,row,0.35,123,False,0.9,0,0.965,False,0,False,False,False,0.0,0.0,2.0,all,12345,1044,cpu_launch_unsynchronized,10000,2.13.0.dev20260506+cu130,71.1700790229885,45000,0.8140147705187742,5000,component_no_normuon_lr0.004_rg0.35_pb0.9_nb0.93,epoch,True,73.06,5000,0.7576198554992676,train_split,0.001,0.2
False,19.53752201150432,74.02,0.7242051452636719,0.0,23.2165265789954,11,25159.87502372088,NVIDIA RTX PRO 6000 Blackwell Workstation Edition,0.006,0.1,wsd,1126.41162109375,False,0.85,0.95,False,False,0.93,1.0,18.0,0.006,18.0,0.0,0.0,0.0,60.0,1044.0,0.0,anchormuon,26205.984551086774,0.9,True,anchor,row,0.25,123,False,0.9,0,0.965,False,0,False,False,False,0.0,0.0,2.0,all,12345,1044,cpu_launch_unsynchronized,10000,2.13.0.dev20260506+cu130,71.91540948275862,45000,0.7875019606502577,5000,component_no_normuon_lr0.006_rg0.25_pb0.9_nb0.93,epoch,True,73.66,5000,0.7320468214035034,train_split,0.001,0.2
False,19.45338820156791,74.56,0.7156590992927552,0.0,23.13320865901187,11,25366.463740148953,NVIDIA RTX PRO 6000 Blackwell Workstation Edition,0.006,0.1,wsd,1126.41162109375,False,0.85,0.95,False,False,0.93,1.0,18.0,0.006,18.0,0.0,0.0,0.0,60.0,1044.0,0.0,anchormuon,26319.322613360157,0.9,True,anchor,row,0.35,123,False,0.9,0,0.965,False,0,False,False,False,0.0,0.0,2.0,all,12345,1044,cpu_launch_unsynchronized,10000,2.13.0.dev20260506+cu130,72.57318606321839,45000,0.779275314561252,5000,component_no_normuon_lr0.006_rg0.35_pb0.9_nb0.93,epoch,True,74.56,5000,0.7156590992927552,train_split,0.001,0.2
