amuse,avg_step_ms,best_val_acc,best_val_loss,col_gamma,elapsed_sec,epoch,examples_per_sec,gpu,lr,lr_schedule,max_memory_mb,mimuon,mimuon_mix,momentum,normuon,normuon_beta,opt_beta,opt_lr,opt_matrix_params,opt_mean_precond_matrix_rms,opt_mean_update_rms,opt_mimuon_params,opt_normuon_params,opt_params,opt_step,optimizer,overall_examples_per_sec,pmuon_beta,pmuon_eq,row_gamma,seed,soda,step,torch,train_acc,train_loss,trial,type,val_acc,val_loss,weight_decay
True,11.807761641192855,73.54,0.7449942845344544,0.0,28.369515424012206,19,36385.46860292331,NVIDIA RTX PRO 6000 Blackwell Workstation Edition,0.004,cosine,1124.625,False,0.85,0.95,False,0.95,,,,,,,,,,adamw,43361.3089049684,0.95,True,0.2,101112,matrix,1940,2.13.0.dev20260506+cu130,73.42541881443299,0.7456361202849555,final_adamw_adamw_cosine_lr0.004_wd0.001_seed101112,epoch,73.54,0.7449942845344544,0.001
True,11.830525011419482,74.2,0.7335077040672302,0.0,28.41281460702885,19,38839.95599675503,NVIDIA RTX PRO 6000 Blackwell Workstation Edition,0.004,cosine,1124.625,False,0.85,0.95,False,0.95,,,,,,,,,,adamw,43277.8764683553,0.95,True,0.2,123,matrix,1940,2.13.0.dev20260506+cu130,74.22277706185567,0.7210465620473488,final_adamw_adamw_cosine_lr0.004_wd0.001_seed123,epoch,73.92,0.7335077040672302,0.001
True,11.92659087726347,73.88,0.7406293237686157,0.0,28.52047760807909,19,35956.13022137337,NVIDIA RTX PRO 6000 Blackwell Workstation Edition,0.004,cosine,1124.625,False,0.85,0.95,False,0.95,,,,,,,,,,adamw,42929.28341962856,0.95,True,0.2,131415,matrix,1940,2.13.0.dev20260506+cu130,74.13015463917526,0.7256168661658297,final_adamw_adamw_cosine_lr0.004_wd0.001_seed131415,epoch,73.84,0.7413656589508056,0.001
True,11.975795919070807,73.71,0.7520906244277954,0.0,28.805103841004893,19,38200.81129223246,NVIDIA RTX PRO 6000 Blackwell Workstation Edition,0.004,cosine,1124.625,False,0.85,0.95,False,0.95,,,,,,,,,,adamw,42752.89955339567,0.95,True,0.2,456,matrix,1940,2.13.0.dev20260506+cu130,73.25225515463917,0.7456756639726383,final_adamw_adamw_cosine_lr0.004_wd0.001_seed456,epoch,73.71,0.7520906244277954,0.001
True,11.777829296032408,73.05,0.7623947693824769,0.0,28.370170951006003,19,37957.272255966076,NVIDIA RTX PRO 6000 Blackwell Workstation Edition,0.004,cosine,1124.625,False,0.85,0.95,False,0.95,,,,,,,,,,adamw,43471.50796050994,0.95,True,0.2,789,matrix,1940,2.13.0.dev20260506+cu130,72.59987113402062,0.7654875000727546,final_adamw_adamw_cosine_lr0.004_wd0.001_seed789,epoch,72.74,0.7623947693824769,0.001
False,21.47641711263466,79.78,0.5677756282806397,0.0,46.97108466201462,19,22280.18193934164,NVIDIA RTX PRO 6000 Blackwell Workstation Edition,0.008,cosine,1126.43212890625,False,0.85,0.95,True,0.95,1.0,0.008,18.0,0.00017667864853542091,0.6192004725337028,0.0,18.0,60.0,1940.0,anchormuon,23840.1031845665,0.9,True,0.3,101112,all,1940,2.13.0.dev20260506+cu130,79.7559600515464,0.5771185820250168,final_anchormuon_normuon_normuon_mlr0.008_rg0.3_cg0_mom0.95_pb0.9_nb0.95_seed101112,epoch,79.78,0.5677756282806397,0.05
False,22.165241965918426,80.46,0.5627025701522828,0.0,48.32356976089068,19,21483.23336098873,NVIDIA RTX PRO 6000 Blackwell Workstation Edition,0.008,cosine,1126.43212890625,False,0.85,0.95,True,0.95,1.0,0.008,18.0,0.00019628379009696396,0.7161069783071677,0.0,18.0,60.0,1940.0,anchormuon,23099.22899949651,0.9,True,0.3,123,all,1940,2.13.0.dev20260506+cu130,80.03584085051547,0.5632901984391753,final_anchormuon_normuon_normuon_mlr0.008_rg0.3_cg0_mom0.95_pb0.9_nb0.95_seed123,epoch,80.26,0.5627025701522828,0.05
False,21.238808200416184,80.8,0.552456854724884,0.0,46.54740603000391,19,23566.8711571652,NVIDIA RTX PRO 6000 Blackwell Workstation Edition,0.008,cosine,1126.43212890625,False,0.85,0.95,True,0.95,1.0,0.008,18.0,0.0002073011865933141,0.7531974958876769,0.0,18.0,60.0,1940.0,anchormuon,24106.814053246508,0.9,True,0.3,131415,all,1940,2.13.0.dev20260506+cu130,80.01771907216495,0.5662784988118201,final_anchormuon_normuon_normuon_mlr0.008_rg0.3_cg0_mom0.95_pb0.9_nb0.95_seed131415,epoch,80.05,0.577974802017212,0.05
False,21.46908902687971,80.65,0.5486975787162781,0.0,47.03299690200947,19,22821.25349479423,NVIDIA RTX PRO 6000 Blackwell Workstation Edition,0.008,cosine,1126.43212890625,False,0.85,0.95,True,0.95,1.0,0.008,18.0,0.00022177676227228303,0.8265703372657299,0.0,18.0,60.0,1940.0,anchormuon,23848.240573177845,0.9,True,0.3,456,all,1940,2.13.0.dev20260506+cu130,80.13853092783505,0.5655920570044174,final_anchormuon_normuon_normuon_mlr0.008_rg0.3_cg0_mom0.95_pb0.9_nb0.95_seed456,epoch,80.25,0.5585806539535523,0.05
False,21.71206997249026,81.31,0.5300733512878418,0.0,47.55775110900868,19,20766.267562561705,NVIDIA RTX PRO 6000 Blackwell Workstation Edition,0.008,cosine,1126.43212890625,False,0.85,0.95,True,0.95,1.0,0.008,18.0,0.00019110426506409163,0.6365798458456993,0.0,18.0,60.0,1940.0,anchormuon,23581.353627209057,0.9,True,0.3,789,all,1940,2.13.0.dev20260506+cu130,80.08617912371135,0.5607187124257235,final_anchormuon_normuon_normuon_mlr0.008_rg0.3_cg0_mom0.95_pb0.9_nb0.95_seed789,epoch,80.12,0.5566084888458251,0.05
