amuse,avg_step_ms,best_val_acc,best_val_loss,col_gamma,elapsed_sec,epoch,examples_per_sec,gpu,lr,lr_schedule,max_memory_mb,mimuon,mimuon_mix,momentum,normuon,normuon_beta,opt_beta,opt_lr,opt_matrix_params,opt_mean_precond_matrix_rms,opt_mean_update_rms,opt_mimuon_params,opt_normuon_params,opt_params,opt_step,optimizer,overall_examples_per_sec,pmuon_beta,pmuon_eq,row_gamma,seed,soda,step,torch,train_acc,train_loss,trial,type,val_acc,val_loss,weight_decay
True,11.908016921880357,67.13,0.9234647079467774,0.0,17.67309373302851,11,36302.466058356535,NVIDIA RTX PRO 6000 Blackwell Workstation Edition,0.004,constant,1124.625,False,0.85,0.95,False,0.95,,,,,,,,,,adamw,42996.243905165,0.95,True,0.2,123,matrix,1164,2.13.0.dev20260506+cu130,65.53036404639175,0.9572512974444124,adamw_constant_lr0.004_wd0.005,epoch,67.13,0.9234647079467774,0.005
True,11.882336470186454,67.17,0.9263155522346497,0.0,17.651119271991774,11,36868.693544188296,NVIDIA RTX PRO 6000 Blackwell Workstation Edition,0.004,constant,1124.625,False,0.85,0.95,False,0.95,,,,,,,,,,adamw,43089.16863990857,0.95,True,0.2,123,matrix,1164,2.13.0.dev20260506+cu130,65.2686050257732,0.9656207389438275,adamw_constant_lr0.004_wd0.01,epoch,67.17,0.9263155522346497,0.01
True,11.74020703213491,67.46,0.9048481798171997,0.0,17.495971100986935,11,39047.66128600797,NVIDIA RTX PRO 6000 Blackwell Workstation Edition,0.004,constant,1124.625,False,0.85,0.95,False,0.95,,,,,,,,,,adamw,43610.815260631294,0.95,True,0.2,123,matrix,1164,2.13.0.dev20260506+cu130,65.4699581185567,0.959474153125409,adamw_constant_lr0.004_wd0.03,epoch,67.46,0.9048481798171997,0.03
True,11.854105948568947,67.42,0.9207738243103027,0.0,17.663776405970566,11,36631.11914237293,NVIDIA RTX PRO 6000 Blackwell Workstation Edition,0.004,constant,1124.625,False,0.85,0.95,False,0.95,,,,,,,,,,adamw,43191.78537979996,0.95,True,0.2,123,matrix,1164,2.13.0.dev20260506+cu130,65.43371456185567,0.9677916261338696,adamw_constant_lr0.004_wd0.05,epoch,67.42,0.9207738243103027,0.05
True,11.992402208122485,63.7,1.0081604476928712,0.0,17.777800081064925,11,35083.61584167126,NVIDIA RTX PRO 6000 Blackwell Workstation Edition,0.002,cosine,1124.625,False,0.85,0.95,False,0.95,,,,,,,,,,adamw,42693.69815275384,0.95,True,0.2,123,matrix,1164,2.13.0.dev20260506+cu130,62.298646907216494,1.0443433854997772,adamw_cosine_lr0.002_wd0.001,epoch,63.7,1.0081604476928712,0.001
True,11.592561937848593,63.82,1.0099440326690674,0.0,17.34282144298777,11,36246.62009930489,NVIDIA RTX PRO 6000 Blackwell Workstation Edition,0.002,cosine,1124.625,False,0.85,0.95,False,0.95,,,,,,,,,,adamw,44166.250975840776,0.95,True,0.2,123,matrix,1164,2.13.0.dev20260506+cu130,62.27247100515464,1.042261394028811,adamw_cosine_lr0.002_wd0.005,epoch,63.82,1.0099440326690674,0.005
True,12.21642596067067,63.65,1.0122093084335326,0.0,18.150653932010755,11,34948.428614977296,NVIDIA RTX PRO 6000 Blackwell Workstation Edition,0.002,cosine,1124.625,False,0.85,0.95,False,0.95,,,,,,,,,,adamw,41910.78484397344,0.95,True,0.2,123,matrix,1164,2.13.0.dev20260506+cu130,62.04695554123711,1.04831092566559,adamw_cosine_lr0.002_wd0.01,epoch,63.38,1.0122093084335326,0.01
True,12.029131451186394,63.61,1.0125787475585937,0.0,17.76740852103103,11,35944.9722885924,NVIDIA RTX PRO 6000 Blackwell Workstation Edition,0.002,cosine,1124.625,False,0.85,0.95,False,0.95,,,,,,,,,,adamw,42563.33901393214,0.95,True,0.2,123,matrix,1164,2.13.0.dev20260506+cu130,62.01272551546392,1.0514109693851668,adamw_cosine_lr0.002_wd0.03,epoch,63.61,1.0125787475585937,0.03
True,12.003941153403359,63.43,1.0178477109909057,0.0,17.856805376010016,11,36853.11951577915,NVIDIA RTX PRO 6000 Blackwell Workstation Edition,0.002,cosine,1124.625,False,0.85,0.95,False,0.95,,,,,,,,,,adamw,42652.658277555594,0.95,True,0.2,123,matrix,1164,2.13.0.dev20260506+cu130,61.98654961340206,1.0532515835516232,adamw_cosine_lr0.002_wd0.05,epoch,63.43,1.0178477109909057,0.05
True,11.910885577034078,65.34,0.9518034896850586,0.0,17.82112852903083,11,35707.94141876877,NVIDIA RTX PRO 6000 Blackwell Workstation Edition,0.003,cosine,1124.625,False,0.85,0.95,False,0.95,,,,,,,,,,adamw,42985.888554517776,0.95,True,0.2,123,matrix,1164,2.13.0.dev20260506+cu130,63.80678157216495,0.9944981441055376,adamw_cosine_lr0.003_wd0.001,epoch,65.33,0.9518034896850586,0.001
