amuse,avg_step_ms,best_val_acc,best_val_loss,col_gamma,elapsed_sec,ema_beta,ema_gamma,ema_rest_frac,ema_warmup_frac,epoch,examples_per_sec,external_lr,fallback_beta1,fallback_beta2,fallback_lr_mult,fallback_mode,fallback_weight_decay,gpu,lr,lr_final_scale,lr_schedule,max_memory_mb,mimuon,mimuon_mix,momentum,normuon,normuon_aspect_scale,normuon_beta,opt_beta,opt_fallback_count,opt_gram_params,opt_group_count,opt_lr,opt_matrix_count,opt_matrix_params,opt_mimuon_params,opt_normuon_aspect_params,opt_normuon_params,opt_params,opt_soda_weight,opt_step,opt_sync_diagnostics,optimizer,overall_examples_per_sec,pmuon_beta,pmuon_eq,root_grouping,root_normuon_mode,row_gamma,seed,sfplus_adamc_decay,sfplus_beta1,sfplus_beta1_anneal_steps,sfplus_beta1_max,sfplus_beta_anneal,sfplus_c_warmup,sfplus_c_warmup_enabled,sfplus_inner_momentum,sfplus_polyak,sfplus_polyak_beta,sfplus_r,sfplus_weight_lr_power,soda,split_seed,step,step_timing,test_examples,torch,train_acc,train_examples,train_loss,train_val_size,trial,type,use_gram,val_acc,val_examples,val_loss,val_source,weight_decay,wsd_decay_frac
True,21.571733948120748,62.26,1.048584706878662,0.0,25.482107216026634,0.1,0.99,0.2,0.3,11,22559.665948311365,False,0.9,0.95,1.0,rms,0.0,NVIDIA RTX PRO 6000 Blackwell Workstation Edition,0.012,0.1,wsd,1126.47607421875,False,0.85,0.95,False,False,0.95,,,,,,,,,,,,,,,ema_muown,23734.763335730997,0.95,True,anchor,row,0.2,123,False,0.9,0,0.965,False,0,False,False,False,0.0,0.0,2.0,matrix,12345,1044,cuda_synchronized,10000,2.13.0.dev20260506+cu130,57.92025862068966,45000,1.1640435950509433,5000,ema_muown_wsd_lr0.012_wd0.001_b0.1_g0.99,epoch,True,62.26,5000,1.048584706878662,train_split,0.001,0.2
True,21.830519285187716,61.12,1.0771857828140259,0.0,25.73357563104946,0.3,0.99,0.2,0.3,11,21747.48779418079,False,0.9,0.95,1.0,rms,0.0,NVIDIA RTX PRO 6000 Blackwell Workstation Edition,0.012,0.1,wsd,1126.47607421875,False,0.85,0.95,False,False,0.95,,,,,,,,,,,,,,,ema_muown,23453.404534788067,0.95,True,anchor,row,0.2,123,False,0.9,0,0.965,False,0,False,False,False,0.0,0.0,2.0,matrix,12345,1044,cuda_synchronized,10000,2.13.0.dev20260506+cu130,57.16819324712644,45000,1.1809586656504665,5000,ema_muown_wsd_lr0.012_wd0.001_b0.3_g0.99,epoch,True,61.12,5000,1.0771857828140259,train_split,0.001,0.2
True,21.129145875967453,57.4,1.1711894994735719,0.0,25.02280498901382,0.1,0.99,0.2,0.3,11,22539.78028737033,False,0.9,0.95,1.0,rms,0.0,NVIDIA RTX PRO 6000 Blackwell Workstation Edition,0.012,0.1,wsd,1126.47607421875,False,0.85,0.95,False,False,0.95,,,,,,,,,,,,,,,ema_muown,24231.930765471927,0.95,True,anchor,row,0.2,123,False,0.9,0,0.965,False,0,False,False,False,0.0,0.0,2.0,matrix,12345,1044,cuda_synchronized,10000,2.13.0.dev20260506+cu130,10.035021551724139,45000,nan,5000,ema_muown_wsd_lr0.012_wd0_b0.1_g0.99,epoch,True,9.76,5000,nan,train_split,0.0,0.2
True,21.60498351440765,56.58,1.1866427532196044,0.0,25.365790495998226,0.3,0.99,0.2,0.3,11,22822.495444465003,False,0.9,0.95,1.0,rms,0.0,NVIDIA RTX PRO 6000 Blackwell Workstation Edition,0.012,0.1,wsd,1126.47607421875,False,0.85,0.95,False,False,0.95,,,,,,,,,,,,,,,ema_muown,23698.23608791759,0.95,True,anchor,row,0.2,123,False,0.9,0,0.965,False,0,False,False,False,0.0,0.0,2.0,matrix,12345,1044,cuda_synchronized,10000,2.13.0.dev20260506+cu130,10.035021551724139,45000,nan,5000,ema_muown_wsd_lr0.012_wd0_b0.3_g0.99,epoch,True,9.76,5000,nan,train_split,0.0,0.2
True,21.655269305581243,62.1,1.0489900129318237,0.0,25.54967730201315,0.1,0.99,0.2,0.3,11,22001.38677053592,False,0.9,0.95,1.0,rms,0.0,NVIDIA RTX PRO 6000 Blackwell Workstation Edition,0.016,0.1,wsd,1126.47607421875,False,0.85,0.95,False,False,0.95,,,,,,,,,,,,,,,ema_muown,23643.206315057996,0.95,True,anchor,row,0.2,123,False,0.9,0,0.965,False,0,False,False,False,0.0,0.0,2.0,matrix,12345,1044,cuda_synchronized,10000,2.13.0.dev20260506+cu130,57.85515445402299,45000,1.1714534403263837,5000,ema_muown_wsd_lr0.016_wd0.001_b0.1_g0.99,epoch,True,62.1,5000,1.0489900129318237,train_split,0.001,0.2
True,20.949128769107084,49.28,1.392856498336792,0.0,24.790517758927308,0.3,0.99,0.2,0.3,11,24107.220500167543,False,0.9,0.95,1.0,rms,0.0,NVIDIA RTX PRO 6000 Blackwell Workstation Edition,0.016,0.1,wsd,1126.47607421875,False,0.85,0.95,False,False,0.95,,,,,,,,,,,,,,,ema_muown,24440.157184723965,0.95,True,anchor,row,0.2,123,False,0.9,0,0.965,False,0,False,False,False,0.0,0.0,2.0,matrix,12345,1044,cuda_synchronized,10000,2.13.0.dev20260506+cu130,10.035021551724139,45000,nan,5000,ema_muown_wsd_lr0.016_wd0.001_b0.3_g0.99,epoch,True,9.76,5000,nan,train_split,0.001,0.2
True,21.52053722578736,56.64,1.1951152788162231,0.0,25.435750848031603,0.1,0.99,0.2,0.3,11,22365.893890947984,False,0.9,0.95,1.0,rms,0.0,NVIDIA RTX PRO 6000 Blackwell Workstation Edition,0.016,0.1,wsd,1126.47607421875,False,0.85,0.95,False,False,0.95,,,,,,,,,,,,,,,ema_muown,23791.227636570664,0.95,True,anchor,row,0.2,123,False,0.9,0,0.965,False,0,False,False,False,0.0,0.0,2.0,matrix,12345,1044,cuda_synchronized,10000,2.13.0.dev20260506+cu130,10.035021551724139,45000,nan,5000,ema_muown_wsd_lr0.016_wd0_b0.1_g0.99,epoch,True,9.76,5000,nan,train_split,0.0,0.2
True,21.35930610066851,57.46,1.1815898176193238,0.0,25.116214471054263,0.3,0.99,0.2,0.3,11,22148.148637643557,False,0.9,0.95,1.0,rms,0.0,NVIDIA RTX PRO 6000 Blackwell Workstation Edition,0.016,0.1,wsd,1126.47607421875,False,0.85,0.95,False,False,0.95,,,,,,,,,,,,,,,ema_muown,23970.816167289973,0.95,True,anchor,row,0.2,123,False,0.9,0,0.965,False,0,False,False,False,0.0,0.0,2.0,matrix,12345,1044,cuda_synchronized,10000,2.13.0.dev20260506+cu130,10.035021551724139,45000,nan,5000,ema_muown_wsd_lr0.016_wd0_b0.3_g0.99,epoch,True,9.76,5000,nan,train_split,0.0,0.2
False,17.184926520754722,79.76,0.5543321995735169,0.0,20.923262723954394,0.0,0.99,0.2,0.3,11,27428.65390180753,True,0.9,0.95,1.0,rms,0.0,NVIDIA RTX PRO 6000 Blackwell Workstation Edition,0.014,0.1,wsd,1124.654296875,False,0.85,0.95,False,False,0.95,1.0,,18.0,,0.0014653526970954383,,18.0,0.0,0.0,0.0,60.0,,1044.0,0.0,anchormuon,29793.551888723126,0.9,False,anchor,row,0.0,123,False,0.9,0,0.965,False,0,False,False,False,0.0,0.0,2.0,none,12345,1044,cuda_synchronized,10000,2.13.0.dev20260506+cu130,78.69522270114942,45000,0.5997841663059147,5000,muon_wsd_lr0.014_wd0,epoch,True,79.76,5000,0.5543321995735169,train_split,0.0,0.2
False,17.325499160924455,80.54,0.5618684991836548,0.0,21.00017982593272,0.0,0.99,0.2,0.3,11,27880.74638647815,True,0.9,0.95,1.0,rms,0.0,NVIDIA RTX PRO 6000 Blackwell Workstation Edition,0.014,0.1,wsd,1124.654296875,False,0.85,0.95,False,False,0.95,1.0,,18.0,,0.0014653526970954383,,18.0,0.0,0.0,0.0,60.0,,1044.0,0.0,anchormuon,29551.818117584364,0.9,False,anchor,row,0.0,123,False,0.9,0,0.965,False,0,False,False,False,0.0,0.0,2.0,none,12345,1044,cuda_synchronized,10000,2.13.0.dev20260506+cu130,78.32255747126437,45000,0.6097246826380148,5000,muon_wsd_lr0.014_wd0.001,epoch,True,80.54,5000,0.5618684991836548,train_split,0.001,0.2
