batch,best_val_accuracy,best_val_loss,elapsed_s,epoch,event,examples_per_s_interval,mean_step_s_interval,overall_examples_per_s,progress,step,train_loss,train_loss_interval,trial,val_accuracy,val_loss
2,,,,1,step,,,,,100,1.4438705444335938,,adamw_lr0.0025_wd0.005,,
5,,,,2,step,,,,,200,1.2577852010726929,,adamw_lr0.0025_wd0.005,,
8,,,,3,step,,,,,300,1.3079535961151123,,adamw_lr0.0025_wd0.005,,
11,,,,4,step,,,,,400,1.109175682067871,,adamw_lr0.0025_wd0.005,,
14,,,,5,step,,,,,500,1.1390762329101562,,adamw_lr0.0025_wd0.005,,
17,,,,6,step,,,,,600,1.0180745124816895,,adamw_lr0.0025_wd0.005,,
,0.643,0.991953970336914,18.28011635702569,7,bin,16973.296716356886,0.019315663724177187,26506.984554671846,0.12494845360824743,606,,1.2812623826190583,adamw_lr0.0025_wd0.005,0.643,0.991953970336914
20,,,,7,step,,,,,700,0.9094683527946472,,adamw_lr0.0025_wd0.005,,
23,,,,8,step,,,,,800,0.9804776906967163,,adamw_lr0.0025_wd0.005,,
26,,,,9,step,,,,,900,0.8878326416015625,,adamw_lr0.0025_wd0.005,,
29,,,,10,step,,,,,1000,0.86362624168396,,adamw_lr0.0025_wd0.005,,
32,,,,11,step,,,,,1100,0.7642420530319214,,adamw_lr0.0025_wd0.005,,
35,,,,12,step,,,,,1200,0.7606958746910095,,adamw_lr0.0025_wd0.005,,
,0.7403,0.7417327270507813,35.976718756021,13,bin,17533.12310477694,0.018819688055925564,26851.725556502548,0.24989690721649485,1212,,0.8788382212320963,adamw_lr0.0025_wd0.005,0.7403,0.7417327270507813
38,,,,13,step,,,,,1300,0.8032112121582031,,adamw_lr0.0025_wd0.005,,
41,,,,14,step,,,,,1400,0.6703314185142517,,adamw_lr0.0025_wd0.005,,
44,,,,15,step,,,,,1500,0.6870775818824768,,adamw_lr0.0025_wd0.005,,
47,,,,16,step,,,,,1600,0.6264446377754211,,adamw_lr0.0025_wd0.005,,
50,,,,17,step,,,,,1700,0.6884721517562866,,adamw_lr0.0025_wd0.005,,
53,,,,18,step,,,,,1800,0.670185923576355,,adamw_lr0.0025_wd0.005,,
,0.7765,0.6409760116577149,53.72657394595444,19,bin,17509.21626737903,0.018761184366106912,26996.530923915125,0.3750515463917526,1819,,0.6855747421844395,adamw_lr0.0025_wd0.005,0.7765,0.6409760116577149
56,,,,19,step,,,,,1900,0.5706852674484253,,adamw_lr0.0025_wd0.005,,
59,,,,20,step,,,,,2000,0.6106856465339661,,adamw_lr0.0025_wd0.005,,
62,,,,21,step,,,,,2100,0.5984904170036316,,adamw_lr0.0025_wd0.005,,
65,,,,22,step,,,,,2200,0.5275611281394958,,adamw_lr0.0025_wd0.005,,
68,,,,23,step,,,,,2300,0.5709093809127808,,adamw_lr0.0025_wd0.005,,
71,,,,24,step,,,,,2400,0.5201078653335571,,adamw_lr0.0025_wd0.005,,
,0.7937,0.5939381530761719,71.63216975098476,25,bin,17328.324864032373,0.018965888372122958,26996.357101943835,0.5,2425,,0.5571688911308943,adamw_lr0.0025_wd0.005,0.7937,0.5939381530761719
74,,,,25,step,,,,,2500,0.547632098197937,,adamw_lr0.0025_wd0.005,,
77,,,,26,step,,,,,2600,0.48891037702560425,,adamw_lr0.0025_wd0.005,,
