adam_lr,best_val_accuracy,best_val_loss,col_gamma,display_lr,elapsed_s,final_train_loss_interval,final_val_accuracy,final_val_loss,gpu,lr,matrix_lr,mean_step_s,momentum,name,normuon_aspect_scale,normuon_beta2,normuon_mode,optimizer,overall_examples_per_s,pmuoneq_beta,row_gamma,seed,steps,torch,weight_decay
0.0008,0.8154,0.5831967315673828,0.05,0.0025,151.6082717110403,0.26675056186642976,0.8154,0.617881169128418,NVIDIA RTX PRO 6000 Blackwell Max-Q Workstation Edition,0.0025,0.008,0.019462301792077644,0.95,adamw_lr0.0025_wd0.005,True,0.93,row,adamw,26307.268557947013,0.9,0.35,456,4850,2.13.0.dev20260513+cu130,0.005
0.0008,0.8746,0.4028522705078125,0.0,0.008,171.74328753596637,0.24430229155832392,0.8746,0.4028522705078125,NVIDIA RTX PRO 6000 Blackwell Max-Q Workstation Edition,0.0,0.008,0.034375638629948316,0.95,orientation_aspect_mlr0.008_rg0.3_cg0_nb0.95,True,0.95,orientation,soda_pmuoneq_normuon,14894.268743968634,0.9,0.3,456,4850,2.13.0.dev20260513+cu130,0.005
0.0008,0.8722,0.40243229064941405,0.05,0.008,173.9576159750577,0.2451723646556977,0.8722,0.40386224060058595,NVIDIA RTX PRO 6000 Blackwell Max-Q Workstation Edition,0.0,0.008,0.03484248036461085,0.95,orientation_aspect_mlr0.008_rg0.4_cg0.05_nb0.93,True,0.93,orientation,soda_pmuoneq_normuon,14694.705848784322,0.9,0.4,456,4850,2.13.0.dev20260513+cu130,0.005
0.0008,0.8732,0.4081802261352539,0.05,0.008,174.9973997590132,0.22806438759411915,0.8732,0.4081802261352539,NVIDIA RTX PRO 6000 Blackwell Max-Q Workstation Edition,0.0,0.008,0.03505275097980461,0.95,orientation_noaspect_mlr0.008_rg0.4_cg0.05_nb0.93,False,0.93,orientation,soda_pmuoneq_normuon,14606.55685184267,0.9,0.4,456,4850,2.13.0.dev20260513+cu130,0.005
0.0008,0.8793,0.38040579681396486,0.05,0.008,172.95585475803819,0.23874169511861926,0.8793,0.38040579681396486,NVIDIA RTX PRO 6000 Blackwell Max-Q Workstation Edition,0.0,0.008,0.034602230920206714,0.95,row_aspect_mlr0.008_rg0.35_cg0.05_nb0.93,True,0.93,row,soda_pmuoneq_normuon,14796.733805420812,0.9,0.35,456,4850,2.13.0.dev20260513+cu130,0.005
0.0008,0.8721,0.39254931716918945,0.05,0.008,175.44497577904258,0.24894146849908452,0.8701,0.40412522888183594,NVIDIA RTX PRO 6000 Blackwell Max-Q Workstation Edition,0.0,0.008,0.035097017591031864,0.95,row_aspect_mlr0.008_rg0.4_cg0.05_nb0.93,True,0.93,row,soda_pmuoneq_normuon,14588.13412484451,0.9,0.4,456,4850,2.13.0.dev20260513+cu130,0.005
0.0008,0.8732,0.40602947998046873,0.0,0.008,170.1783342459239,0.22809687790402486,0.8732,0.40602947998046873,NVIDIA RTX PRO 6000 Blackwell Max-Q Workstation Edition,0.0,0.008,0.034080243729698215,0.95,row_noaspect_mlr0.008_rg0.3_cg0_nb0.95,False,0.95,row,soda_pmuoneq_normuon,15023.366735896694,0.9,0.3,456,4850,2.13.0.dev20260513+cu130,0.005
