batch,best_val_accuracy,best_val_loss,elapsed_s,epoch,event,examples_per_s_interval,mean_step_s_interval,overall_examples_per_s,progress,step,train_loss,train_loss_interval,trial,val_accuracy,val_loss
2,,,,1,step,,,,,100,1.3746757507324219,,adamw_lr0.0025_wd0.005,,
5,,,,2,step,,,,,200,1.342672348022461,,adamw_lr0.0025_wd0.005,,
8,,,,3,step,,,,,300,1.206190586090088,,adamw_lr0.0025_wd0.005,,
11,,,,4,step,,,,,400,1.2149240970611572,,adamw_lr0.0025_wd0.005,,
14,,,,5,step,,,,,500,1.1312282085418701,,adamw_lr0.0025_wd0.005,,
17,,,,6,step,,,,,600,1.0534389019012451,,adamw_lr0.0025_wd0.005,,
,0.6355,1.0083588287353515,18.707957232021727,7,bin,16585.13204797445,0.019755411958829086,25916.948786845067,0.12494845360824743,606,,1.3026972878294023,adamw_lr0.0025_wd0.005,0.6355,1.0083588287353515
20,,,,7,step,,,,,700,0.9456202983856201,,adamw_lr0.0025_wd0.005,,
23,,,,8,step,,,,,800,0.8974541425704956,,adamw_lr0.0025_wd0.005,,
26,,,,9,step,,,,,900,0.8661471605300903,,adamw_lr0.0025_wd0.005,,
29,,,,10,step,,,,,1000,0.9341443777084351,,adamw_lr0.0025_wd0.005,,
32,,,,11,step,,,,,1100,0.8019176125526428,,adamw_lr0.0025_wd0.005,,
35,,,,12,step,,,,,1200,0.8886138200759888,,adamw_lr0.0025_wd0.005,,
,0.7216,0.7832961761474609,37.171476108022034,13,bin,16804.77907150043,0.01987804249317075,25836.758722108585,0.24989690721649485,1212,,0.918478811731433,adamw_lr0.0025_wd0.005,0.7216,0.7832961761474609
38,,,,13,step,,,,,1300,0.8389551639556885,,adamw_lr0.0025_wd0.005,,
41,,,,14,step,,,,,1400,0.7275272607803345,,adamw_lr0.0025_wd0.005,,
44,,,,15,step,,,,,1500,0.7966898083686829,,adamw_lr0.0025_wd0.005,,
47,,,,16,step,,,,,1600,0.7450390458106995,,adamw_lr0.0025_wd0.005,,
50,,,,17,step,,,,,1700,0.727841854095459,,adamw_lr0.0025_wd0.005,,
53,,,,18,step,,,,,1800,0.5449610948562622,,adamw_lr0.0025_wd0.005,,
,0.7595,0.6729145324707031,55.801794336992316,19,bin,16681.72309316063,0.019391313194269635,26023.18032688186,0.3750515463917526,1819,,0.7116977016654792,adamw_lr0.0025_wd0.005,0.7595,0.6729145324707031
56,,,,19,step,,,,,1900,0.6839689612388611,,adamw_lr0.0025_wd0.005,,
59,,,,20,step,,,,,2000,0.715596616268158,,adamw_lr0.0025_wd0.005,,
62,,,,21,step,,,,,2100,0.5888639092445374,,adamw_lr0.0025_wd0.005,,
65,,,,22,step,,,,,2200,0.6159764528274536,,adamw_lr0.0025_wd0.005,,
68,,,,23,step,,,,,2300,0.5681818127632141,,adamw_lr0.0025_wd0.005,,
71,,,,24,step,,,,,2400,0.5029675960540771,,adamw_lr0.0025_wd0.005,,
,0.792,0.6117721954345703,74.52186098706443,25,bin,16574.403363936777,0.019461484624590825,26093.868047316606,0.5,2425,,0.5767014016806096,adamw_lr0.0025_wd0.005,0.792,0.6117721954345703
74,,,,25,step,,,,,2500,0.5708705186843872,,adamw_lr0.0025_wd0.005,,
77,,,,26,step,,,,,2600,0.4990101158618927,,adamw_lr0.0025_wd0.005,,
80,,,,27,step,,,,,2700,0.4884186387062073,,adamw_lr0.0025_wd0.005,,
83,,,,28,step,,,,,2800,0.5263292789459229,,adamw_lr0.0025_wd0.005,,
86,,,,29,step,,,,,2900,0.5460987687110901,,adamw_lr0.0025_wd0.005,,
89,,,,30,step,,,,,3000,0.409309446811676,,adamw_lr0.0025_wd0.005,,
,0.8057,0.5831967315673828,93.38774951396044,32,bin,16446.294274365704,0.019267059891621457,26188.441367490715,0.6249484536082475,3031,,0.47085825297305295,adamw_lr0.0025_wd0.005,0.8057,0.5831967315673828
92,,,,31,step,,,,,3100,0.4327752888202667,,adamw_lr0.0025_wd0.005,,
95,,,,32,step,,,,,3200,0.359661340713501,,adamw_lr0.0025_wd0.005,,
1,,,,34,step,,,,,3300,0.38831400871276855,,adamw_lr0.0025_wd0.005,,
4,,,,35,step,,,,,3400,0.2506210207939148,,adamw_lr0.0025_wd0.005,,
7,,,,36,step,,,,,3500,0.311449259519577,,adamw_lr0.0025_wd0.005,,
10,,,,37,step,,,,,3600,0.37599095702171326,,adamw_lr0.0025_wd0.005,,
,0.8138,0.5831967315673828,112.5721152239712,38,bin,16199.955374465077,0.01893477291490152,26326.807442940768,0.7501030927835052,3638,,0.38896474703729056,adamw_lr0.0025_wd0.005,0.8138,0.5846219680786133
13,,,,38,step,,,,,3700,0.3128643333911896,,adamw_lr0.0025_wd0.005,,
16,,,,39,step,,,,,3800,0.29993295669555664,,adamw_lr0.0025_wd0.005,,
19,,,,40,step,,,,,3900,0.37156614661216736,,adamw_lr0.0025_wd0.005,,
22,,,,41,step,,,,,4000,0.23790329694747925,,adamw_lr0.0025_wd0.005,,
25,,,,42,step,,,,,4100,0.2135400027036667,,adamw_lr0.0025_wd0.005,,
28,,,,43,step,,,,,4200,0.23804041743278503,,adamw_lr0.0025_wd0.005,,
,0.8138,0.5831967315673828,131.9611836510012,44,bin,16002.506078878523,0.019276957294063046,26359.88333723676,0.8750515463917525,4244,,0.32066260774930316,adamw_lr0.0025_wd0.005,0.8086,0.5989837356567382
31,,,,44,step,,,,,4300,0.30989328026771545,,adamw_lr0.0025_wd0.005,,
34,,,,45,step,,,,,4400,0.23949742317199707,,adamw_lr0.0025_wd0.005,,
37,,,,46,step,,,,,4500,0.2755362391471863,,adamw_lr0.0025_wd0.005,,
40,,,,47,step,,,,,4600,0.21694058179855347,,adamw_lr0.0025_wd0.005,,
43,,,,48,step,,,,,4700,0.2907198369503021,,adamw_lr0.0025_wd0.005,,
46,,,,49,step,,,,,4800,0.26549816131591797,,adamw_lr0.0025_wd0.005,,
,0.8154,0.5831967315673828,151.60809264204,50,bin,15792.494417736883,0.01973435961777381,26307.268557947013,1.0,4850,,0.26675056186642976,adamw_lr0.0025_wd0.005,0.8154,0.617881169128418
2,,,,1,step,,,,,100,1.3746776580810547,,orientation_aspect_mlr0.008_rg0.3_cg0_nb0.95,,
5,,,,2,step,,,,,200,1.243448257446289,,orientation_aspect_mlr0.008_rg0.3_cg0_nb0.95,,
8,,,,3,step,,,,,300,1.2492833137512207,,orientation_aspect_mlr0.008_rg0.3_cg0_nb0.95,,
11,,,,4,step,,,,,400,1.0487987995147705,,orientation_aspect_mlr0.008_rg0.3_cg0_nb0.95,,
14,,,,5,step,,,,,500,0.9646942615509033,,orientation_aspect_mlr0.008_rg0.3_cg0_nb0.95,,
17,,,,6,step,,,,,600,0.8512175679206848,,orientation_aspect_mlr0.008_rg0.3_cg0_nb0.95,,
,0.6927,0.8924717224121094,22.273935114964843,7,bin,13929.899486206818,0.035212242627353486,14540.397367427813,0.12494845360824743,606,,1.232585876491597,orientation_aspect_mlr0.008_rg0.3_cg0_nb0.95,0.6927,0.8924717224121094
20,,,,7,step,,,,,700,0.7413924932479858,,orientation_aspect_mlr0.008_rg0.3_cg0_nb0.95,,
23,,,,8,step,,,,,800,0.72051602602005,,orientation_aspect_mlr0.008_rg0.3_cg0_nb0.95,,
26,,,,9,step,,,,,900,0.6754564642906189,,orientation_aspect_mlr0.008_rg0.3_cg0_nb0.95,,
29,,,,10,step,,,,,1000,0.6856923699378967,,orientation_aspect_mlr0.008_rg0.3_cg0_nb0.95,,
32,,,,11,step,,,,,1100,0.6211096048355103,,orientation_aspect_mlr0.008_rg0.3_cg0_nb0.95,,
35,,,,12,step,,,,,1200,0.6550441384315491,,orientation_aspect_mlr0.008_rg0.3_cg0_nb0.95,,
,0.7967,0.5834876495361329,43.87431273597758,13,bin,14364.334482112166,0.034616915174842916,14664.361310223208,0.24989690721649485,1212,,0.7182099142483752,orientation_aspect_mlr0.008_rg0.3_cg0_nb0.95,0.7967,0.5834876495361329
38,,,,13,step,,,,,1300,0.6150615215301514,,orientation_aspect_mlr0.008_rg0.3_cg0_nb0.95,,
41,,,,14,step,,,,,1400,0.5709437131881714,,orientation_aspect_mlr0.008_rg0.3_cg0_nb0.95,,
44,,,,15,step,,,,,1500,0.5706825256347656,,orientation_aspect_mlr0.008_rg0.3_cg0_nb0.95,,
47,,,,16,step,,,,,1600,0.5607739686965942,,orientation_aspect_mlr0.008_rg0.3_cg0_nb0.95,,
50,,,,17,step,,,,,1700,0.5451653599739075,,orientation_aspect_mlr0.008_rg0.3_cg0_nb0.95,,
53,,,,18,step,,,,,1800,0.4250256419181824,,orientation_aspect_mlr0.008_rg0.3_cg0_nb0.95,,
