amuse,avg_step_ms,best_val_acc,best_val_loss,col_gamma,elapsed_sec,epoch,examples_per_sec,gpu,lr,lr_schedule,max_memory_mb,mimuon,mimuon_mix,momentum,normuon,normuon_aspect_scale,normuon_beta,opt_fallback_params,opt_lr,opt_matrix_params,opt_params,opt_step,optimizer,overall_examples_per_sec,pmuon_beta,pmuon_eq,row_gamma,seed,soda,split_seed,step,step_timing,test_acc,test_examples,test_loss,torch,train_acc,train_examples,train_loss,train_val_size,trial,type,val_acc,val_examples,val_loss,val_source,weight_decay
False,19.53039001860795,85.54,0.41919896864891054,0.0,93.21433195797727,49,23808.066487477954,NVIDIA RTX PRO 6000 Blackwell Workstation Edition,0.008,cosine,1126.41943359375,False,0.85,0.95,True,False,0.93,42.0,0.008,18.0,60.0,4350.0,golden,26215.554298310595,0.9,True,0.35,123,all,12345,4350,cpu_launch_unsynchronized,85.47,10000,0.443600199842453,2.13.0.dev20260506+cu130,87.56734913793103,45000,0.34929395509862354,5000,golden_normuon_mlr0.008_rg0.35_cg0_mom0.95_pb0.9_nb0.93_seed123,epoch,85.3,5000,0.4246045250415802,train_split,0.05
False,19.526612857442306,85.02,0.4322009906768799,0.0,93.27735340001527,49,25306.7865684212,NVIDIA RTX PRO 6000 Blackwell Workstation Edition,0.008,cosine,1126.41943359375,False,0.85,0.95,True,False,0.93,42.0,0.008,18.0,60.0,4350.0,golden,26220.625345417142,0.9,True,0.35,456,all,12345,4350,cpu_launch_unsynchronized,84.66,10000,0.45645046610832213,2.13.0.dev20260506+cu130,87.08019037356321,45000,0.3629924216489682,5000,golden_normuon_mlr0.008_rg0.35_cg0_mom0.95_pb0.9_nb0.93_seed456,epoch,85.02,5000,0.4322009906768799,train_split,0.05
False,17.948244953335358,85.18,0.441582555437088,0.0,85.98809564101975,49,25737.289893039164,NVIDIA RTX PRO 6000 Blackwell Workstation Edition,0.008,cosine,1126.41943359375,False,0.85,0.95,True,False,0.93,42.0,0.008,18.0,60.0,4350.0,golden,28526.46603225983,0.9,True,0.35,789,all,12345,4350,cpu_launch_unsynchronized,84.19,10000,0.482085880279541,2.13.0.dev20260506+cu130,87.48204022988506,45000,0.35173493555222435,5000,golden_normuon_mlr0.008_rg0.35_cg0_mom0.95_pb0.9_nb0.93_seed789,epoch,84.6,5000,0.467255971288681,train_split,0.05
