amuse,avg_step_ms,best_val_acc,best_val_loss,col_gamma,elapsed_sec,epoch,examples_per_sec,gpu,lr,lr_schedule,max_memory_mb,mimuon,mimuon_mix,momentum,normuon,normuon_aspect_scale,normuon_beta,opt_fallback_count,opt_fallback_params,opt_group_count,opt_lr,opt_matrix_count,opt_matrix_params,opt_params,opt_soda_weight,opt_step,optimizer,overall_examples_per_sec,pmuon_beta,pmuon_eq,root_grouping,root_normuon_mode,row_gamma,seed,soda,split_seed,step,step_timing,test_acc,test_examples,test_loss,torch,train_acc,train_examples,train_loss,train_val_size,trial,type,val_acc,val_examples,val_loss,val_source,weight_decay
True,12.387574238143326,73.04,0.759693450832367,0.0,26.09476537804585,19,35831.53819860465,NVIDIA RTX PRO 6000 Blackwell Max-Q Workstation Edition,0.004,cosine,1124.625,False,0.85,0.95,False,False,0.95,,,,,,,,,,adamw,41331.74019038126,0.95,True,anchor,row,0.2,123,matrix,12345,1740,cpu_launch_unsynchronized,72.76,10000,0.7726146766662597,2.13.0.dev20260513+cu130,72.50583692528735,45000,0.7750538594421299,5000,adamw_cosine_lr0.004_wd0.001,epoch,72.96,5000,0.759693450832367,train_split,0.001
False,20.793857367243618,79.92,0.5744108146190643,0.0,40.114711772999726,19,24876.86060114489,NVIDIA RTX PRO 6000 Blackwell Max-Q Workstation Edition,0.008,cosine,1126.41943359375,False,0.85,0.95,True,False,0.93,,42.0,,0.008,,18.0,60.0,,1740.0,golden,24622.65615068367,0.9,True,anchor,row,0.35,123,all,12345,1740,cpu_launch_unsynchronized,79.6,10000,0.5840608016014099,2.13.0.dev20260513+cu130,79.30585488505747,45000,0.59028003544643,5000,golden_orient_anchor_soda_mlr0.008_rg0.35_pb0.9_nb0.93,epoch,79.92,5000,0.5744108146190643,train_split,0.05
False,19.272314457974836,80.14,0.5592552713394165,0.0,37.545721594942734,19,24195.269513327286,NVIDIA RTX PRO 6000 Blackwell Max-Q Workstation Edition,0.008,cosine,1124.70703125,False,0.85,0.95,True,False,0.93,39.0,,2.0,,21.0,,,0.0005743825387708214,,root,26566.606782826526,0.9,True,anchor,orientation,0.35,123,all,12345,1740,cpu_launch_unsynchronized,79.43,10000,0.5924315779685975,2.13.0.dev20260513+cu130,79.46973778735632,45000,0.5868015933310848,5000,root_orient_anchor_soda_mlr0.008_rg0.35_pb0.9_nb0.93,epoch,79.56,5000,0.5743980396747589,train_split,0.05
False,19.1745353097915,80.46,0.5615462962150574,0.0,37.3598479940556,19,24208.68384960016,NVIDIA RTX PRO 6000 Blackwell Max-Q Workstation Edition,0.008,cosine,1124.67919921875,False,0.85,0.95,True,False,0.93,39.0,,2.0,,21.0,,,0.0005743825387708214,,root,26702.08126183619,0.9,True,anchor,row,0.35,123,all,12345,1740,cpu_launch_unsynchronized,79.11,10000,0.5900329227447509,2.13.0.dev20260513+cu130,79.31258979885058,45000,0.5807725530246208,5000,root_row_anchor_soda_mlr0.008_rg0.35_pb0.9_nb0.93,epoch,79.58,5000,0.5829462127685547,train_split,0.05
