bin,cumulative_examples,display_name,epoch,epoch_time_s,family,method,optimizer_time_s,samples_per_s,source_family,target_step,test_acc1,test_loss,train_examples,train_loss,train_steps
5,320000,Direct SODA-PMuonEq-NorMuon + aspect,4,15.616410732269287,Direct SODA-PMuonEq-NorMuon + aspect,direct_soda_pmuoneq_normuon_lr0p008_rg0p35_cg0p05_nb0p93_aspect,4.447657823562622,4098.252863428617,Direct SODA,625,65.80000212402344,0.9746248126029968,64000,1.3923715245723725,125
6,384000,Direct SODA-PMuonEq-NorMuon + aspect,5,16.040266752243042,Direct SODA-PMuonEq-NorMuon + aspect,direct_soda_pmuoneq_normuon_lr0p008_rg0p35_cg0p05_nb0p93_aspect,4.707362174987793,3989.9585828926665,Direct SODA,750,71.39000310058594,0.8679067747933524,64000,1.3290940475463868,125
7,448000,Direct SODA-PMuonEq-NorMuon + aspect,6,15.791660785675049,Direct SODA-PMuonEq-NorMuon + aspect,direct_soda_pmuoneq_normuon_lr0p008_rg0p35_cg0p05_nb0p93_aspect,4.462317705154419,4052.771957845989,Direct SODA,875,73.47000234375,0.8105498477816582,64000,1.2805972533226013,125
8,512000,Direct SODA-PMuonEq-NorMuon + aspect,7,15.964763402938843,Direct SODA-PMuonEq-NorMuon + aspect,direct_soda_pmuoneq_normuon_lr0p008_rg0p35_cg0p05_nb0p93_aspect,4.445104122161865,4008.82859236227,Direct SODA,1000,76.69000268554687,0.7268840021320752,64000,1.2382302932739258,125
1,64000,EquiMuse auto + aspect,0,15.80614709854126,EquiMuse + NorMuon,equimuse_soda_pmuoneq_normuon_lr0p01_rg0p15_cg0p15_nb0p93_noauto_aspect_wu50,3.740657091140747,4049.057597718202,Schedule-free EquiMuse,125,10.000000289916992,2.384745270013809,64000,2.381891399383545,125
2,128000,EquiMuse auto + aspect,1,15.301636457443237,EquiMuse + NorMuon,equimuse_soda_pmuoneq_normuon_lr0p01_rg0p15_cg0p15_nb0p93_noauto_aspect_wu50,3.2946159839630127,4182.559177771356,Schedule-free EquiMuse,250,42.68000126953125,1.6244748447622572,64000,2.4770336916446687,125
3,192000,EquiMuse auto + aspect,2,15.73526406288147,EquiMuse + NorMuon,equimuse_soda_pmuoneq_normuon_lr0p01_rg0p15_cg0p15_nb0p93_noauto_aspect_wu50,3.572911262512207,4067.2974882558283,Schedule-free EquiMuse,375,55.440001293945315,1.294733613729477,64000,1.8144584531784058,125
4,256000,EquiMuse auto + aspect,3,15.709365606307983,EquiMuse + NorMuon,equimuse_soda_pmuoneq_normuon_lr0p01_rg0p15_cg0p15_nb0p93_noauto_aspect_wu50,3.458711862564087,4074.002833971937,Schedule-free EquiMuse,500,60.57000170898438,1.137412326676505,64000,1.6419058923721312,125
5,320000,EquiMuse auto + aspect,4,15.828572750091553,EquiMuse + NorMuon,equimuse_soda_pmuoneq_normuon_lr0p01_rg0p15_cg0p15_nb0p93_noauto_aspect_wu50,3.472292423248291,4043.3209620639877,Schedule-free EquiMuse,625,63.26000178222656,1.0729688107967377,64000,1.540676687002182,125
6,384000,EquiMuse auto + aspect,5,15.814579248428345,EquiMuse + NorMuon,equimuse_soda_pmuoneq_normuon_lr0p01_rg0p15_cg0p15_nb0p93_noauto_aspect_wu50,3.5833113193511963,4046.898687257856,Schedule-free EquiMuse,750,64.69000192871094,1.0378208543573106,64000,1.4765528709888458,125
7,448000,EquiMuse auto + aspect,6,15.897122621536255,EquiMuse + NorMuon,equimuse_soda_pmuoneq_normuon_lr0p01_rg0p15_cg0p15_nb0p93_noauto_aspect_wu50,3.4955596923828125,4025.8857859784953,Schedule-free EquiMuse,875,65.47000178222656,1.0226468784468514,64000,1.4555125131607056,125
8,512000,EquiMuse auto + aspect,7,15.915625095367432,EquiMuse + NorMuon,equimuse_soda_pmuoneq_normuon_lr0p01_rg0p15_cg0p15_nb0p93_noauto_aspect_wu50,3.4332170486450195,4021.2055521858524,Schedule-free EquiMuse,1000,65.72000219726563,1.0139906938586916,64000,1.454740849494934,125
