accum_iter,batch_size_per_gpu,best_val_acc1,best_val_acc1_epoch,best_val_loss,best_val_loss_epoch,bins,command,epochs,equimuse_warmup_steps,family,final_train_loss,final_val_acc1,final_val_loss,method,normuon_aspect_scale,normuon_beta2,normuon_col_gamma,normuon_lr,normuon_row_gamma,optimizer_time_s,run_dir,samples_per_s,seed,status,steps_per_bin,target_total_steps,total_train_time_s,trained_examples
1,128,10.000000259399414,0,2.3882017689091817,0,1,/home/catid/attractor/.venv/bin/torchrun --standalone --nproc_per_node=4 main.py --model vit5_small --input-size 224 --data-set CIFAR10 --data-path /home/catid/attractor/data/cifar --output_dir runs/equimuse_aspect_tuning_64/tune_normuon_lr0p006_rg0p15_cg0p15_nb0p9_wu50-seed24680-img224-ep1-g4-hc92004a79533a454-steps64 --batch-size 128 --epochs 1 --seed 24680 --weight-decay 0.05 --sched cosine --warmup-epochs 1 --min-lr 1e-05 --unscale-lr --mixup 0 --cutmix 0 --smoothing 0.1 --drop-path 0.0 --reprob 0 --num_workers 8 --accum_iter 1 --no-model-ema --disable_wandb --dist-eval --no-repeated-aug --opt equimuse_normuon --lr 0.006 --equimuse-matrix-lr 0.006 --equimuse-warmup-steps 50 --equimuse-pmuoneq-row-gamma 0.15 --equimuse-pmuoneq-col-gamma 0.15 --equimuse-normuon-beta2 0.9 --equimuse-normuon-orientation row --no-equimuse-normuon-aspect-scale --max-train-steps-per-epoch 64,1,50,EquiMuse + NorMuon,2.3826971547678113,10.000000259399414,2.3882017689091817,tune_normuon_lr0p006_rg0p15_cg0p15_nb0p9_wu50,False,0.9,0.15,0.006,0.15,1.9995439052581787,runs/equimuse_aspect_tuning_64/tune_normuon_lr0p006_rg0p15_cg0p15_nb0p9_wu50-seed24680-img224-ep1-g4-hc92004a79533a454-steps64,4008.642256112774,24680,completed,64,64,8.174338817596436,32768
1,128,10.000000259399414,0,2.388199580567224,0,1,/home/catid/attractor/.venv/bin/torchrun --standalone --nproc_per_node=4 main.py --model vit5_small --input-size 224 --data-set CIFAR10 --data-path /home/catid/attractor/data/cifar --output_dir runs/equimuse_aspect_tuning_64/tune_normuon_lr0p006_rg0p15_cg0p15_nb0p9_aspect_wu50-seed24680-img224-ep1-g4-hc92004a79533a454-steps64 --batch-size 128 --epochs 1 --seed 24680 --weight-decay 0.05 --sched cosine --warmup-epochs 1 --min-lr 1e-05 --unscale-lr --mixup 0 --cutmix 0 --smoothing 0.1 --drop-path 0.0 --reprob 0 --num_workers 8 --accum_iter 1 --no-model-ema --disable_wandb --dist-eval --no-repeated-aug --opt equimuse_normuon --lr 0.006 --equimuse-matrix-lr 0.006 --equimuse-warmup-steps 50 --equimuse-pmuoneq-row-gamma 0.15 --equimuse-pmuoneq-col-gamma 0.15 --equimuse-normuon-beta2 0.9 --equimuse-normuon-orientation row --equimuse-normuon-aspect-scale --max-train-steps-per-epoch 64,1,50,EquiMuse + NorMuon,2.382694440893829,10.000000259399414,2.388199580567224,tune_normuon_lr0p006_rg0p15_cg0p15_nb0p9_aspect_wu50,True,0.9,0.15,0.006,0.15,2.0280020236968994,runs/equimuse_aspect_tuning_64/tune_normuon_lr0p006_rg0p15_cg0p15_nb0p9_aspect_wu50-seed24680-img224-ep1-g4-hc92004a79533a454-steps64,3980.636923324222,24680,completed,64,64,8.23184847831726,32768
1,128,10.000000259399414,0,2.3881908655166626,0,1,/home/catid/attractor/.venv/bin/torchrun --standalone --nproc_per_node=4 main.py --model vit5_small --input-size 224 --data-set CIFAR10 --data-path /home/catid/attractor/data/cifar --output_dir runs/equimuse_aspect_tuning_64/tune_normuon_lr0p006_rg0p15_cg0p15_nb0p93_wu50-seed24680-img224-ep1-g4-hc92004a79533a454-steps64 --batch-size 128 --epochs 1 --seed 24680 --weight-decay 0.05 --sched cosine --warmup-epochs 1 --min-lr 1e-05 --unscale-lr --mixup 0 --cutmix 0 --smoothing 0.1 --drop-path 0.0 --reprob 0 --num_workers 8 --accum_iter 1 --no-model-ema --disable_wandb --dist-eval --no-repeated-aug --opt equimuse_normuon --lr 0.006 --equimuse-matrix-lr 0.006 --equimuse-warmup-steps 50 --equimuse-pmuoneq-row-gamma 0.15 --equimuse-pmuoneq-col-gamma 0.15 --equimuse-normuon-beta2 0.93 --equimuse-normuon-orientation row --no-equimuse-normuon-aspect-scale --max-train-steps-per-epoch 64,1,50,EquiMuse + NorMuon,2.3826963491737843,10.000000259399414,2.3881908655166626,tune_normuon_lr0p006_rg0p15_cg0p15_nb0p93_wu50,False,0.93,0.15,0.006,0.15,2.0762555599212646,runs/equimuse_aspect_tuning_64/tune_normuon_lr0p006_rg0p15_cg0p15_nb0p93_wu50-seed24680-img224-ep1-g4-hc92004a79533a454-steps64,3965.8405755152553,24680,completed,64,64,8.262561082839966,32768
1,128,10.000000259399414,0,2.388202484164919,0,1,/home/catid/attractor/.venv/bin/torchrun --standalone --nproc_per_node=4 main.py --model vit5_small --input-size 224 --data-set CIFAR10 --data-path /home/catid/attractor/data/cifar --output_dir runs/equimuse_aspect_tuning_64/tune_normuon_lr0p006_rg0p15_cg0p15_nb0p93_aspect_wu50-seed24680-img224-ep1-g4-hc92004a79533a454-steps64 --batch-size 128 --epochs 1 --seed 24680 --weight-decay 0.05 --sched cosine --warmup-epochs 1 --min-lr 1e-05 --unscale-lr --mixup 0 --cutmix 0 --smoothing 0.1 --drop-path 0.0 --reprob 0 --num_workers 8 --accum_iter 1 --no-model-ema --disable_wandb --dist-eval --no-repeated-aug --opt equimuse_normuon --lr 0.006 --equimuse-matrix-lr 0.006 --equimuse-warmup-steps 50 --equimuse-pmuoneq-row-gamma 0.15 --equimuse-pmuoneq-col-gamma 0.15 --equimuse-normuon-beta2 0.93 --equimuse-normuon-orientation row --equimuse-normuon-aspect-scale --max-train-steps-per-epoch 64,1,50,EquiMuse + NorMuon,2.382694208063185,10.000000259399414,2.388202484164919,tune_normuon_lr0p006_rg0p15_cg0p15_nb0p93_aspect_wu50,True,0.93,0.15,0.006,0.15,2.105813503265381,runs/equimuse_aspect_tuning_64/tune_normuon_lr0p006_rg0p15_cg0p15_nb0p93_aspect_wu50-seed24680-img224-ep1-g4-hc92004a79533a454-steps64,3946.448759779408,24680,completed,64,64,8.303161144256592,32768
1,128,10.000000259399414,0,2.3882024799074446,0,1,/home/catid/attractor/.venv/bin/torchrun --standalone --nproc_per_node=4 main.py --model vit5_small --input-size 224 --data-set CIFAR10 --data-path /home/catid/attractor/data/cifar --output_dir runs/equimuse_aspect_tuning_64/tune_normuon_lr0p006_rg0p35_cg0p05_nb0p9_wu50-seed24680-img224-ep1-g4-hc92004a79533a454-steps64 --batch-size 128 --epochs 1 --seed 24680 --weight-decay 0.05 --sched cosine --warmup-epochs 1 --min-lr 1e-05 --unscale-lr --mixup 0 --cutmix 0 --smoothing 0.1 --drop-path 0.0 --reprob 0 --num_workers 8 --accum_iter 1 --no-model-ema --disable_wandb --dist-eval --no-repeated-aug --opt equimuse_normuon --lr 0.006 --equimuse-matrix-lr 0.006 --equimuse-warmup-steps 50 --equimuse-pmuoneq-row-gamma 0.35 --equimuse-pmuoneq-col-gamma 0.05 --equimuse-normuon-beta2 0.9 --equimuse-normuon-orientation row --no-equimuse-normuon-aspect-scale --max-train-steps-per-epoch 64,1,50,EquiMuse + NorMuon,2.3826963789761066,10.000000259399414,2.3882024799074446,tune_normuon_lr0p006_rg0p35_cg0p05_nb0p9_wu50,False,0.9,0.05,0.006,0.35,2.1202235221862793,runs/equimuse_aspect_tuning_64/tune_normuon_lr0p006_rg0p35_cg0p05_nb0p9_wu50-seed24680-img224-ep1-g4-hc92004a79533a454-steps64,3916.5968672343915,24680,completed,64,64,8.36644697189331,32768
1,128,10.000000259399414,0,2.388186493090221,0,1,/home/catid/attractor/.venv/bin/torchrun --standalone --nproc_per_node=4 main.py --model vit5_small --input-size 224 --data-set CIFAR10 --data-path /home/catid/attractor/data/cifar --output_dir runs/equimuse_aspect_tuning_64/tune_normuon_lr0p006_rg0p35_cg0p05_nb0p9_aspect_wu50-seed24680-img224-ep1-g4-hc92004a79533a454-steps64 --batch-size 128 --epochs 1 --seed 24680 --weight-decay 0.05 --sched cosine --warmup-epochs 1 --min-lr 1e-05 --unscale-lr --mixup 0 --cutmix 0 --smoothing 0.1 --drop-path 0.0 --reprob 0 --num_workers 8 --accum_iter 1 --no-model-ema --disable_wandb --dist-eval --no-repeated-aug --opt equimuse_normuon --lr 0.006 --equimuse-matrix-lr 0.006 --equimuse-warmup-steps 50 --equimuse-pmuoneq-row-gamma 0.35 --equimuse-pmuoneq-col-gamma 0.05 --equimuse-normuon-beta2 0.9 --equimuse-normuon-orientation row --equimuse-normuon-aspect-scale --max-train-steps-per-epoch 64,1,50,EquiMuse + NorMuon,2.382693262770772,10.000000259399414,2.388186493090221,tune_normuon_lr0p006_rg0p35_cg0p05_nb0p9_aspect_wu50,True,0.9,0.05,0.006,0.35,2.1060428619384766,runs/equimuse_aspect_tuning_64/tune_normuon_lr0p006_rg0p35_cg0p05_nb0p9_aspect_wu50-seed24680-img224-ep1-g4-hc92004a79533a454-steps64,3904.442959017582,24680,completed,64,64,8.39249038696289,32768
1,128,10.000000259399414,0,2.388196668454579,0,1,/home/catid/attractor/.venv/bin/torchrun --standalone --nproc_per_node=4 main.py --model vit5_small --input-size 224 --data-set CIFAR10 --data-path /home/catid/attractor/data/cifar --output_dir runs/equimuse_aspect_tuning_64/tune_normuon_lr0p006_rg0p35_cg0p05_nb0p93_wu50-seed24680-img224-ep1-g4-hc92004a79533a454-steps64 --batch-size 128 --epochs 1 --seed 24680 --weight-decay 0.05 --sched cosine --warmup-epochs 1 --min-lr 1e-05 --unscale-lr --mixup 0 --cutmix 0 --smoothing 0.1 --drop-path 0.0 --reprob 0 --num_workers 8 --accum_iter 1 --no-model-ema --disable_wandb --dist-eval --no-repeated-aug --opt equimuse_normuon --lr 0.006 --equimuse-matrix-lr 0.006 --equimuse-warmup-steps 50 --equimuse-pmuoneq-row-gamma 0.35 --equimuse-pmuoneq-col-gamma 0.05 --equimuse-normuon-beta2 0.93 --equimuse-normuon-orientation row --no-equimuse-normuon-aspect-scale --max-train-steps-per-epoch 64,1,50,EquiMuse + NorMuon,2.3826954467222095,10.000000259399414,2.388196668454579,tune_normuon_lr0p006_rg0p35_cg0p05_nb0p93_wu50,False,0.93,0.05,0.006,0.35,2.0200889110565186,runs/equimuse_aspect_tuning_64/tune_normuon_lr0p006_rg0p35_cg0p05_nb0p93_wu50-seed24680-img224-ep1-g4-hc92004a79533a454-steps64,3914.284643854488,24680,completed,64,64,8.371389150619507,32768
1,128,10.000000259399414,0,2.3882003043379103,0,1,/home/catid/attractor/.venv/bin/torchrun --standalone --nproc_per_node=4 main.py --model vit5_small --input-size 224 --data-set CIFAR10 --data-path /home/catid/attractor/data/cifar --output_dir runs/equimuse_aspect_tuning_64/tune_normuon_lr0p006_rg0p35_cg0p05_nb0p93_aspect_wu50-seed24680-img224-ep1-g4-hc92004a79533a454-steps64 --batch-size 128 --epochs 1 --seed 24680 --weight-decay 0.05 --sched cosine --warmup-epochs 1 --min-lr 1e-05 --unscale-lr --mixup 0 --cutmix 0 --smoothing 0.1 --drop-path 0.0 --reprob 0 --num_workers 8 --accum_iter 1 --no-model-ema --disable_wandb --dist-eval --no-repeated-aug --opt equimuse_normuon --lr 0.006 --equimuse-matrix-lr 0.006 --equimuse-warmup-steps 50 --equimuse-pmuoneq-row-gamma 0.35 --equimuse-pmuoneq-col-gamma 0.05 --equimuse-normuon-beta2 0.93 --equimuse-normuon-orientation row --equimuse-normuon-aspect-scale --max-train-steps-per-epoch 64,1,50,EquiMuse + NorMuon,2.382694155909121,10.000000259399414,2.3882003043379103,tune_normuon_lr0p006_rg0p35_cg0p05_nb0p93_aspect_wu50,True,0.93,0.05,0.006,0.35,2.107795000076294,runs/equimuse_aspect_tuning_64/tune_normuon_lr0p006_rg0p35_cg0p05_nb0p93_aspect_wu50-seed24680-img224-ep1-g4-hc92004a79533a454-steps64,3896.9539722963136,24680,completed,64,64,8.408618688583374,32768
1,128,10.000000259399414,0,2.3881966727120534,0,1,/home/catid/attractor/.venv/bin/torchrun --standalone --nproc_per_node=4 main.py --model vit5_small --input-size 224 --data-set CIFAR10 --data-path /home/catid/attractor/data/cifar --output_dir runs/equimuse_aspect_tuning_64/tune_normuon_lr0p006_rg0p25_cg0p05_nb0p9_wu50-seed24680-img224-ep1-g4-hc92004a79533a454-steps64 --batch-size 128 --epochs 1 --seed 24680 --weight-decay 0.05 --sched cosine --warmup-epochs 1 --min-lr 1e-05 --unscale-lr --mixup 0 --cutmix 0 --smoothing 0.1 --drop-path 0.0 --reprob 0 --num_workers 8 --accum_iter 1 --no-model-ema --disable_wandb --dist-eval --no-repeated-aug --opt equimuse_normuon --lr 0.006 --equimuse-matrix-lr 0.006 --equimuse-warmup-steps 50 --equimuse-pmuoneq-row-gamma 0.25 --equimuse-pmuoneq-col-gamma 0.05 --equimuse-normuon-beta2 0.9 --equimuse-normuon-orientation row --no-equimuse-normuon-aspect-scale --max-train-steps-per-epoch 64,1,50,EquiMuse + NorMuon,2.3826962439343333,10.000000259399414,2.3881966727120534,tune_normuon_lr0p006_rg0p25_cg0p05_nb0p9_wu50,False,0.9,0.05,0.006,0.25,2.0515358448028564,runs/equimuse_aspect_tuning_64/tune_normuon_lr0p006_rg0p25_cg0p05_nb0p9_wu50-seed24680-img224-ep1-g4-hc92004a79533a454-steps64,3910.7873154878403,24680,completed,64,64,8.378875494003296,32768
1,128,10.000000259399414,0,2.3881901374885013,0,1,/home/catid/attractor/.venv/bin/torchrun --standalone --nproc_per_node=4 main.py --model vit5_small --input-size 224 --data-set CIFAR10 --data-path /home/catid/attractor/data/cifar --output_dir runs/equimuse_aspect_tuning_64/tune_normuon_lr0p006_rg0p25_cg0p05_nb0p9_aspect_wu50-seed24680-img224-ep1-g4-hc92004a79533a454-steps64 --batch-size 128 --epochs 1 --seed 24680 --weight-decay 0.05 --sched cosine --warmup-epochs 1 --min-lr 1e-05 --unscale-lr --mixup 0 --cutmix 0 --smoothing 0.1 --drop-path 0.0 --reprob 0 --num_workers 8 --accum_iter 1 --no-model-ema --disable_wandb --dist-eval --no-repeated-aug --opt equimuse_normuon --lr 0.006 --equimuse-matrix-lr 0.006 --equimuse-warmup-steps 50 --equimuse-pmuoneq-row-gamma 0.25 --equimuse-pmuoneq-col-gamma 0.05 --equimuse-normuon-beta2 0.9 --equimuse-normuon-orientation row --equimuse-normuon-aspect-scale --max-train-steps-per-epoch 64,1,50,EquiMuse + NorMuon,2.3826947174966335,10.000000259399414,2.3881901374885013,tune_normuon_lr0p006_rg0p25_cg0p05_nb0p9_aspect_wu50,True,0.9,0.05,0.006,0.25,2.060026168823242,runs/equimuse_aspect_tuning_64/tune_normuon_lr0p006_rg0p25_cg0p05_nb0p9_aspect_wu50-seed24680-img224-ep1-g4-hc92004a79533a454-steps64,3902.3962346814023,24680,completed,64,64,8.396892070770264,32768
