bin,cumulative_examples,epoch,epoch_time_s,family,method,optimizer_time_s,samples_per_s,target_step,test_acc1,test_loss,train_examples,train_loss,train_steps
1,64000,0,15.436045408248901,EquiMuse + NorMuon,tune_normuon_lr0p006_rg0p15_cg0p15_nb0p9_wu50,3.7235121726989746,4146.139656067538,125,10.000000259399414,2.384151646069118,64000,2.3813220672607422,125
2,128000,1,14.980063915252686,EquiMuse + NorMuon,tune_normuon_lr0p006_rg0p15_cg0p15_nb0p9_wu50,3.6434247493743896,4272.344922029022,250,41.41000126953125,1.659310566527503,64000,2.205070537805557,125
1,64000,0,15.815572023391724,EquiMuse + NorMuon,tune_normuon_lr0p006_rg0p15_cg0p15_nb0p9_aspect_wu50,3.956550121307373,4046.6446553651053,125,10.000000259399414,2.3842809924057553,64000,2.381317416667938,125
2,128000,1,15.07112431526184,EquiMuse + NorMuon,tune_normuon_lr0p006_rg0p15_cg0p15_nb0p9_aspect_wu50,3.665175437927246,4246.531224959117,250,43.37000146484375,1.6014329833643777,64000,2.1874012162685395,125
1,64000,0,15.654937267303467,EquiMuse + NorMuon,tune_normuon_lr0p006_rg0p15_cg0p15_nb0p93_wu50,3.784670352935791,4088.1671326571773,125,10.000000259399414,2.3842170408793857,64000,2.381322525024414,125
2,128000,1,15.464139223098755,EquiMuse + NorMuon,tune_normuon_lr0p006_rg0p15_cg0p15_nb0p93_wu50,3.5218100547790527,4138.607333824525,250,41.49000104980469,1.6530222190277917,64000,2.2049942274093626,125
1,64000,0,15.655016422271729,EquiMuse + NorMuon,tune_normuon_lr0p006_rg0p15_cg0p15_nb0p93_aspect_wu50,3.684213638305664,4088.1464620471374,125,10.000000259399414,2.384267181158066,64000,2.3813171048164365,125
2,128000,1,15.205831527709961,EquiMuse + NorMuon,tune_normuon_lr0p006_rg0p15_cg0p15_nb0p93_aspect_wu50,3.5012571811676025,4208.911553660924,250,42.6300013671875,1.6110239497252874,64000,2.188398199081421,125
1,64000,0,15.577528953552246,EquiMuse + NorMuon,tune_normuon_lr0p006_rg0p35_cg0p05_nb0p9_wu50,3.7016427516937256,4108.482172675125,125,10.000000259399414,2.384219220706395,64000,2.381323052883148,125
2,128000,1,15.033537864685059,EquiMuse + NorMuon,tune_normuon_lr0p006_rg0p35_cg0p05_nb0p9_wu50,3.535144805908203,4257.148289115694,250,41.32000115966797,1.6678504007203239,64000,2.2084255471229555,125
1,64000,0,15.744563102722168,EquiMuse + NorMuon,tune_normuon_lr0p006_rg0p35_cg0p05_nb0p9_aspect_wu50,3.8313519954681396,4064.895264634855,125,10.000000259399414,2.3842315546103885,64000,2.381315725803375,125
2,128000,1,15.092644929885864,EquiMuse + NorMuon,tune_normuon_lr0p006_rg0p35_cg0p05_nb0p9_aspect_wu50,3.418095827102661,4240.476092647598,250,43.20000104980469,1.6124353004353387,64000,2.1892745249271393,125
