bin,cumulative_examples,epoch,epoch_time_s,family,method,optimizer_time_s,samples_per_s,target_step,test_acc1,test_loss,train_examples,train_loss,train_steps
1,64000,0,15.72717547416687,EquiMuse + NorMuon,tune_normuon_lr0p006_rg0p35_cg0p05_nb0p93_wu50,3.8239357471466064,4069.3893258280905,125,10.000000259399414,2.3843013175896237,64000,2.3813213510513305,125
2,128000,1,15.220651626586914,EquiMuse + NorMuon,tune_normuon_lr0p006_rg0p35_cg0p05_nb0p93_wu50,3.658050775527954,4204.813405505385,250,41.38000146484375,1.6654878279992513,64000,2.206784463882446,125
1,64000,0,15.756788969039917,EquiMuse + NorMuon,tune_normuon_lr0p006_rg0p35_cg0p05_nb0p93_aspect_wu50,3.8914389610290527,4061.741267573733,125,10.000000259399414,2.384241738489696,64000,2.381316897392273,125
2,128000,1,15.115090608596802,EquiMuse + NorMuon,tune_normuon_lr0p006_rg0p35_cg0p05_nb0p93_aspect_wu50,3.583707332611084,4234.179050412017,250,42.51000124511719,1.617977044412068,64000,2.189799762248993,125
1,64000,0,15.867278814315796,EquiMuse + NorMuon,tune_normuon_lr0p008_rg0p15_cg0p15_nb0p9_wu50,3.8956518173217773,4033.457831613688,125,10.000000259399414,2.384151646069118,64000,2.3813220672607422,125
2,128000,1,15.117694616317749,EquiMuse + NorMuon,tune_normuon_lr0p008_rg0p15_cg0p15_nb0p9_wu50,3.4275100231170654,4233.449717321292,250,40.580001049804686,1.6717123261519842,64000,2.2345449216365814,125
1,64000,0,15.740894079208374,EquiMuse + NorMuon,tune_normuon_lr0p008_rg0p15_cg0p15_nb0p9_aspect_wu50,3.845186233520508,4065.8427455232977,125,10.000000259399414,2.3842809924057553,64000,2.381317416667938,125
2,128000,1,15.155008316040039,EquiMuse + NorMuon,tune_normuon_lr0p008_rg0p15_cg0p15_nb0p9_aspect_wu50,3.298844814300537,4223.02638608667,250,41.430001391601564,1.6536608998264586,64000,2.2291267755031585,125
1,64000,0,15.840960264205933,EquiMuse + NorMuon,tune_normuon_lr0p008_rg0p15_cg0p15_nb0p93_wu50,3.9760165214538574,4040.159114887355,125,10.000000259399414,2.3841472864151,64000,2.381322525024414,125
2,128000,1,15.270391464233398,EquiMuse + NorMuon,tune_normuon_lr0p008_rg0p15_cg0p15_nb0p93_wu50,3.750058650970459,4191.117179274809,250,40.25000108642578,1.6813564343111855,64000,2.2355849785804747,125
1,64000,0,15.808180332183838,EquiMuse + NorMuon,tune_normuon_lr0p008_rg0p15_cg0p15_nb0p93_aspect_wu50,3.866645336151123,4048.5368116469767,125,10.000000259399414,2.384267181158066,64000,2.3813171048164365,125
2,128000,1,15.211790084838867,EquiMuse + NorMuon,tune_normuon_lr0p008_rg0p15_cg0p15_nb0p93_aspect_wu50,3.395570755004883,4207.262895626392,250,41.17000104980469,1.6591361888817378,64000,2.2305823559761047,125
1,64000,0,15.669657468795776,EquiMuse + NorMuon,tune_normuon_lr0p008_rg0p35_cg0p05_nb0p9_wu50,3.8124096393585205,4084.3266757711995,125,10.000000259399414,2.384219220706395,64000,2.381323052883148,125
2,128000,1,15.180713891983032,EquiMuse + NorMuon,tune_normuon_lr0p008_rg0p35_cg0p05_nb0p9_wu50,3.7272133827209473,4215.875515169187,250,40.140001025390625,1.6853552290371485,64000,2.2387855660915377,125
1,64000,0,15.865263938903809,EquiMuse + NorMuon,tune_normuon_lr0p008_rg0p35_cg0p05_nb0p9_aspect_wu50,3.8495750427246094,4033.9700774257653,125,10.000000259399414,2.3842315546103885,64000,2.381315725803375,125
2,128000,1,15.292050123214722,EquiMuse + NorMuon,tune_normuon_lr0p008_rg0p35_cg0p05_nb0p9_aspect_wu50,3.6019399166107178,4185.181155196594,250,40.95000129394531,1.6642997392586298,64000,2.2325918295383453,125
1,64000,0,15.805682897567749,EquiMuse + NorMuon,tune_normuon_lr0p008_rg0p35_cg0p05_nb0p93_wu50,3.8285255432128906,4049.176515482834,125,10.000000259399414,2.3843013175896237,64000,2.3813213510513305,125
2,128000,1,15.287891864776611,EquiMuse + NorMuon,tune_normuon_lr0p008_rg0p35_cg0p05_nb0p93_wu50,3.710944652557373,4186.319511289608,250,39.960001440429686,1.6914203252111162,64000,2.238763470888138,125
1,64000,0,15.724968194961548,EquiMuse + NorMuon,tune_normuon_lr0p008_rg0p35_cg0p05_nb0p93_aspect_wu50,3.8563435077667236,4069.960537058911,125,10.000000259399414,2.384241738489696,64000,2.381316897392273,125
2,128000,1,15.347363948822021,EquiMuse + NorMuon,tune_normuon_lr0p008_rg0p35_cg0p05_nb0p93_aspect_wu50,3.7633469104766846,4170.097237116233,250,41.4200013671875,1.6566721562828337,64000,2.23354775595665,125
1,64000,0,15.751960277557373,EquiMuse + NorMuon,tune_normuon_lr0p01_rg0p15_cg0p15_nb0p9_wu50,3.783355712890625,4062.9863758089896,125,10.000000259399414,2.384151646069118,64000,2.3813220672607422,125
2,128000,1,15.211237668991089,EquiMuse + NorMuon,tune_normuon_lr0p01_rg0p15_cg0p15_nb0p9_wu50,3.422163486480713,4207.415687841587,250,41.20000129394531,1.678834815110479,64000,2.2921325731277467,125
1,64000,0,15.803375244140625,EquiMuse + NorMuon,tune_normuon_lr0p01_rg0p15_cg0p15_nb0p9_aspect_wu50,3.890235424041748,4049.7677876584694,125,10.000000259399414,2.3842809924057553,64000,2.381317416667938,125
2,128000,1,15.590318441390991,EquiMuse + NorMuon,tune_normuon_lr0p01_rg0p15_cg0p15_nb0p9_aspect_wu50,3.596273183822632,4105.111787202842,250,43.130001489257815,1.6107976117304392,64000,2.2670584700107574,125
1,64000,0,15.760915756225586,EquiMuse + NorMuon,tune_normuon_lr0p01_rg0p15_cg0p15_nb0p93_wu50,3.8594605922698975,4060.677754382381,125,10.000000259399414,2.3841472864151,64000,2.381322525024414,125
2,128000,1,15.293694972991943,EquiMuse + NorMuon,tune_normuon_lr0p01_rg0p15_cg0p15_nb0p93_wu50,3.5400354862213135,4184.7310354379015,250,41.66000125732422,1.6768297467912947,64000,2.2917965805530547,125
1,64000,0,15.761308908462524,EquiMuse + NorMuon,tune_normuon_lr0p01_rg0p15_cg0p15_nb0p93_aspect_wu50,3.8433804512023926,4060.5764642831964,125,10.000000259399414,2.384267181158066,64000,2.3813171048164365,125
2,128000,1,15.229395389556885,EquiMuse + NorMuon,tune_normuon_lr0p01_rg0p15_cg0p15_nb0p93_aspect_wu50,3.6018614768981934,4202.399265560217,250,43.78000129394531,1.6010748552424567,64000,2.2650755398273468,125
1,64000,0,15.821552753448486,EquiMuse + NorMuon,tune_normuon_lr0p01_rg0p35_cg0p05_nb0p9_wu50,3.816833257675171,4045.1149768502005,125,10.000000259399414,2.384219220706395,64000,2.381323052883148,125
2,128000,1,15.287050485610962,EquiMuse + NorMuon,tune_normuon_lr0p01_rg0p35_cg0p05_nb0p9_wu50,3.4612817764282227,4186.549920813071,250,41.13000125732422,1.6881547655378069,64000,2.2952057168483733,125
1,64000,0,15.805063724517822,EquiMuse + NorMuon,tune_normuon_lr0p01_rg0p35_cg0p05_nb0p9_aspect_wu50,3.8689475059509277,4049.335144452415,125,10.000000259399414,2.3842315546103885,64000,2.381315725803375,125
2,128000,1,15.595780611038208,EquiMuse + NorMuon,tune_normuon_lr0p01_rg0p35_cg0p05_nb0p9_aspect_wu50,3.568647861480713,4103.674038265375,250,43.230001171875,1.6177087447472982,64000,2.272215210676193,125
1,64000,0,15.723025560379028,EquiMuse + NorMuon,tune_normuon_lr0p01_rg0p35_cg0p05_nb0p93_wu50,3.830136299133301,4070.463394861846,125,10.000000259399414,2.3843013175896237,64000,2.3813213510513305,125
2,128000,1,15.365907907485962,EquiMuse + NorMuon,tune_normuon_lr0p01_rg0p35_cg0p05_nb0p93_wu50,3.7311887741088867,4165.064660371971,250,41.070001025390624,1.6856605857610703,64000,2.2950718698501587,125
1,64000,0,15.72210955619812,EquiMuse + NorMuon,tune_normuon_lr0p01_rg0p35_cg0p05_nb0p93_aspect_wu50,3.74299693107605,4070.7005488820873,125,10.000000259399414,2.384241738489696,64000,2.381316897392273,125
2,128000,1,15.21613073348999,EquiMuse + NorMuon,tune_normuon_lr0p01_rg0p35_cg0p05_nb0p93_aspect_wu50,3.5309431552886963,4206.062705490496,250,42.91000131835938,1.6188838630914688,64000,2.272388683795929,125
