bin,cumulative_examples,epoch,epoch_time_s,family,method,optimizer_time_s,samples_per_s,target_step,test_acc1,test_loss,train_examples,train_loss,train_steps,source_family
1,64000,0,14.840245246887207,AdamW baseline,adamw_lr0p0005,0.4697539806365967,4312.597193326318,125,10.000000289916992,2.356378448860986,64000,2.3689241943359374,125,AdamW baseline
2,128000,1,14.273601770401001,AdamW baseline,adamw_lr0p0005,0.2324821949005127,4483.801708179644,250,46.82000129394531,1.535562930362565,64000,2.069482745170593,125,AdamW baseline
3,192000,2,14.562045335769653,AdamW baseline,adamw_lr0p0005,0.2373859882354736,4394.987003837492,375,53.26000144042969,1.3344950016055788,64000,1.8189354202747343,125,AdamW baseline
4,256000,3,14.962051391601562,AdamW baseline,adamw_lr0p0005,0.2300095558166504,4277.488315266997,500,57.13000095214844,1.237633436918259,64000,1.7255939445495605,125,AdamW baseline
5,320000,4,15.340649843215942,AdamW baseline,adamw_lr0p0005,0.2232255935668945,4171.922353621972,625,56.97000119628906,1.2228759356907437,64000,1.653633675813675,125,AdamW baseline
6,384000,5,15.448386669158936,AdamW baseline,adamw_lr0p0005,0.2250823974609375,4142.8274272658655,750,61.5700017578125,1.1177293243152755,64000,1.5904362661838531,125,AdamW baseline
7,448000,6,15.372746467590332,AdamW baseline,adamw_lr0p0005,0.2223238945007324,4163.211833027254,875,62.29000158691407,1.0967771027769362,64000,1.5505077335834505,125,AdamW baseline
8,512000,7,15.358025550842285,AdamW baseline,adamw_lr0p0005,0.2124075889587402,4167.202339137275,1000,63.06000192871094,1.08912940961974,64000,1.5269631168842317,125,AdamW baseline
1,64000,0,16.143465995788574,EquiMuse-NorMuon row,equimuse_soda_pmuoneq_normuon_lr0p01_rg0p15_cg0p15_nb0p9_wu50,4.455967426300049,3964.452244437223,125,10.000000289916992,2.3848288357257843,64000,2.3818639192581177,125,EquiMuse + NorMuon
2,128000,1,15.822946548461914,EquiMuse-NorMuon row,equimuse_soda_pmuoneq_normuon_lr0p01_rg0p15_cg0p15_nb0p9_wu50,4.298700332641602,4044.7586550319975,250,40.66000135498047,1.6757820738213405,64000,2.53525504398346,125,EquiMuse + NorMuon
