bin,cumulative_examples,epoch,epoch_time_s,family,method,optimizer_time_s,samples_per_s,target_step,test_acc1,test_loss,train_examples,train_loss,train_steps,source_family
3,192000,2,15.917447328567505,EquiMuse-NorMuon row,equimuse_soda_pmuoneq_normuon_lr0p01_rg0p15_cg0p15_nb0p9_wu50,4.141177654266357,4020.745203606695,375,55.54000107421875,1.3030837369816644,64000,1.8348492641448972,125,EquiMuse + NorMuon
4,256000,3,16.018270254135132,EquiMuse-NorMuon row,equimuse_soda_pmuoneq_normuon_lr0p01_rg0p15_cg0p15_nb0p9_wu50,4.169579029083252,3995.437646176455,500,61.1000015625,1.145979432123048,64000,1.657255334377289,125,EquiMuse + NorMuon
5,320000,4,16.026721477508545,EquiMuse-NorMuon row,equimuse_soda_pmuoneq_normuon_lr0p01_rg0p15_cg0p15_nb0p9_wu50,4.143082618713379,3993.3307688547416,625,63.500002099609375,1.0723658257297106,64000,1.5530387752056125,125,EquiMuse + NorMuon
6,384000,5,16.331554889678955,EquiMuse-NorMuon row,equimuse_soda_pmuoneq_normuon_lr0p01_rg0p15_cg0p15_nb0p9_wu50,4.305440664291382,3918.794042105939,750,65.08000246582031,1.0354895549161094,64000,1.4898488130569458,125,EquiMuse + NorMuon
7,448000,6,16.1374192237854,EquiMuse-NorMuon row,equimuse_soda_pmuoneq_normuon_lr0p01_rg0p15_cg0p15_nb0p9_wu50,4.269178152084351,3965.937744597264,875,65.64000197753906,1.022016942501068,64000,1.4709217340946197,125,EquiMuse + NorMuon
8,512000,7,16.335208415985107,EquiMuse-NorMuon row,equimuse_soda_pmuoneq_normuon_lr0p01_rg0p15_cg0p15_nb0p9_wu50,4.241008043289185,3917.917566167792,1000,65.96000209960937,1.014498115650245,64000,1.4698849484920502,125,EquiMuse + NorMuon
1,64000,0,15.723143100738525,EquiMuse-NorMuon auto,equimuse_soda_pmuoneq_normuon_lr0p01_rg0p15_cg0p15_nb0p9_noauto_wu50,3.7893104553222656,4070.43296559413,125,10.000000289916992,2.384767072541373,64000,2.381898066520691,125,EquiMuse + NorMuon
2,128000,1,14.925308465957642,EquiMuse-NorMuon auto,equimuse_soda_pmuoneq_normuon_lr0p01_rg0p15_cg0p15_nb0p9_noauto_wu50,3.2885515689849854,4288.018579044732,250,40.24000126953125,1.7111369563000542,64000,2.540742850065232,125,EquiMuse + NorMuon
3,192000,2,15.057149887084961,EquiMuse-NorMuon auto,equimuse_soda_pmuoneq_normuon_lr0p01_rg0p15_cg0p15_nb0p9_noauto_wu50,3.47133469581604,4250.4723988233,375,54.57000146484375,1.3292293293135506,64000,1.846772770404816,125,EquiMuse + NorMuon
4,256000,3,15.001677989959717,EquiMuse-NorMuon auto,equimuse_soda_pmuoneq_normuon_lr0p01_rg0p15_cg0p15_nb0p9_noauto_wu50,3.298536539077759,4266.189425131892,500,60.11000158691406,1.1599390804767609,64000,1.6648592405319214,125,EquiMuse + NorMuon
5,320000,4,15.056641578674316,EquiMuse-NorMuon auto,equimuse_soda_pmuoneq_normuon_lr0p01_rg0p15_cg0p15_nb0p9_noauto_wu50,3.2546093463897705,4250.615893696194,625,62.79000126953125,1.085563070007733,64000,1.562302703142166,125,EquiMuse + NorMuon
6,384000,5,15.202232122421265,EquiMuse-NorMuon auto,equimuse_soda_pmuoneq_normuon_lr0p01_rg0p15_cg0p15_nb0p9_noauto_wu50,3.3209645748138428,4209.908090115829,750,63.75000207519531,1.057018939937864,64000,1.5016886367797853,125,EquiMuse + NorMuon
7,448000,6,15.068170547485352,EquiMuse-NorMuon auto,equimuse_soda_pmuoneq_normuon_lr0p01_rg0p15_cg0p15_nb0p9_noauto_wu50,3.2932722568511963,4247.363659597058,875,64.41000141601563,1.0452647251742226,64000,1.4811005923748015,125,EquiMuse + NorMuon
8,512000,7,15.188163995742798,EquiMuse-NorMuon auto,equimuse_soda_pmuoneq_normuon_lr0p01_rg0p15_cg0p15_nb0p9_noauto_wu50,3.3118081092834477,4213.8075423691125,1000,64.57000161132812,1.0386741001691138,64000,1.4817167270183562,125,EquiMuse + NorMuon
