amuse,avg_step_ms,best_val_acc,best_val_loss,col_gamma,elapsed_sec,epoch,examples_per_sec,external_lr,fallback_beta1,fallback_beta2,fallback_lr_mult,fallback_mode,fallback_weight_decay,gpu,lr,lr_final_scale,lr_schedule,max_memory_mb,mimuon,mimuon_mix,momentum,normuon,normuon_aspect_scale,normuon_beta,opt_beta,opt_fallback_count,opt_gram_params,opt_group_count,opt_lr,opt_matrix_count,opt_matrix_params,opt_mimuon_params,opt_normuon_aspect_params,opt_normuon_params,opt_params,opt_soda_weight,opt_step,opt_sync_diagnostics,optimizer,overall_examples_per_sec,pmuon_beta,pmuon_eq,root_grouping,root_normuon_mode,row_gamma,seed,sfplus_adamc_decay,sfplus_beta1,sfplus_beta1_anneal_steps,sfplus_beta1_max,sfplus_beta_anneal,sfplus_c_warmup,sfplus_c_warmup_enabled,sfplus_inner_momentum,sfplus_polyak,sfplus_polyak_beta,sfplus_r,sfplus_weight_lr_power,soda,split_seed,step,step_timing,test_acc,test_examples,test_loss,torch,train_acc,train_examples,train_loss,train_val_size,trial,type,use_gram,val_acc,val_examples,val_loss,val_source,weight_decay,wsd_decay_frac
False,17.233984360348263,87.7,0.3920198399543762,0.0,83.71014169999398,49,27527.369378000712,False,0.9,0.95,1.0,rms,0.0,NVIDIA RTX PRO 6000 Blackwell Workstation Edition,0.012,0.1,wsd,1124.677734375,False,0.85,0.95,True,False,0.93,,40.0,,2.0,,20.0,,,,,,0.00022983222247759135,,,root,29708.742290494545,0.9,True,named,row,0.35,101112,False,0.9,0,0.965,False,0,False,False,False,0.0,0.0,2.0,all,12345,4350,cuda_synchronized,87.71,10000,0.41839670572280885,2.13.0.dev20260506+cu130,93.20447198275862,45000,0.19132211136406865,5000,final_previous_best_rms_previous_best_rms_wsd_lr0.012_flr1_b2_0.95_seed101112,epoch,True,87.7,5000,0.4007901650905609,train_split,0.05,0.2
False,17.245931612921815,87.84,0.3902076587677002,0.0,83.91100817697588,49,27295.201427860142,False,0.9,0.95,1.0,rms,0.0,NVIDIA RTX PRO 6000 Blackwell Workstation Edition,0.012,0.1,wsd,1124.677734375,False,0.85,0.95,True,False,0.93,,40.0,,2.0,,20.0,,,,,,0.00022983222247759135,,,root,29688.161329387105,0.9,True,named,row,0.35,123,False,0.9,0,0.965,False,0,False,False,False,0.0,0.0,2.0,all,12345,4350,cuda_synchronized,87.6,10000,0.41568130264282227,2.13.0.dev20260506+cu130,92.91038074712644,45000,0.20057781485990547,5000,final_previous_best_rms_previous_best_rms_wsd_lr0.012_flr1_b2_0.95_seed123,epoch,True,87.84,5000,0.4091704203128815,train_split,0.05,0.2
False,17.20880952227497,87.68,0.4076301364898682,0.0,83.6556515910197,49,26779.529027344845,False,0.9,0.95,1.0,rms,0.0,NVIDIA RTX PRO 6000 Blackwell Workstation Edition,0.012,0.1,wsd,1124.677734375,False,0.85,0.95,True,False,0.93,,40.0,,2.0,,20.0,,,,,,0.00022983222247759135,,,root,29752.20333151289,0.9,True,named,row,0.35,131415,False,0.9,0,0.965,False,0,False,False,False,0.0,0.0,2.0,all,12345,4350,cuda_synchronized,87.4,10000,0.43166188135147093,2.13.0.dev20260506+cu130,92.86772629310344,45000,0.19893037656257892,5000,final_previous_best_rms_previous_best_rms_wsd_lr0.012_flr1_b2_0.95_seed131415,epoch,True,87.52,5000,0.42166957035064695,train_split,0.05,0.2
False,17.373389037695297,88.7,0.35564494593143464,0.0,84.54542734799907,49,27004.149374392466,False,0.9,0.95,1.0,rms,0.0,NVIDIA RTX PRO 6000 Blackwell Workstation Edition,0.012,0.1,wsd,1124.677734375,False,0.85,0.95,True,False,0.93,,40.0,,2.0,,20.0,,,,,,0.00022983222247759135,,,root,29470.358310005384,0.9,True,named,row,0.35,456,False,0.9,0,0.965,False,0,False,False,False,0.0,0.0,2.0,all,12345,4350,cuda_synchronized,88.32,10000,0.3853761254787445,2.13.0.dev20260506+cu130,92.71282327586206,45000,0.20531645828279957,5000,final_previous_best_rms_previous_best_rms_wsd_lr0.012_flr1_b2_0.95_seed456,epoch,True,88.7,5000,0.35564494593143464,train_split,0.05,0.2
False,17.312222042083526,87.02,0.4225301918506622,0.0,84.42514032905456,49,26961.935876037354,False,0.9,0.95,1.0,rms,0.0,NVIDIA RTX PRO 6000 Blackwell Workstation Edition,0.012,0.1,wsd,1124.677734375,False,0.85,0.95,True,False,0.93,,40.0,,2.0,,20.0,,,,,,0.00022983222247759135,,,root,29574.482048312544,0.9,True,named,row,0.35,789,False,0.9,0,0.965,False,0,False,False,False,0.0,0.0,2.0,all,12345,4350,cuda_synchronized,87.0,10000,0.45046682624816897,2.13.0.dev20260506+cu130,92.62526939655173,45000,0.20565356485459996,5000,final_previous_best_rms_previous_best_rms_wsd_lr0.012_flr1_b2_0.95_seed789,epoch,True,87.02,5000,0.4472665284633636,train_split,0.05,0.2
False,17.58224028473099,88.0,0.39865149779319764,0.0,85.33607259893324,49,27185.645406239026,False,0.9,0.95,0.5,atan2,0.0,NVIDIA RTX PRO 6000 Blackwell Workstation Edition,0.014,0.1,wsd,1124.701171875,False,0.85,0.95,True,False,0.93,,40.0,,2.0,,20.0,,,,,,0.00022983222247759135,,,root,29120.293643389577,0.9,True,named,row,0.35,101112,False,0.9,0,0.965,False,0,False,False,False,0.0,0.0,2.0,all,12345,4350,cuda_synchronized,87.65,10000,0.41065755052566527,2.13.0.dev20260506+cu130,92.46138649425288,45000,0.21142058194368735,5000,final_root_fallback_atan2_atan2_best_wsd_lr0.014_flr0.5_b2_0.95_seed101112,epoch,True,88.0,5000,0.40358402750492095,train_split,0.05,0.2
False,17.585733448818925,88.52,0.3782028006076813,0.0,85.20589992008172,49,27783.687640407024,False,0.9,0.95,0.5,atan2,0.0,NVIDIA RTX PRO 6000 Blackwell Workstation Edition,0.014,0.1,wsd,1124.701171875,False,0.85,0.95,True,False,0.93,,40.0,,2.0,,20.0,,,,,,0.00022983222247759135,,,root,29114.509297557128,0.9,True,named,row,0.35,123,False,0.9,0,0.965,False,0,False,False,False,0.0,0.0,2.0,all,12345,4350,cuda_synchronized,88.1,10000,0.39961824507713317,2.13.0.dev20260506+cu130,92.85874640804597,45000,0.20012864042287584,5000,final_root_fallback_atan2_atan2_best_wsd_lr0.014_flr0.5_b2_0.95_seed123,epoch,True,88.52,5000,0.3782028006076813,train_split,0.05,0.2
False,17.231917863727773,87.3,0.3907067600727081,0.0,83.5580744179897,49,28863.45473633069,False,0.9,0.95,0.5,atan2,0.0,NVIDIA RTX PRO 6000 Blackwell Workstation Edition,0.014,0.1,wsd,1124.701171875,False,0.85,0.95,True,False,0.93,,40.0,,2.0,,20.0,,,,,,0.00022983222247759135,,,root,29712.305040504605,0.9,True,named,row,0.35,131415,False,0.9,0,0.965,False,0,False,False,False,0.0,0.0,2.0,all,12345,4350,cuda_synchronized,87.15,10000,0.4161674911022186,2.13.0.dev20260506+cu130,91.57911278735632,45000,0.23462741625034947,5000,final_root_fallback_atan2_atan2_best_wsd_lr0.014_flr0.5_b2_0.95_seed131415,epoch,True,87.3,5000,0.3907067600727081,train_split,0.05,0.2
False,17.54751900117309,87.92,0.37232331042289735,0.0,85.27983933500946,49,26315.029376598774,False,0.9,0.95,0.5,atan2,0.0,NVIDIA RTX PRO 6000 Blackwell Workstation Edition,0.014,0.1,wsd,1124.701171875,False,0.85,0.95,True,False,0.93,,40.0,,2.0,,20.0,,,,,,0.00022983222247759135,,,root,29177.91398121704,0.9,True,named,row,0.35,456,False,0.9,0,0.965,False,0,False,False,False,0.0,0.0,2.0,all,12345,4350,cuda_synchronized,87.72,10000,0.4074449740886688,2.13.0.dev20260506+cu130,92.35811781609195,45000,0.21173126858541336,5000,final_root_fallback_atan2_atan2_best_wsd_lr0.014_flr0.5_b2_0.95_seed456,epoch,True,87.92,5000,0.38402447443008425,train_split,0.05,0.2
False,17.609666830153557,88.06,0.40256301646232606,0.0,85.50405781599693,49,27394.831083947614,False,0.9,0.95,0.5,atan2,0.0,NVIDIA RTX PRO 6000 Blackwell Workstation Edition,0.014,0.1,wsd,1124.701171875,False,0.85,0.95,True,False,0.93,,40.0,,2.0,,20.0,,,,,,0.00022983222247759135,,,root,29074.939630503806,0.9,True,named,row,0.35,789,False,0.9,0,0.965,False,0,False,False,False,0.0,0.0,2.0,all,12345,4350,cuda_synchronized,87.21,10000,0.43982642130851746,2.13.0.dev20260506+cu130,92.86548132183908,45000,0.19993464460318117,5000,final_root_fallback_atan2_atan2_best_wsd_lr0.014_flr0.5_b2_0.95_seed789,epoch,True,88.06,5000,0.40518237895965575,train_split,0.05,0.2
