type,trial,epoch,step,batch,train_loss,lr,step_ms,step_timing,family,label,train_acc,val_loss,val_acc,best_val_acc,best_val_loss,examples_per_sec,max_memory_mb,progress,interval_examples_per_sec,interval_avg_step_ms,overall_examples_per_sec,elapsed_wall_sec,opt_matrix_count,opt_fallback_count,opt_group_count,opt_soda_weight,opt_step,opt_lr,opt_beta,opt_params,opt_matrix_params,opt_gram_params,opt_mimuon_params,opt_normuon_params,opt_normuon_aspect_params,opt_sync_diagnostics
step,final_adamw_adamw_cosine_lr0.004_wd0.001_seed131415,4,425,77.0,1.2601802349090576,0.003942324459366195,10.492447996512055,cuda_synchronized,adamw,AdamW cosine,,,,,,,,,,,,,,,,,,,,,,,,,,
epoch,final_adamw_adamw_cosine_lr0.004_wd0.001_seed131415,4,435,,1.2741588080066375,,,cuda_synchronized,adamw,AdamW cosine,53.79175646551724,1.1548822965621948,58.32,58.32,1.1548822965621948,40931.9405631132,1124.625,,,,,,,,,,,,,,,,,,,
step,final_adamw_adamw_cosine_lr0.004_wd0.001_seed131415,5,450,15.0,1.2905166149139404,0.003933716360628982,11.774498037993908,cuda_synchronized,adamw,AdamW cosine,,,,,,,,,,,,,,,,,,,,,,,,,,
step,final_adamw_adamw_cosine_lr0.004_wd0.001_seed131415,5,475,40.0,1.2351408004760742,0.003924521732451382,12.883194023743272,cuda_synchronized,adamw,AdamW cosine,,,,,,,,,,,,,,,,,,,,,,,,,,
step,final_adamw_adamw_cosine_lr0.004_wd0.001_seed131415,5,500,65.0,1.3083853721618652,0.003914743685446089,10.388941038399935,cuda_synchronized,adamw,AdamW cosine,,,,,,,,,,,,,,,,,,,,,,,,,,
epoch,final_adamw_adamw_cosine_lr0.004_wd0.001_seed131415,5,522,,1.227971555172712,,,cuda_synchronized,adamw,AdamW cosine,55.423850574712645,1.11327000541687,59.78,59.78,1.11327000541687,39666.92068269624,1124.625,,,,,,,,,,,,,,,,,,,
step,final_adamw_adamw_cosine_lr0.004_wd0.001_seed131415,6,525,3.0,1.2536320686340332,0.003904385527600827,10.755068040452898,cuda_synchronized,adamw,AdamW cosine,,,,,,,,,,,,,,,,,,,,,,,,,,
bin,final_adamw_adamw_cosine_lr0.004_wd0.001_seed131415,6,544,,1.4542067820096718,,,cuda_synchronized,adamw,AdamW cosine,,1.1203518323898316,59.3,59.78,1.11327000541687,,1124.625,0.1250574712643678,34691.554710359684,12.435467550162953,41172.55727898151,8.11196630494669,,,,,,,,,,,,,,
step,final_adamw_adamw_cosine_lr0.004_wd0.001_seed131415,6,550,28.0,1.140777826309204,0.003893450763159233,13.936205999925733,cuda_synchronized,adamw,AdamW cosine,,,,,,,,,,,,,,,,,,,,,,,,,,
step,final_adamw_adamw_cosine_lr0.004_wd0.001_seed131415,6,575,53.0,1.2711281776428223,0.0038819430914353434,12.96908501535654,cuda_synchronized,adamw,AdamW cosine,,,,,,,,,,,,,,,,,,,,,,,,,,
step,final_adamw_adamw_cosine_lr0.004_wd0.001_seed131415,6,600,78.0,1.117400884628296,0.00386986640556209,10.25377493351698,cuda_synchronized,adamw,AdamW cosine,,,,,,,,,,,,,,,,,,,,,,,,,,
epoch,final_adamw_adamw_cosine_lr0.004_wd0.001_seed131415,6,609,,1.1790259117367623,,,cuda_synchronized,adamw,AdamW cosine,57.28717672413793,1.0882280265808106,60.36,60.36,1.0882280265808106,38617.96940898882,1124.625,,,,,,,,,,,,,,,,,,,
step,final_adamw_adamw_cosine_lr0.004_wd0.001_seed131415,7,625,16.0,1.1478084325790405,0.0038572247911742197,11.407050071284175,cuda_synchronized,adamw,AdamW cosine,,,,,,,,,,,,,,,,,,,,,,,,,,
step,final_adamw_adamw_cosine_lr0.004_wd0.001_seed131415,7,650,41.0,1.0545997619628906,0.0038440225250260984,11.472068028524518,cuda_synchronized,adamw,AdamW cosine,,,,,,,,,,,,,,,,,,,,,,,,,,
step,final_adamw_adamw_cosine_lr0.004_wd0.001_seed131415,7,675,66.0,1.0596644878387451,0.0038302640735448485,10.888029937632382,cuda_synchronized,adamw,AdamW cosine,,,,,,,,,,,,,,,,,,,,,,,,,,
