label,n,selected_config,train_loss_mean,train_loss_std,val_loss_mean,val_loss_std,val_acc_mean,val_acc_std,best_val_loss_mean,best_val_loss_std,best_val_acc_mean,best_val_acc_std,test_loss_mean,test_loss_std,test_acc_mean,test_acc_std,avg_step_ms_mean,avg_step_ms_std,overall_examples_per_sec_mean,overall_examples_per_sec_std,elapsed_sec_mean,elapsed_sec_std
AnchorMuon RMS,5,AnchorMuon lr=0.012 WSD SODA+PMuonEq+NorMuon RMS fallback,0.20036006518479046,0.00583872856534835,0.40690832602977745,0.033604917573555,87.756,0.6121111010266056,0.3936065545988082,0.024941890113724823,87.788,0.6007661774767306,0.420316568288803,0.023894352298976084,87.60600000000001,0.48226548705043853,17.274867315064775,0.0670339993843617,29638.789461942495,114.78042267626381,84.04947382900863,0.4112511999875579
AnchorMuon AdamATan2,5,AnchorMuon lr=0.014 WSD SODA+PMuonEq+NorMuon AdamATan2 fallback_lr_mult=0.5,0.21156851036110141,0.014124260781916028,0.39234008831501005,0.011864133940768996,87.96000000000001,0.43657759905886134,0.38848947707176207,0.012975054689889218,87.96000000000001,0.43657759905886134,0.4147429364204406,0.015247274268760817,87.566,0.3923391390111348,17.511415485720867,0.1578092384847153,29239.992318634428,266.5751200459849,84.97678881760221,0.8006527794936694
Plain Muon WSD,5,Muon+Gram lr=0.014 wd=0.001 WSD,0.18138759799044707,0.004967113283526189,0.5028652370643616,0.037861814934281104,86.292,0.4780376554205723,0.4376401817893981,0.021169913768566404,86.628,0.3905380903317885,0.5229832617282868,0.03167464159630358,86.016,0.4203332011630781,17.238886498974573,0.05333030717438994,29700.521809040103,91.98405657969094,83.92317585218697,0.29762763381219054
AdamW cosine,5,AdamW lr=0.004 wd=0.001 cosine,0.4259331597678962,0.014195038715142003,0.6220976123714447,0.01895401677422242,79.34400000000001,0.4721016839622594,0.6112215870380402,0.014656408560642476,79.66,0.5157518783291015,0.6385671353340149,0.02213880302928226,78.96600000000001,0.6860612217579437,11.850247752397781,0.11801424058189497,43209.26597951348,429.05299587150444,60.45154740400612,0.6067415280415167
