amuse,avg_step_ms,best_val_acc,best_val_loss,col_gamma,elapsed_sec,epoch,examples_per_sec,gpu,lr,lr_schedule,max_memory_mb,mimuon,mimuon_mix,momentum,normuon,normuon_aspect_scale,normuon_beta,opt_beta,opt_lr,opt_matrix_params,opt_mimuon_params,opt_normuon_aspect_params,opt_normuon_params,opt_params,opt_step,opt_sync_diagnostics,optimizer,overall_examples_per_sec,pmuon_beta,pmuon_eq,row_gamma,seed,soda,step,step_timing,torch,train_acc,train_loss,trial,type,val_acc,val_loss,weight_decay
True,46.0706392332213,20.703125,2.09222412109375,0.0,0.6055595891084522,0,1757.9982614688295,NVIDIA RTX PRO 6000 Blackwell Workstation Edition,0.004,cosine,340.6337890625,False,0.85,0.95,False,False,0.95,,,,,,,,,,adamw,2778.3421747640928,0.95,True,0.2,123,matrix,8,cpu_launch_unsynchronized,2.13.0.dev20260506+cu130,13.4765625,2.2706680297851562,adamw_cosine_lr0.004_wd0.001,epoch,20.703125,2.09222412109375,0.001
False,54.96243014931679,15.625,2.2290496826171875,0.0,0.6664054749999195,0,1587.0536077118115,NVIDIA RTX PRO 6000 Blackwell Workstation Edition,0.008,cosine,342.44091796875,False,0.85,0.95,True,True,0.95,1.0,0.008,18.0,0.0,18.0,18.0,60.0,8.0,0.0,anchormuon,2328.8635464673157,0.9,True,0.3,123,all,8,cpu_launch_unsynchronized,2.13.0.dev20260506+cu130,10.44921875,2.31024169921875,normuon_aspect_mlr0.008_rg0.3_cg0_mom0.95_pb0.9_nb0.95,epoch,15.625,2.2290496826171875,0.05
False,59.32930062408559,16.6015625,2.2420501708984375,0.0,0.7227358210366219,0,1462.9748830379751,NVIDIA RTX PRO 6000 Blackwell Workstation Edition,0.008,cosine,342.44091796875,False,0.85,0.95,True,False,0.95,1.0,0.008,18.0,0.0,0.0,18.0,60.0,8.0,0.0,anchormuon,2157.450006212218,0.9,True,0.3,123,all,8,cpu_launch_unsynchronized,2.13.0.dev20260506+cu130,9.9609375,2.3140640258789062,normuon_mlr0.008_rg0.3_cg0_mom0.95_pb0.9_nb0.95,epoch,16.6015625,2.2420501708984375,0.05
