family,name,best_step,best_val_loss,best_val_acc,final_sample_val_loss,final_full_val_loss,final_full_val_acc,step_ms,tokens_per_sec,flat_step,val_4000,val_7000,val_8000,val_10000,val_20000
ema_muon,final_plateau_ema_anchor_ref_ema_muon_lr0.0016_b0.1_g0.995,8000,5.033232092857361,0.2317352294921875,5.435287415981293,5.527360854670405,0.2336101531982422,23.332511949841866,175549.03684632038,,5.171222239732742,5.053588479757309,5.033232092857361,5.053295344114304,5.435287415981293
muon,final_plateau_ema_anchor_ref_muon_lr0.0012,7000,5.035745173692703,0.230865478515625,5.565712243318558,5.636017240583897,0.2296295166015625,21.194599702046254,193256.7756684052,,5.148383766412735,5.035745173692703,5.057204455137253,5.0690895318984985,5.565712243318558
adamw,final_plateau_ema_anchor_ref_adamw_lr0.0005,20000,5.075614631175995,0.2540435791015625,5.075614631175995,5.149770667776465,0.2516498565673828,15.37717485249741,266368.82517693215,13000,5.520015716552734,5.303984850645065,5.268855452537537,5.188742369413376,5.075614631175995
adamatan2,final_plateau_ema_anchor_ref_adamatan2_lr0.0005,20000,5.085183262825012,0.253021240234375,5.085183262825012,5.155686104670167,0.25090980529785156,16.183752808603458,253093.33678295693,13000,5.511779606342316,5.297958046197891,5.257914572954178,5.183377683162689,5.085183262825012
ema_anchormuon,final_plateau_ema_anchor_base_lr0.0016_rg0_soda0.003_flr1_rms_b0.3_g0.995_w0.2_r0.1,7000,5.177633732557297,0.237060546875,5.55924180150032,5.6828877329826355,0.23230457305908203,22.15349554440472,184891.8150090549,,5.286539405584335,5.177633732557297,5.201557755470276,5.211324483156204,5.55924180150032
anchormuon,final_plateau_ema_anchor_ref_anchor_lr0.0016_rg0.15_soda0.001_flr1_rms,7000,5.187363922595978,0.238189697265625,5.529288977384567,5.646744141355157,0.2340097427368164,19.872208404599224,206117.0010199783,14000,5.26770144701004,5.187363922595978,5.198606014251709,5.199026107788086,5.529288977384567
