name,optimizer,lr,weight_decay,matrix_lr,adam_lr,beta1,beta2,momentum,row_gamma,col_gamma,pmuoneq_beta,amuse,soda,pmuoneq,mimuon,mimuon_tau,normuon,normuon_beta2,notes,family,run_dir,recipe_json,num_bins,best_val_loss,best_val_accuracy,final_val_loss,final_val_accuracy,overall_examples_per_s,total_s,mean_step_s,returncode
adamw_lr0.0025_wd0.005,adamw,0.0025,0.005,0.001,0.0001,0.9,0.999,0.95,0.2,0.0,0.95,True,True,True,False,0.005,False,0.95,AdamW baseline,adamw,vit5_sodamuseeq/runs/standalone_normuon_cifar10_seed34000/final/adamw_lr0.0025_wd0.005,vit5_sodamuseeq/runs/standalone_normuon_cifar10_seed34000/final/adamw_lr0.0025_wd0.005/recipe.json,8,0.5855300426483154,0.8155999779701233,0.7083413600921631,0.8154000043869019,27610.422688993436,89.93705123499967,0.017331867790986142,0
standalone_mlr0.008_rg0.35_cg0.05_mom0.95_pb0.9_nb0.93,soda_pmuoneq_normuon,0.0,0.05,0.008,0.0008,0.9,0.999,0.95,0.35,0.05,0.9,False,True,True,False,0.005,True,0.93,Focused standalone SODA+PMuonEq+Gram+NorMuon implementation with all ablation switches removed.,standalone,vit5_sodamuseeq/runs/standalone_normuon_cifar10_seed34000/final/standalone_mlr0.008_rg0.35_cg0.05_mom0.95_pb0.9_nb0.93,vit5_sodamuseeq/runs/standalone_normuon_cifar10_seed34000/final/standalone_mlr0.008_rg0.35_cg0.05_mom0.95_pb0.9_nb0.93/recipe.json,8,0.4597523510456085,0.857699990272522,0.4949674904346466,0.8569999933242798,20259.85552693259,122.56750778399874,0.023754267865089822,0
