amuse,avg_step_ms,best_val_acc,best_val_loss,col_gamma,elapsed_sec,epoch,examples_per_sec,fallback_beta1,fallback_beta2,fallback_inner_momentum,gpu,lr,lr_final_scale,lr_schedule,max_memory_mb,mimuon,mimuon_mix,momentum,normuon,normuon_aspect_scale,normuon_beta,opt_fallback_count,opt_group_count,opt_matrix_count,opt_soda_weight,optimizer,overall_examples_per_sec,pmuon_beta,pmuon_eq,root_grouping,root_normuon_mode,row_gamma,seed,sfplus_adamc_decay,sfplus_beta1,sfplus_beta1_anneal_steps,sfplus_beta1_max,sfplus_beta_anneal,sfplus_c_warmup,sfplus_c_warmup_enabled,sfplus_inner_momentum,sfplus_polyak,sfplus_polyak_beta,sfplus_r,sfplus_weight_lr_power,soda,split_seed,step,step_timing,test_examples,torch,train_acc,train_examples,train_loss,train_val_size,trial,type,val_acc,val_examples,val_loss,val_source,weight_decay,wsd_decay_frac
False,17.015072797207427,80.08,0.5632220824241638,0.0,20.186123188002966,11,29541.688713901956,0.5,0.95,True,NVIDIA RTX PRO 6000 Blackwell Workstation Edition,0.012,0.1,wsd,1124.677734375,False,0.85,0.95,True,False,0.93,40.0,2.0,20.0,0.0009569377990430622,root,30090.967350079824,0.9,True,named,row,0.35,123,False,0.9,0,0.965,False,0,False,False,False,0.0,0.0,2.0,all,12345,1044,cpu_launch_unsynchronized,10000,2.13.0.dev20260506+cu130,77.93866738505747,45000,0.6252541048773403,5000,root_fim_wsd_lr0.012_rg0.35_pb0.9_nb0.93_fb0.5,epoch,80.08,5000,0.5632220824241638,train_split,0.05,0.2
False,17.042126348224322,79.14,0.5714573237419128,0.0,20.333914752001874,11,28399.24052657581,0.7,0.95,True,NVIDIA RTX PRO 6000 Blackwell Workstation Edition,0.012,0.1,wsd,1124.677734375,False,0.85,0.95,True,False,0.93,40.0,2.0,20.0,0.0009569377990430622,root,30043.19939532352,0.9,True,named,row,0.35,123,False,0.9,0,0.965,False,0,False,False,False,0.0,0.0,2.0,all,12345,1044,cpu_launch_unsynchronized,10000,2.13.0.dev20260506+cu130,77.68498563218391,45000,0.6288123110245014,5000,root_fim_wsd_lr0.012_rg0.35_pb0.9_nb0.93_fb0.7,epoch,79.14,5000,0.5714573237419128,train_split,0.05,0.2
False,17.240409626022437,79.14,0.5714573237419128,0.0,20.463207574910484,11,28217.74965586728,0.85,0.95,True,NVIDIA RTX PRO 6000 Blackwell Workstation Edition,0.012,0.1,wsd,1124.677734375,False,0.85,0.95,True,False,0.93,40.0,2.0,20.0,0.0009569377990430622,root,29697.670247184513,0.9,True,named,row,0.35,123,False,0.9,0,0.965,False,0,False,False,False,0.0,0.0,2.0,all,12345,1044,cpu_launch_unsynchronized,10000,2.13.0.dev20260506+cu130,77.68498563218391,45000,0.6288123110245014,5000,root_fim_wsd_lr0.012_rg0.35_pb0.9_nb0.93_fb0.85,epoch,79.14,5000,0.5714573237419128,train_split,0.05,0.2
False,17.024054818798277,79.14,0.5714573237419128,0.0,20.177685779053718,11,28080.909829702658,0.9,0.95,True,NVIDIA RTX PRO 6000 Blackwell Workstation Edition,0.012,0.1,wsd,1124.677734375,False,0.85,0.95,True,False,0.93,40.0,2.0,20.0,0.0009569377990430622,root,30075.091125449155,0.9,True,named,row,0.35,123,False,0.9,0,0.965,False,0,False,False,False,0.0,0.0,2.0,all,12345,1044,cpu_launch_unsynchronized,10000,2.13.0.dev20260506+cu130,77.68498563218391,45000,0.6288123110245014,5000,root_fim_wsd_lr0.012_rg0.35_pb0.9_nb0.93_fb0.9,epoch,79.14,5000,0.5714573237419128,train_split,0.05,0.2
False,17.259045995899452,79.14,0.5714573237419128,0.0,20.379346105037257,11,27922.19899280556,0.95,0.95,True,NVIDIA RTX PRO 6000 Blackwell Workstation Edition,0.012,0.1,wsd,1124.677734375,False,0.85,0.95,True,False,0.93,40.0,2.0,20.0,0.0009569377990430622,root,29665.6026133568,0.9,True,named,row,0.35,123,False,0.9,0,0.965,False,0,False,False,False,0.0,0.0,2.0,all,12345,1044,cpu_launch_unsynchronized,10000,2.13.0.dev20260506+cu130,77.68498563218391,45000,0.6288123110245014,5000,root_fim_wsd_lr0.012_rg0.35_pb0.9_nb0.93_fb0.95,epoch,79.14,5000,0.5714573237419128,train_split,0.05,0.2
False,17.01005572848775,79.78,0.5675282315731048,0.0,20.243814486078918,11,27044.044810939376,0.85,0.95,True,NVIDIA RTX PRO 6000 Blackwell Workstation Edition,0.012,0.1,wsd,1124.677734375,False,0.85,0.95,True,False,0.93,40.0,2.0,20.0,0.0009569377990430622,root,30099.84259737158,0.9,True,named,row,0.3,123,False,0.9,0,0.965,False,0,False,False,False,0.0,0.0,2.0,all,12345,1044,cpu_launch_unsynchronized,10000,2.13.0.dev20260506+cu130,77.73213002873563,45000,0.6301770415799371,5000,root_fim_wsd_lr0.012_rg0.3_pb0.9_nb0.93_fb0.85,epoch,79.78,5000,0.5675282315731048,train_split,0.05,0.2
False,17.116322853514156,79.78,0.5675282315731048,0.0,20.32406385592185,11,28392.88553747335,0.9,0.95,True,NVIDIA RTX PRO 6000 Blackwell Workstation Edition,0.012,0.1,wsd,1124.677734375,False,0.85,0.95,True,False,0.93,40.0,2.0,20.0,0.0009569377990430622,root,29912.966960358615,0.9,True,named,row,0.3,123,False,0.9,0,0.965,False,0,False,False,False,0.0,0.0,2.0,all,12345,1044,cpu_launch_unsynchronized,10000,2.13.0.dev20260506+cu130,77.73213002873563,45000,0.6301770415799371,5000,root_fim_wsd_lr0.012_rg0.3_pb0.9_nb0.93_fb0.9,epoch,79.78,5000,0.5675282315731048,train_split,0.05,0.2
False,16.977070864549592,79.78,0.5675282315731048,0.0,20.244832771946676,11,28646.91154110321,0.95,0.95,True,NVIDIA RTX PRO 6000 Blackwell Workstation Edition,0.012,0.1,wsd,1124.677734375,False,0.85,0.95,True,False,0.93,40.0,2.0,20.0,0.0009569377990430622,root,30158.323781820625,0.9,True,named,row,0.3,123,False,0.9,0,0.965,False,0,False,False,False,0.0,0.0,2.0,all,12345,1044,cpu_launch_unsynchronized,10000,2.13.0.dev20260506+cu130,77.73213002873563,45000,0.6301770415799371,5000,root_fim_wsd_lr0.012_rg0.3_pb0.9_nb0.93_fb0.95,epoch,79.78,5000,0.5675282315731048,train_split,0.05,0.2
False,17.024203709646045,79.82,0.5620813467979431,0.0,20.252642147941515,11,29013.917575114454,0.85,0.95,True,NVIDIA RTX PRO 6000 Blackwell Workstation Edition,0.012,0.1,wsd,1124.677734375,False,0.85,0.95,True,False,0.93,40.0,2.0,20.0,0.0009569377990430622,root,30074.828093715587,0.9,True,named,row,0.4,123,False,0.9,0,0.965,False,0,False,False,False,0.0,0.0,2.0,all,12345,1044,cpu_launch_unsynchronized,10000,2.13.0.dev20260506+cu130,77.8533584770115,45000,0.6270589157082569,5000,root_fim_wsd_lr0.012_rg0.4_pb0.9_nb0.93_fb0.85,epoch,79.82,5000,0.5620813467979431,train_split,0.05,0.2
False,17.144873432754412,79.82,0.5620813467979431,0.0,20.45631359796971,11,27542.920340592205,0.9,0.95,True,NVIDIA RTX PRO 6000 Blackwell Workstation Edition,0.012,0.1,wsd,1124.677734375,False,0.85,0.95,True,False,0.93,40.0,2.0,20.0,0.0009569377990430622,root,29863.15425472024,0.9,True,named,row,0.4,123,False,0.9,0,0.965,False,0,False,False,False,0.0,0.0,2.0,all,12345,1044,cpu_launch_unsynchronized,10000,2.13.0.dev20260506+cu130,77.8533584770115,45000,0.6270589157082569,5000,root_fim_wsd_lr0.012_rg0.4_pb0.9_nb0.93_fb0.9,epoch,79.82,5000,0.5620813467979431,train_split,0.05,0.2
