best_val_acc,best_val_loss,beta1,family,final_val_acc,final_val_loss,lr,mimuon_tau,normuon_aspect_scale,normuon_beta2,normuon_mode,optimizer,param_count,pmuon_beta,pmuon_col_gamma,pmuon_gamma,pmuon_row_gamma,rho,run_name,seed,soda_replaces_weight_decay,soda_warmup_steps,status,steps,steps_per_sec,test_acc,test_loss,use_amuse,use_gram,use_mimuon,use_normuon,use_pmuoneq,use_soda,wall_sec,warmup_steps,weight_decay
0.7642,0.7000398315429688,0.6,adamw,0.7642,0.7000398315429688,0.003,0.005,False,0.95,row,adamw,2691274,0.95,0.2,0.2,0.2,0.8,top3k_adamw_rank1,0,True,250,ok,3000,57.25767272468188,nan,nan,True,True,False,False,True,True,52.39472471096087,250,0.01
0.76,0.6955031005859375,0.6,adamw,0.76,0.6955031005859375,0.003,0.005,False,0.95,row,adamw,2691274,0.95,0.2,0.2,0.2,0.8,top3k_adamw_rank2,0,True,250,ok,3000,56.83979328287658,nan,nan,True,True,False,False,True,True,52.779924534028396,250,0.02
0.8222,0.5385531494140625,0.6,soda_pmuoneq,0.8222,0.5396130004882812,0.014,0.005,False,0.95,row,sodamuseeq,2691274,0.95,0.05,0.05,0.05,0.8,top3k_soda_pmuoneq_rank1,0,True,500,ok,3000,43.41252433290475,nan,nan,False,True,False,False,True,True,69.10448185401037,500,0.0
0.8082,0.5751604736328125,0.6,soda_pmuoneq,0.7976,0.6011298950195313,0.016,0.005,False,0.95,row,sodamuseeq,2691274,0.95,0.025,0.025,0.025,0.8,top3k_soda_pmuoneq_rank2,0,True,500,ok,3000,42.905476849579586,nan,nan,False,True,False,False,True,True,69.92114341293927,500,0.0
0.8338,0.5329827270507812,0.6,normuon_base,0.8338,0.5329827270507812,0.006,0.005,False,0.9,row,sodamuseeq,2691274,0.95,0.0,0.0,0.0,0.8,top3k_normuon_base_rank1,0,False,500,ok,3000,46.16994066912101,nan,nan,False,True,False,True,False,False,64.97734145901632,500,0.02
0.8312,0.5207761108398438,0.6,normuon_base,0.8312,0.5207761108398438,0.006,0.005,False,0.98,row,sodamuseeq,2691274,0.95,0.0,0.0,0.0,0.8,top3k_normuon_base_rank2,0,False,500,ok,3000,46.20576181333543,nan,nan,False,True,False,True,False,False,64.92696759593673,500,0.0
0.8094,0.555540625,0.6,soda_pmuoneq_normuon_aspect,0.8074,0.5681945617675781,0.014,0.005,True,0.95,row,sodamuseeq,2691274,0.9,0.0,0.0,0.35,0.8,top3k_soda_pmuoneq_normuon_aspect_rank1,0,True,500,ok,3000,42.71322330973672,nan,nan,False,True,False,True,True,True,70.23586064309347,500,0.0
0.821,0.5155278930664062,0.6,soda_pmuoneq_normuon_aspect,0.8184,0.5432542541503906,0.012,0.005,True,0.9,row,sodamuseeq,2691274,0.9,0.0,0.0,0.15,0.8,top3k_soda_pmuoneq_normuon_aspect_rank2,0,True,500,ok,3000,42.195777178572264,nan,nan,False,True,False,True,True,True,71.0971618629992,500,0.0
