amuse_beta,amuse_lr,best_val_acc,best_val_loss,bin,examples_per_sec,fallback_count,fwd_bwd_ms,matrix_count,max_memory_mb,mimuon_active_frac,normuon_applied_count,normuon_second_moment_mean,optimizer_ms,pmuoneq_factor_count,pmuoneq_left_count,pmuoneq_right_count,row_dead_frac,row_update_cv,run_name,soda_applied_count,soda_lambda,soda_replaces_weight_decay,sodamuseeq_step,step,step_ms,stiefel_defect,train_eval_acc,train_eval_loss,train_interval_acc,train_interval_loss,val_acc,val_loss
,,0.6846,0.89337314453125,1,14966.676239988969,,16.11570118656382,,1501.2431640625,,,,0.6590359623543918,,,,,,final10k_adamw_rank1_seed0,,,,,1250,17.104666119255125,,0.7004,0.8434702880859375,0.56555625,1.1974653552055359,0.6846,0.89337314453125
,,0.7588,0.714970361328125,2,15285.041101961428,,15.856504812277853,,1501.2431640625,,,,0.6028860642574727,,,,,,final10k_adamw_rank1_seed0,,,,,2500,16.74840115197003,,0.777,0.6074885498046875,0.731309375,0.7549208440303803,0.7588,0.714970361328125
,,0.7832,0.6176521484375,3,15298.47910003054,,15.834165043011307,,1501.2431640625,,,,0.6073820628225803,,,,,,final10k_adamw_rank1_seed0,,,,,3750,16.73368955999613,,0.831,0.46549369506835936,0.801,0.5619916261672974,0.7832,0.6176521484375
,,0.8084,0.5814949462890625,4,15243.722084975987,,15.89163988828659,,1501.2431640625,,,,0.608861078787595,,,,,,final10k_adamw_rank1_seed0,,,,,5000,16.79379869122058,,0.8816,0.35190521240234374,0.8459125,0.43380973068475726,0.8084,0.5814949462890625
,,0.8114,0.5814949462890625,5,15294.574968086135,,15.81801424305886,,1501.2431640625,,,,0.6129345294088125,,,,,,final10k_adamw_rank1_seed0,,,,,6250,16.73796104397625,,0.9134,0.24206069030761718,0.8808,0.3345961869597435,0.8114,0.61275244140625
,,0.8172,0.5814949462890625,6,15318.870367109312,,15.806942781154067,,1501.2431640625,,,,0.6065432681702078,,,,,,final10k_adamw_rank1_seed0,,,,,7500,16.711414997652174,,0.9268,0.20161274108886718,0.90695625,0.2597657059788704,0.8172,0.6128470458984375
,,0.8252,0.5814949462890625,7,15323.78050565027,,15.823645750992,,1501.2431640625,,,,0.5906956904567778,,,,,,final10k_adamw_rank1_seed0,,,,,8750,16.706060224864633,,0.9498,0.13634759674072267,0.9262625,0.20585510452389716,0.8252,0.6400006225585938
,,0.8252,0.5814949462890625,8,15186.067134989695,,15.934007490053773,,1501.2431640625,,,,0.5978948248550295,,,,,,final10k_adamw_rank1_seed0,,,,,10000,16.857557504810394,,0.9554,0.1318149887084961,0.939690625,0.16834897556900977,0.8188,0.6814598388671875
,,0.6686,0.9443201782226562,1,14880.81941545614,,16.216409680899233,,1501.2431640625,,,,0.6558877779170871,,,,,,final10k_adamw_rank1_seed1,,,,,1250,17.203353716805577,,0.6772,0.9021421875,0.560478125,1.2083912801742553,0.6686,0.9443201782226562
,,0.7374,0.7497246337890625,2,15201.039254289317,,15.979259931854903,,1501.2431640625,,,,0.5728858357295394,,,,,,final10k_adamw_rank1_seed1,,,,,2500,16.840953813586385,,0.7614,0.6608095703125,0.7173125,0.7919520503044128,0.7374,0.7497246337890625
,,0.7696,0.6968556518554687,3,15111.528089118196,,16.060754022561014,,1501.2431640625,,,,0.5875162641517818,,,,,,final10k_adamw_rank1_seed1,,,,,3750,16.94070900641382,,0.8216,0.5010500305175781,0.78870625,0.5957260052442551,0.7696,0.6968556518554687
