amuse,avg_step_ms,best_val_acc,best_val_loss,col_gamma,elapsed_sec,epoch,examples_per_sec,fallback_beta1,fallback_beta2,fallback_lr_mult,fallback_mode,fallback_weight_decay,gpu,lr,lr_final_scale,lr_schedule,max_memory_mb,mimuon,mimuon_mix,momentum,normuon,normuon_aspect_scale,normuon_beta,opt_fallback_count,opt_group_count,opt_matrix_count,opt_soda_weight,optimizer,overall_examples_per_sec,pmuon_beta,pmuon_eq,root_grouping,root_normuon_mode,row_gamma,seed,sfplus_adamc_decay,sfplus_beta1,sfplus_beta1_anneal_steps,sfplus_beta1_max,sfplus_beta_anneal,sfplus_c_warmup,sfplus_c_warmup_enabled,sfplus_inner_momentum,sfplus_polyak,sfplus_polyak_beta,sfplus_r,sfplus_weight_lr_power,soda,split_seed,step,step_timing,test_acc,test_examples,test_loss,torch,train_acc,train_examples,train_loss,train_val_size,trial,type,use_gram,val_acc,val_examples,val_loss,val_source,weight_decay,wsd_decay_frac
False,17.52889221943594,87.94,0.4087536143302917,0.0,85.18727728398517,49,27100.510306736378,0.9,0.99,0.5,adamc,0.0,NVIDIA RTX PRO 6000 Blackwell Workstation Edition,0.01,0.1,wsd,1124.701171875,False,0.85,0.95,True,False,0.93,40.0,2.0,20.0,0.00022983222247759135,root,29208.919399498463,0.9,True,named,row,0.35,123,False,0.9,0,0.965,False,0,False,False,False,0.0,0.0,2.0,all,12345,4350,cuda_synchronized,87.24,10000,0.4230945903778076,2.13.0.dev20260506+cu130,93.26508620689656,45000,0.18819266232265824,5000,final_root_fallback_adamc_fallback_adamc_wsd_lr0.01_flr0.5_b20.99,epoch,True,87.94,5000,0.416379914188385,train_split,0.05,0.2
False,17.506062184251718,88.52,0.3782028006076813,0.0,85.19202036398929,49,26482.92230427722,0.9,0.95,0.5,atan2,0.0,NVIDIA RTX PRO 6000 Blackwell Workstation Edition,0.014,0.1,wsd,1124.701171875,False,0.85,0.95,True,False,0.93,40.0,2.0,20.0,0.00022983222247759135,root,29247.01138446716,0.9,True,named,row,0.35,123,False,0.9,0,0.965,False,0,False,False,False,0.0,0.0,2.0,all,12345,4350,cuda_synchronized,88.1,10000,0.39961824507713317,2.13.0.dev20260506+cu130,92.85874640804597,45000,0.20012864042287584,5000,final_root_fallback_atan2_fallback_atan2_wsd_lr0.014_flr0.5_b20.95,epoch,True,88.52,5000,0.3782028006076813,train_split,0.05,0.2
False,16.06598905461637,88.0,0.3855787575721741,0.0,78.28159520798363,49,28620.92176209048,0.9,0.95,1.0,rms,0.0,NVIDIA RTX PRO 6000 Blackwell Workstation Edition,0.012,0.1,wsd,1124.677734375,False,0.85,0.95,True,False,0.93,40.0,2.0,20.0,0.00022983222247759135,root,31868.56397445901,0.9,True,named,row,0.35,123,False,0.9,0,0.965,False,0,False,False,False,0.0,0.0,2.0,all,12345,4350,cuda_synchronized,87.13,10000,0.4404556679725647,2.13.0.dev20260506+cu130,93.25161637931035,45000,0.18987486537160544,5000,final_root_fallback_rms_fallback_rms_control_wsd_lr0.012_flr1_b2_0.95,epoch,True,88.0,5000,0.41184199557304385,train_split,0.05,0.2
