best_val_acc,best_val_loss,cuda,dataset,eval_every,fallback_lr_mult,fallback_mode,family,final_lr_scale,final_train_loss,final_val_acc,final_val_loss,gpu_name,lr,mean_step_time_ms,median_step_time_ms,name,normuon_beta2,param_count,pmuoneq_beta,row_gamma,seed,soda_lambda_power,soda_lambda_scale,steps,tokens_per_sec,torch,train_bytes,val_bytes,wall_time_sec,warmup_steps,weight_decay,wsd_decay_frac
0.594940185546875,1.373064085841179,13.0,wikitext-103-raw-v1,100,0.5,atan2,muon,0.1,1.3717434406280518,0.594940185546875,1.373064085841179,NVIDIA RTX PRO 6000 Blackwell Workstation Edition,0.002,17.20545635165763,16.92584401462227,muon_lr0.002,0.93,49424640,0.9,0.25,123,1.0,1.0,800,238064.0138966949,2.13.0.dev20260506+cu130,32000000,1148008,14.006680299993604,20,0.05,0.2
0.568267822265625,1.4840099811553955,13.0,wikitext-103-raw-v1,100,0.5,atan2,anchormuon,0.1,1.4931610822677612,0.568267822265625,1.4840099811553955,NVIDIA RTX PRO 6000 Blackwell Workstation Edition,0.0004,15.460855815326795,15.094741014763713,anchor_lr0.0004_rg0_pb0.9_nb0.93_flr0.5_atan2,0.93,49424640,0.9,0.0,123,1.0,1.0,800,264927.1197484111,2.13.0.dev20260506+cu130,32000000,1148008,12.608949122019112,20,0.05,0.2
0.567779541015625,1.4837895184755325,13.0,wikitext-103-raw-v1,100,0.5,atan2,anchormuon,0.1,1.4921455383300781,0.567779541015625,1.4837895184755325,NVIDIA RTX PRO 6000 Blackwell Workstation Edition,0.0004,15.621865464490838,15.278355509508401,anchor_lr0.0004_rg0.15_pb0.9_nb0.93_flr0.5_atan2,0.93,49424640,0.9,0.15,123,1.0,1.0,800,262196.59933126305,2.13.0.dev20260506+cu130,32000000,1148008,12.73864517500624,20,0.05,0.2
0.56756591796875,1.4842001497745514,13.0,wikitext-103-raw-v1,100,0.5,atan2,anchormuon,0.1,1.492875099182129,0.56756591796875,1.4842001497745514,NVIDIA RTX PRO 6000 Blackwell Workstation Edition,0.0004,15.49481731679407,15.11510054115206,anchor_lr0.0004_rg0.25_pb0.9_nb0.93_flr0.5_atan2,0.93,49424640,0.9,0.25,123,1.0,1.0,800,264346.45315634325,2.13.0.dev20260506+cu130,32000000,1148008,12.636107406113297,20,0.05,0.2
0.5677490234375,1.484012097120285,13.0,wikitext-103-raw-v1,100,0.5,atan2,anchormuon,0.1,1.4927072525024414,0.5677490234375,1.484012097120285,NVIDIA RTX PRO 6000 Blackwell Workstation Edition,0.0004,15.70088442589622,15.317854937165976,anchor_lr0.0004_rg0.35_pb0.9_nb0.93_flr0.5_atan2,0.93,49424640,0.9,0.35,123,1.0,1.0,800,260877.02379646024,2.13.0.dev20260506+cu130,32000000,1148008,12.804951878031716,20,0.05,0.2
0.57562255859375,1.4428405910730362,13.0,wikitext-103-raw-v1,100,0.5,atan2,anchormuon,0.1,1.4522467851638794,0.57562255859375,1.4428405910730362,NVIDIA RTX PRO 6000 Blackwell Workstation Edition,0.0006,15.52925635871361,15.121389471460134,anchor_lr0.0006_rg0_pb0.9_nb0.93_flr0.5_atan2,0.93,49424640,0.9,0.0,123,1.0,1.0,800,263760.2152598695,2.13.0.dev20260506+cu130,32000000,1148008,12.662946567987092,20,0.05,0.2
0.575592041015625,1.442447006702423,13.0,wikitext-103-raw-v1,100,0.5,atan2,anchormuon,0.1,1.4455431699752808,0.575592041015625,1.442447006702423,NVIDIA RTX PRO 6000 Blackwell Workstation Edition,0.0006,15.667450936452953,15.326697030104697,anchor_lr0.0006_rg0.15_pb0.9_nb0.93_flr0.5_atan2,0.93,49424640,0.9,0.15,123,1.0,1.0,800,261433.72119774565,2.13.0.dev20260506+cu130,32000000,1148008,12.77878314408008,20,0.05,0.2
0.576416015625,1.443265587091446,13.0,wikitext-103-raw-v1,100,0.5,atan2,anchormuon,0.1,1.4477508068084717,0.576416015625,1.443265587091446,NVIDIA RTX PRO 6000 Blackwell Workstation Edition,0.0006,15.517330510774627,15.125148987863213,anchor_lr0.0006_rg0.25_pb0.9_nb0.93_flr0.5_atan2,0.93,49424640,0.9,0.25,123,1.0,1.0,800,263962.9282340734,2.13.0.dev20260506+cu130,32000000,1148008,12.660393998026848,20,0.05,0.2
0.576690673828125,1.4432456195354462,13.0,wikitext-103-raw-v1,100,0.5,atan2,anchormuon,0.1,1.4477533102035522,0.576690673828125,1.4432456195354462,NVIDIA RTX PRO 6000 Blackwell Workstation Edition,0.0006,15.656203425751299,15.305484004784375,anchor_lr0.0006_rg0.35_pb0.9_nb0.93_flr0.5_atan2,0.93,49424640,0.9,0.35,123,1.0,1.0,800,261621.5367553864,2.13.0.dev20260506+cu130,32000000,1148008,12.769140660995618,20,0.05,0.2
0.58160400390625,1.4241442531347275,13.0,wikitext-103-raw-v1,100,0.5,atan2,anchormuon,0.1,1.429545283317566,0.58160400390625,1.4241442531347275,NVIDIA RTX PRO 6000 Blackwell Workstation Edition,0.0008,15.4686298755405,15.111626940779388,anchor_lr0.0008_rg0_pb0.9_nb0.93_flr0.5_atan2,0.93,49424640,0.9,0.0,123,1.0,1.0,800,264793.97548174113,2.13.0.dev20260506+cu130,32000000,1148008,12.614417340024374,20,0.05,0.2
0.583251953125,1.422507718205452,13.0,wikitext-103-raw-v1,100,0.5,atan2,anchormuon,0.1,1.4252103567123413,0.583251953125,1.422507718205452,NVIDIA RTX PRO 6000 Blackwell Workstation Edition,0.0008,15.650747172621777,15.309653535950929,anchor_lr0.0008_rg0.15_pb0.9_nb0.93_flr0.5_atan2,0.93,49424640,0.9,0.15,123,1.0,1.0,800,261712.74475414373,2.13.0.dev20260506+cu130,32000000,1148008,12.7641937850276,20,0.05,0.2
0.58306884765625,1.421689048409462,13.0,wikitext-103-raw-v1,100,0.5,atan2,anchormuon,0.1,1.4227266311645508,0.58306884765625,1.421689048409462,NVIDIA RTX PRO 6000 Blackwell Workstation Edition,0.0008,15.528787697840016,15.143819968216121,anchor_lr0.0008_rg0.25_pb0.9_nb0.93_flr0.5_atan2,0.93,49424640,0.9,0.25,123,1.0,1.0,800,263768.1755781705,2.13.0.dev20260506+cu130,32000000,1148008,12.673966716043651,20,0.05,0.2
0.582427978515625,1.4224516302347183,13.0,wikitext-103-raw-v1,100,0.5,atan2,anchormuon,0.1,1.4299066066741943,0.582427978515625,1.4224516302347183,NVIDIA RTX PRO 6000 Blackwell Workstation Edition,0.0008,15.715488460118651,15.33334847772494,anchor_lr0.0008_rg0.35_pb0.9_nb0.93_flr0.5_atan2,0.93,49424640,0.9,0.35,123,1.0,1.0,800,260634.59690702322,2.13.0.dev20260506+cu130,32000000,1148008,12.817650716053322,20,0.05,0.2
0.585479736328125,1.4115187972784042,13.0,wikitext-103-raw-v1,100,0.5,atan2,anchormuon,0.1,1.4200358390808105,0.585479736328125,1.4115187972784042,NVIDIA RTX PRO 6000 Blackwell Workstation Edition,0.001,15.536600645718863,15.122381562832743,anchor_lr0.001_rg0_pb0.9_nb0.93_flr0.5_atan2,0.93,49424640,0.9,0.0,123,1.0,1.0,800,263635.5334993218,2.13.0.dev20260506+cu130,32000000,1148008,12.669675676967017,20,0.05,0.2
0.58514404296875,1.4097957611083984,13.0,wikitext-103-raw-v1,100,0.5,atan2,anchormuon,0.1,1.4179143905639648,0.58514404296875,1.4097957611083984,NVIDIA RTX PRO 6000 Blackwell Workstation Edition,0.001,15.643741601670627,15.303377585951239,anchor_lr0.001_rg0.15_pb0.9_nb0.93_flr0.5_atan2,0.93,49424640,0.9,0.15,123,1.0,1.0,800,261829.94479802583,2.13.0.dev20260506+cu130,32000000,1148008,12.759069083025679,20,0.05,0.2
0.584625244140625,1.4114181250333786,13.0,wikitext-103-raw-v1,100,0.5,atan2,anchormuon,0.1,1.420142412185669,0.584625244140625,1.4114181250333786,NVIDIA RTX PRO 6000 Blackwell Workstation Edition,0.001,15.509179952205159,15.141620533540845,anchor_lr0.001_rg0.25_pb0.9_nb0.93_flr0.5_atan2,0.93,49424640,0.9,0.25,123,1.0,1.0,800,264101.6489990249,2.13.0.dev20260506+cu130,32000000,1148008,12.65780286793597,20,0.05,0.2
0.585296630859375,1.4096666127443314,13.0,wikitext-103-raw-v1,100,0.5,atan2,anchormuon,0.1,1.4132964611053467,0.585296630859375,1.4096666127443314,NVIDIA RTX PRO 6000 Blackwell Workstation Edition,0.001,15.657139869726961,15.313621959649026,anchor_lr0.001_rg0.35_pb0.9_nb0.93_flr0.5_atan2,0.93,49424640,0.9,0.35,123,1.0,1.0,800,261605.8893310141,2.13.0.dev20260506+cu130,32000000,1148008,12.769244073075242,20,0.05,0.2
0.5882568359375,1.4039004743099213,13.0,wikitext-103-raw-v1,100,0.5,atan2,anchormuon,0.1,1.4095523357391357,0.5882568359375,1.4039004743099213,NVIDIA RTX PRO 6000 Blackwell Workstation Edition,0.00125,15.52109380136244,15.138654503971338,anchor_lr0.00125_rg0_pb0.9_nb0.93_flr0.5_atan2,0.93,49424640,0.9,0.0,123,1.0,1.0,800,263898.9269970428,2.13.0.dev20260506+cu130,32000000,1148008,12.65776790608652,20,0.05,0.2
0.587982177734375,1.4028273820877075,13.0,wikitext-103-raw-v1,100,0.5,atan2,anchormuon,0.1,1.4125044345855713,0.587982177734375,1.4028273820877075,NVIDIA RTX PRO 6000 Blackwell Workstation Edition,0.00125,15.66708574886434,15.313094947487116,anchor_lr0.00125_rg0.15_pb0.9_nb0.93_flr0.5_atan2,0.93,49424640,0.9,0.15,123,1.0,1.0,800,261439.81501453815,2.13.0.dev20260506+cu130,32000000,1148008,12.776866894913837,20,0.05,0.2
0.5863037109375,1.4012176990509033,13.0,wikitext-103-raw-v1,100,0.5,atan2,anchormuon,0.1,1.4111719131469727,0.5863037109375,1.4012176990509033,NVIDIA RTX PRO 6000 Blackwell Workstation Edition,0.00125,15.518578830669867,15.138257527723908,anchor_lr0.00125_rg0.25_pb0.9_nb0.93_flr0.5_atan2,0.93,49424640,0.9,0.25,123,1.0,1.0,800,263941.6949640352,2.13.0.dev20260506+cu130,32000000,1148008,12.654608536045998,20,0.05,0.2
0.588653564453125,1.399750605225563,13.0,wikitext-103-raw-v1,100,0.5,atan2,anchormuon,0.1,1.4090162515640259,0.588653564453125,1.399750605225563,NVIDIA RTX PRO 6000 Blackwell Workstation Edition,0.00125,15.64814728597412,15.306550019886345,anchor_lr0.00125_rg0.35_pb0.9_nb0.93_flr0.5_atan2,0.93,49424640,0.9,0.35,123,1.0,1.0,800,261756.22743986832,2.13.0.dev20260506+cu130,32000000,1148008,12.772324283025227,20,0.05,0.2
0.589874267578125,1.3938195705413818,13.0,wikitext-103-raw-v1,100,0.5,atan2,anchormuon,0.1,1.4029629230499268,0.589874267578125,1.3938195705413818,NVIDIA RTX PRO 6000 Blackwell Workstation Edition,0.0015,15.478772890055552,15.125497477129102,anchor_lr0.0015_rg0_pb0.9_nb0.93_flr0.5_atan2,0.93,49424640,0.9,0.0,123,1.0,1.0,800,264620.4598448178,2.13.0.dev20260506+cu130,32000000,1148008,12.622691613971256,20,0.05,0.2
0.590667724609375,1.3916176855564117,13.0,wikitext-103-raw-v1,100,0.5,atan2,anchormuon,0.1,1.4013649225234985,0.590667724609375,1.3916176855564117,NVIDIA RTX PRO 6000 Blackwell Workstation Edition,0.0015,15.64122744719498,15.300263010431081,anchor_lr0.0015_rg0.15_pb0.9_nb0.93_flr0.5_atan2,0.93,49424640,0.9,0.15,123,1.0,1.0,800,261872.0310684157,2.13.0.dev20260506+cu130,32000000,1148008,12.75604912894778,20,0.05,0.2
