best_val_acc,best_val_loss,cuda,dataset,ema_beta,ema_gamma,ema_rest_frac,ema_warmup_frac,eval_every,fallback_lr_mult,fallback_mode,family,final_lr_scale,final_train_loss,final_val_acc,final_val_loss,gpu_name,lr,mean_step_time_ms,median_step_time_ms,name,normuon_beta2,param_count,pmuoneq_beta,row_gamma,seed,soda_lambda_power,soda_lambda_scale,steps,tokenizer_mode,tokenizer_name,tokens_per_sec,torch,train_bytes,train_tokens,val_bytes,val_tokens,vocab_size,wall_time_sec,warmup_steps,weight_decay,wsd_decay_frac
0.147613525390625,6.5157908499240875,13.0,HuggingFaceFW/fineweb-edu/sample-10BT:train [gpt2],0.0,0.99,0.2,0.3,75,0.5,atan2,adamw,0.1,6.470743656158447,0.147613525390625,6.5157908499240875,NVIDIA RTX PRO 6000 Blackwell Workstation Edition,0.0002,15.39584229234606,15.105176949873567,tok_adamw_lr0.0002,0.93,51045888,0.9,0.25,123,1.0,1.0,600,hf,gpt2,266045.8533039338,2.13.0.dev20260506+cu130,0,8000000,0,524288,50257,9.896155683789402,100,0.05,0.2
0.1474151611328125,6.525684237480164,13.0,HuggingFaceFW/fineweb-edu/sample-10BT:train [gpt2],0.0,0.99,0.2,0.3,75,0.5,atan2,adamatan2,0.1,6.482017517089844,0.1474151611328125,6.525684237480164,NVIDIA RTX PRO 6000 Blackwell Workstation Edition,0.0002,16.154217557050288,15.878723002970219,tok_adamatan2_lr0.0002,0.93,51045888,0.9,0.25,123,1.0,1.0,600,hf,gpt2,253556.07509522224,2.13.0.dev20260506+cu130,0,8000000,0,524288,50257,10.349125680979341,100,0.05,0.2
0.149658203125,6.447798132896423,13.0,HuggingFaceFW/fineweb-edu/sample-10BT:train [gpt2],0.0,0.99,0.2,0.3,75,0.5,atan2,adamw,0.1,6.392102241516113,0.149658203125,6.447798132896423,NVIDIA RTX PRO 6000 Blackwell Workstation Edition,0.0003,15.42584174972338,15.145377954468131,tok_adamw_lr0.0003,0.93,51045888,0.9,0.25,123,1.0,1.0,600,hf,gpt2,265528.45974019216,2.13.0.dev20260506+cu130,0,8000000,0,524288,50257,9.915922141866758,100,0.05,0.2
0.149627685546875,6.4539065062999725,13.0,HuggingFaceFW/fineweb-edu/sample-10BT:train [gpt2],0.0,0.99,0.2,0.3,75,0.5,atan2,adamatan2,0.1,6.3982744216918945,0.149627685546875,6.4539065062999725,NVIDIA RTX PRO 6000 Blackwell Workstation Edition,0.0003,16.19218190200627,15.922409482300282,tok_adamatan2_lr0.0003,0.93,51045888,0.9,0.25,123,1.0,1.0,600,hf,gpt2,252961.58509017807,2.13.0.dev20260506+cu130,0,8000000,0,524288,50257,10.378039902076125,100,0.05,0.2
0.1502838134765625,6.41261288523674,13.0,HuggingFaceFW/fineweb-edu/sample-10BT:train [gpt2],0.0,0.99,0.2,0.3,75,0.5,atan2,adamw,0.1,6.345386505126953,0.1502838134765625,6.41261288523674,NVIDIA RTX PRO 6000 Blackwell Workstation Edition,0.0004,15.456426712529113,15.171292936429381,tok_adamw_lr0.0004,0.93,51045888,0.9,0.25,123,1.0,1.0,600,hf,gpt2,265003.0357068071,2.13.0.dev20260506+cu130,0,8000000,0,524288,50257,9.938554198946804,100,0.05,0.2
0.1505889892578125,6.415669083595276,13.0,HuggingFaceFW/fineweb-edu/sample-10BT:train [gpt2],0.0,0.99,0.2,0.3,75,0.5,atan2,adamatan2,0.1,6.351803779602051,0.1505889892578125,6.415669083595276,NVIDIA RTX PRO 6000 Blackwell Workstation Edition,0.0004,16.220937977001693,15.953602502122521,tok_adamatan2_lr0.0004,0.93,51045888,0.9,0.25,123,1.0,1.0,600,hf,gpt2,252513.14109007598,2.13.0.dev20260506+cu130,0,8000000,0,524288,50257,10.392550270073116,100,0.05,0.2
0.1489715576171875,6.398351937532425,13.0,HuggingFaceFW/fineweb-edu/sample-10BT:train [gpt2],0.0,0.99,0.2,0.3,75,0.5,atan2,adamw,0.1,6.332671165466309,0.1489715576171875,6.398351937532425,NVIDIA RTX PRO 6000 Blackwell Workstation Edition,0.0005,15.484235595989352,15.18898957874626,tok_adamw_lr0.0005,0.93,51045888,0.9,0.25,123,1.0,1.0,600,hf,gpt2,264527.1040089913,2.13.0.dev20260506+cu130,0,8000000,0,524288,50257,9.956203025998548,100,0.05,0.2
0.149932861328125,6.401304751634598,13.0,HuggingFaceFW/fineweb-edu/sample-10BT:train [gpt2],0.0,0.99,0.2,0.3,75,0.5,atan2,adamatan2,0.1,6.340213775634766,0.149932861328125,6.401304751634598,NVIDIA RTX PRO 6000 Blackwell Workstation Edition,0.0005,16.247083162888885,15.98024251870811,tok_adamatan2_lr0.0005,0.93,51045888,0.9,0.25,123,1.0,1.0,600,hf,gpt2,252106.79104271246,2.13.0.dev20260506+cu130,0,8000000,0,524288,50257,10.409638864919543,100,0.05,0.2
0.1691436767578125,6.127737909555435,13.0,HuggingFaceFW/fineweb-edu/sample-10BT:train [gpt2],0.0,0.99,0.2,0.3,75,0.5,atan2,muon,0.1,5.984749794006348,0.1691436767578125,6.127737909555435,NVIDIA RTX PRO 6000 Blackwell Workstation Edition,0.0008,21.43847952480428,21.06224640738219,tok_muon_lr0.0008,0.93,51045888,0.9,0.25,123,1.0,1.0,600,hf,gpt2,191058.3255338111,2.13.0.dev20260506+cu130,0,8000000,0,524288,50257,13.525892856065184,100,0.05,0.2
0.171112060546875,6.076772630214691,13.0,HuggingFaceFW/fineweb-edu/sample-10BT:train [gpt2],0.0,0.99,0.2,0.3,75,0.5,atan2,muon,0.1,5.946540832519531,0.171112060546875,6.076772630214691,NVIDIA RTX PRO 6000 Blackwell Workstation Edition,0.001,21.439519876536604,21.084720501676202,tok_muon_lr0.001,0.93,51045888,0.9,0.25,123,1.0,1.0,600,hf,gpt2,191049.05443720592,2.13.0.dev20260506+cu130,0,8000000,0,524288,50257,13.524844665080309,100,0.05,0.2
