amuse,avg_step_ms,best_val_acc,best_val_loss,col_gamma,elapsed_sec,ema_beta,ema_gamma,ema_rest_frac,ema_warmup_frac,epoch,examples_per_sec,external_lr,fallback_beta1,fallback_beta2,fallback_lr_mult,fallback_mode,fallback_weight_decay,gpu,lr,lr_final_scale,lr_schedule,max_memory_mb,mimuon,mimuon_mix,momentum,muown_mag_lr_mult,normuon,normuon_aspect_scale,normuon_beta,opt_fallback_count,opt_group_count,opt_matrix_count,opt_soda_weight,optimizer,overall_examples_per_sec,pmuon_beta,pmuon_eq,root_grouping,root_normuon_mode,row_gamma,seed,sfplus_adamc_decay,sfplus_beta1,sfplus_beta1_anneal_steps,sfplus_beta1_max,sfplus_beta_anneal,sfplus_c_warmup,sfplus_c_warmup_enabled,sfplus_inner_momentum,sfplus_polyak,sfplus_polyak_beta,sfplus_r,sfplus_weight_lr_power,soda,split_seed,step,step_timing,test_examples,torch,train_acc,train_examples,train_loss,train_val_size,trial,type,use_gram,val_acc,val_examples,val_loss,val_source,weight_decay,wsd_decay_frac
True,21.56509548069738,68.46,0.8827983568191529,0.0,25.241183934966102,0.15,0.995,0.1,0.2,11,22542.216674263007,False,0.9,0.95,0.25,rms,0.0,NVIDIA RTX PRO 6000 Blackwell Workstation Edition,0.006,0.1,cosine,1126.47607421875,False,0.85,0.95,0.5,False,False,0.95,,,,,ema_muown,23742.069700469638,0.95,True,anchor,row,0.2,123,False,0.9,0,0.965,False,0,False,False,False,0.0,0.0,2.0,matrix,12345,1044,cuda_synchronized,10000,2.13.0.dev20260506+cu130,67.1740301724138,45000,0.918390739923236,5000,ema_muown_cosine_lr0.006_wd0_flr0.25_mag0.5_b0.15_g0.995,epoch,True,68.46,5000,0.8827983568191529,train_split,0.0,0.2
True,21.497087281953785,68.38,0.883123973941803,0.0,25.11961993109435,0.1,0.995,0.1,0.2,11,21948.869673471636,False,0.9,0.95,0.25,rms,0.0,NVIDIA RTX PRO 6000 Blackwell Workstation Edition,0.006,0.1,cosine,1126.47607421875,False,0.85,0.95,0.5,False,False,0.95,,,,,ema_muown,23817.18012699376,0.95,True,anchor,row,0.2,123,False,0.9,0,0.965,False,0,False,False,False,0.0,0.0,2.0,matrix,12345,1044,cuda_synchronized,10000,2.13.0.dev20260506+cu130,67.14035560344827,45000,0.9182018918552618,5000,ema_muown_cosine_lr0.006_wd0_flr0.25_mag0.5_b0.1_g0.995,epoch,True,68.38,5000,0.883123973941803,train_split,0.0,0.2
True,21.366148291225276,67.86,0.8897419289588928,0.0,24.979393027024344,0.03,0.995,0.1,0.2,11,23191.0033057349,False,0.9,0.95,0.25,rms,0.0,NVIDIA RTX PRO 6000 Blackwell Workstation Edition,0.006,0.1,cosine,1126.47607421875,False,0.85,0.95,1.0,False,False,0.95,,,,,ema_muown,23963.139870664938,0.95,True,anchor,row,0.2,123,False,0.9,0,0.965,False,0,False,False,False,0.0,0.0,2.0,matrix,12345,1044,cuda_synchronized,10000,2.13.0.dev20260506+cu130,67.6544540229885,45000,0.9038717226050366,5000,ema_muown_cosine_lr0.006_wd0_flr0.25_mag1_b0.03_g0.995,epoch,True,67.86,5000,0.8897419289588928,train_split,0.0,0.2
True,21.769291678910996,67.9,0.8888099659919739,0.0,25.408773706993088,0.06,0.995,0.1,0.2,11,22514.40289456233,False,0.9,0.95,0.25,rms,0.0,NVIDIA RTX PRO 6000 Blackwell Workstation Edition,0.006,0.1,cosine,1126.47607421875,False,0.85,0.95,1.0,False,False,0.95,,,,,ema_muown,23519.36882245921,0.95,True,anchor,row,0.2,123,False,0.9,0,0.965,False,0,False,False,False,0.0,0.0,2.0,matrix,12345,1044,cuda_synchronized,10000,2.13.0.dev20260506+cu130,67.64996408045977,45000,0.9037471612294515,5000,ema_muown_cosine_lr0.006_wd0_flr0.25_mag1_b0.06_g0.995,epoch,True,67.9,5000,0.8888099659919739,train_split,0.0,0.2
True,21.384287432194743,68.04,0.8919991136550903,0.0,24.974659326020628,0.15,0.995,0.1,0.2,11,22911.307361620562,False,0.9,0.95,0.25,rms,0.0,NVIDIA RTX PRO 6000 Blackwell Workstation Edition,0.006,0.1,cosine,1126.47607421875,False,0.85,0.95,1.0,False,False,0.95,,,,,ema_muown,23942.813227864088,0.95,True,anchor,row,0.2,123,False,0.9,0,0.965,False,0,False,False,False,0.0,0.0,2.0,matrix,12345,1044,cuda_synchronized,10000,2.13.0.dev20260506+cu130,67.52873563218391,45000,0.9036674383042873,5000,ema_muown_cosine_lr0.006_wd0_flr0.25_mag1_b0.15_g0.995,epoch,True,68.04,5000,0.8919991136550903,train_split,0.0,0.2
True,21.43672740437497,67.92,0.8920828597068786,0.0,25.03471438214183,0.1,0.995,0.1,0.2,11,22320.12623272809,False,0.9,0.95,0.25,rms,0.0,NVIDIA RTX PRO 6000 Blackwell Workstation Edition,0.006,0.1,cosine,1126.47607421875,False,0.85,0.95,1.0,False,False,0.95,,,,,ema_muown,23884.242699074817,0.95,True,anchor,row,0.2,123,False,0.9,0,0.965,False,0,False,False,False,0.0,0.0,2.0,matrix,12345,1044,cuda_synchronized,10000,2.13.0.dev20260506+cu130,67.48608117816092,45000,0.9037925224194582,5000,ema_muown_cosine_lr0.006_wd0_flr0.25_mag1_b0.1_g0.995,epoch,True,67.92,5000,0.8920828597068786,train_split,0.0,0.2
True,21.470921569712587,68.7,0.8736168313026428,0.0,25.113508539972827,0.03,0.995,0.1,0.2,11,22610.30701260496,False,0.9,0.95,0.5,rms,0.0,NVIDIA RTX PRO 6000 Blackwell Workstation Edition,0.006,0.1,cosine,1126.47607421875,False,0.85,0.95,0.5,False,False,0.95,,,,,ema_muown,23846.205126203797,0.95,True,anchor,row,0.2,123,False,0.9,0,0.965,False,0,False,False,False,0.0,0.0,2.0,matrix,12345,1044,cuda_synchronized,10000,2.13.0.dev20260506+cu130,67.12239583333333,45000,0.9174879988034567,5000,ema_muown_cosine_lr0.006_wd0_flr0.5_mag0.5_b0.03_g0.995,epoch,True,68.7,5000,0.8736168313026428,train_split,0.0,0.2
True,21.5725398981958,68.64,0.8676227592468262,0.0,25.23679961496964,0.06,0.995,0.1,0.2,11,22677.692350570214,False,0.9,0.95,0.5,rms,0.0,NVIDIA RTX PRO 6000 Blackwell Workstation Edition,0.006,0.1,cosine,1126.47607421875,False,0.85,0.95,0.5,False,False,0.95,,,,,ema_muown,23733.876604989877,0.95,True,anchor,row,0.2,123,False,0.9,0,0.965,False,0,False,False,False,0.0,0.0,2.0,matrix,12345,1044,cuda_synchronized,10000,2.13.0.dev20260506+cu130,67.13362068965517,45000,0.9181614470207828,5000,ema_muown_cosine_lr0.006_wd0_flr0.5_mag0.5_b0.06_g0.995,epoch,True,68.64,5000,0.8676227592468262,train_split,0.0,0.2
True,21.10711783656879,68.78,0.8664384702682495,0.0,24.68559330399148,0.15,0.995,0.1,0.2,11,24510.208919776593,False,0.9,0.95,0.5,rms,0.0,NVIDIA RTX PRO 6000 Blackwell Workstation Edition,0.006,0.1,cosine,1126.47607421875,False,0.85,0.95,0.5,False,False,0.95,,,,,ema_muown,24257.21995605401,0.95,True,anchor,row,0.2,123,False,0.9,0,0.965,False,0,False,False,False,0.0,0.0,2.0,matrix,12345,1044,cuda_synchronized,10000,2.13.0.dev20260506+cu130,67.08647629310344,45000,0.9180934059208837,5000,ema_muown_cosine_lr0.006_wd0_flr0.5_mag0.5_b0.15_g0.995,epoch,True,68.78,5000,0.8664384702682495,train_split,0.0,0.2
True,21.2234540961119,68.86,0.8669104380607605,0.0,24.879979088902473,0.1,0.995,0.1,0.2,11,22684.372734168475,False,0.9,0.95,0.5,rms,0.0,NVIDIA RTX PRO 6000 Blackwell Workstation Edition,0.006,0.1,cosine,1126.47607421875,False,0.85,0.95,0.5,False,False,0.95,,,,,ema_muown,24124.254123827915,0.95,True,anchor,row,0.2,123,False,0.9,0,0.965,False,0,False,False,False,0.0,0.0,2.0,matrix,12345,1044,cuda_synchronized,10000,2.13.0.dev20260506+cu130,67.07525143678161,45000,0.9179473738560732,5000,ema_muown_cosine_lr0.006_wd0_flr0.5_mag0.5_b0.1_g0.995,epoch,True,68.86,5000,0.8669104380607605,train_split,0.0,0.2
