amuse,avg_step_ms,best_val_acc,best_val_loss,col_gamma,elapsed_sec,epoch,examples_per_sec,gpu,lr,lr_schedule,max_memory_mb,mimuon,mimuon_mix,momentum,normuon,normuon_aspect_scale,normuon_beta,opt_beta,opt_lr,opt_matrix_params,opt_mimuon_params,opt_normuon_aspect_params,opt_normuon_params,opt_params,opt_step,opt_sync_diagnostics,optimizer,overall_examples_per_sec,pmuon_beta,pmuon_eq,row_gamma,seed,soda,split_seed,step,step_timing,test_acc,test_examples,test_loss,torch,train_acc,train_examples,train_loss,train_val_size,trial,type,val_acc,val_examples,val_loss,val_source,weight_decay
True,44.40240662370343,16.6015625,2.1616973876953125,0.0,0.6875903920736164,0,1805.731128851819,NVIDIA RTX PRO 6000 Blackwell Workstation Edition,0.004,cosine,340.6337890625,False,0.85,0.95,False,False,0.95,,,,,,,,,,adamw,2882.726629769421,0.95,True,0.2,123,matrix,12345,8,cpu_launch_unsynchronized,20.5078125,512,2.1279144287109375,2.13.0.dev20260506+cu130,10.7421875,1024,2.2818527221679688,5000,adamw_cosine_lr0.004_wd0.001,epoch,16.6015625,512,2.1616973876953125,train_split,0.001
False,57.586446637287736,12.3046875,2.2879791259765625,0.05,0.8365637479582801,0,1495.7776840786246,NVIDIA RTX PRO 6000 Blackwell Workstation Edition,0.008,cosine,342.44091796875,False,0.85,0.95,True,False,0.95,1.0,0.008,18.0,0.0,0.0,18.0,60.0,8.0,0.0,anchormuon,2222.7452373683855,0.9,True,0.35,123,all,12345,8,cpu_launch_unsynchronized,11.1328125,512,2.2854156494140625,2.13.0.dev20260506+cu130,8.69140625,1024,2.3178634643554688,5000,normuon_mlr0.008_rg0.35_cg0.05_mom0.95_pb0.9_nb0.95,epoch,11.71875,512,2.29364013671875,train_split,0.05
