batch,best_val_accuracy,best_val_loss,elapsed_s,epoch,event,examples_per_s_interval,mean_step_s_interval,overall_examples_per_s,progress,step,train_loss,train_loss_interval,trial,val_accuracy,val_loss
2,,,,1,step,,,,,100,1.458536148071289,,adamw_lr0.0025_wd0.005,,
5,,,,2,step,,,,,200,1.3101329803466797,,adamw_lr0.0025_wd0.005,,
8,,,,3,step,,,,,300,1.2563977241516113,,adamw_lr0.0025_wd0.005,,
11,,,,4,step,,,,,400,1.203897476196289,,adamw_lr0.0025_wd0.005,,
14,,,,5,step,,,,,500,1.1089630126953125,,adamw_lr0.0025_wd0.005,,
17,,,,6,step,,,,,600,1.0584981441497803,,adamw_lr0.0025_wd0.005,,
,0.6525,0.9746345092773437,19.08881688094698,7,bin,16254.235202706712,0.020406155157742082,25090.46883365226,0.12494845360824743,606,,1.2695247987315994,adamw_lr0.0025_wd0.005,0.6525,0.9746345092773437
20,,,,7,step,,,,,700,0.9738457798957825,,adamw_lr0.0025_wd0.005,,
23,,,,8,step,,,,,800,0.9105308055877686,,adamw_lr0.0025_wd0.005,,
26,,,,9,step,,,,,900,0.969968318939209,,adamw_lr0.0025_wd0.005,,
29,,,,10,step,,,,,1000,0.8552556037902832,,adamw_lr0.0025_wd0.005,,
32,,,,11,step,,,,,1100,0.8447062969207764,,adamw_lr0.0025_wd0.005,,
35,,,,12,step,,,,,1200,0.7325789928436279,,adamw_lr0.0025_wd0.005,,
,0.7425,0.7312813980102539,37.82216772693209,13,bin,16562.711463384287,0.020172802679910763,25234.753541399226,0.24989690721649485,1212,,0.8777699004305471,adamw_lr0.0025_wd0.005,0.7425,0.7312813980102539
38,,,,13,step,,,,,1300,0.7696911096572876,,adamw_lr0.0025_wd0.005,,
41,,,,14,step,,,,,1400,0.7002995014190674,,adamw_lr0.0025_wd0.005,,
44,,,,15,step,,,,,1500,0.7914689183235168,,adamw_lr0.0025_wd0.005,,
47,,,,16,step,,,,,1600,0.6564708352088928,,adamw_lr0.0025_wd0.005,,
50,,,,17,step,,,,,1700,0.5934027433395386,,adamw_lr0.0025_wd0.005,,
53,,,,18,step,,,,,1800,0.5695022344589233,,adamw_lr0.0025_wd0.005,,
,0.7717,0.6554815994262695,56.68299524998292,19,bin,16477.84663706557,0.01954275725027347,25548.522255446558,0.3750515463917526,1819,,0.6826851862855563,adamw_lr0.0025_wd0.005,0.7717,0.6554815994262695
56,,,,19,step,,,,,1900,0.5831884145736694,,adamw_lr0.0025_wd0.005,,
59,,,,20,step,,,,,2000,0.6281930208206177,,adamw_lr0.0025_wd0.005,,
62,,,,21,step,,,,,2100,0.6019335389137268,,adamw_lr0.0025_wd0.005,,
65,,,,22,step,,,,,2200,0.5683579444885254,,adamw_lr0.0025_wd0.005,,
68,,,,23,step,,,,,2300,0.5824254155158997,,adamw_lr0.0025_wd0.005,,
