adam_lr,best_val_accuracy,best_val_loss,col_gamma,display_lr,elapsed_s,final_train_loss_interval,final_val_accuracy,final_val_loss,gpu,lr,matrix_lr,mean_step_s,momentum,name,normuon_aspect_scale,normuon_beta2,normuon_mode,optimizer,overall_examples_per_s,pmuoneq_beta,row_gamma,seed,steps,torch,weight_decay
0.0008,0.8312,0.5535214309692382,0.05,0.0025,153.86326247092802,0.2504974589882904,0.8312,0.5817118576049805,NVIDIA RTX PRO 6000 Blackwell Max-Q Workstation Edition,0.0025,0.008,0.01958778859709015,0.95,adamw_lr0.0025_wd0.005,True,0.93,row,adamw,26138.734215053748,0.9,0.35,789,4850,2.13.0.dev20260513+cu130,0.005
0.0008,0.8712,0.40594579544067383,0.0,0.008,172.46307329495903,0.23437479467871952,0.8712,0.40594579544067383,NVIDIA RTX PRO 6000 Blackwell Max-Q Workstation Edition,0.0,0.008,0.03452078903890839,0.95,orientation_aspect_mlr0.008_rg0.3_cg0_nb0.95,True,0.95,orientation,soda_pmuoneq_normuon,14831.642446611655,0.9,0.3,789,4850,2.13.0.dev20260513+cu130,0.005
0.0008,0.8748,0.3961338577270508,0.05,0.008,174.96506565401796,0.23495388982614668,0.8748,0.3961338577270508,NVIDIA RTX PRO 6000 Blackwell Max-Q Workstation Edition,0.0,0.008,0.03504064024651673,0.95,orientation_aspect_mlr0.008_rg0.4_cg0.05_nb0.93,True,0.93,orientation,soda_pmuoneq_normuon,14611.605164688628,0.9,0.4,789,4850,2.13.0.dev20260513+cu130,0.005
0.0008,0.8739,0.3884666221618652,0.05,0.008,176.43254348798655,0.22626534647772414,0.8657,0.43476004486083986,NVIDIA RTX PRO 6000 Blackwell Max-Q Workstation Edition,0.0,0.008,0.03535856821917516,0.95,orientation_noaspect_mlr0.008_rg0.4_cg0.05_nb0.93,False,0.93,orientation,soda_pmuoneq_normuon,14480.224335620564,0.9,0.4,789,4850,2.13.0.dev20260513+cu130,0.005
0.0008,0.8728,0.39641626892089843,0.05,0.008,173.173690313939,0.23766390059647388,0.8722,0.40858232040405273,NVIDIA RTX PRO 6000 Blackwell Max-Q Workstation Edition,0.0,0.008,0.03466248011566967,0.95,row_aspect_mlr0.008_rg0.35_cg0.05_nb0.93,True,0.93,row,soda_pmuoneq_normuon,14771.014604016838,0.9,0.35,789,4850,2.13.0.dev20260513+cu130,0.005
0.0008,0.8765,0.40286879425048827,0.05,0.008,178.11167314799968,0.2361564243046364,0.8765,0.40286879425048827,NVIDIA RTX PRO 6000 Blackwell Max-Q Workstation Edition,0.0,0.008,0.0356495294511347,0.95,row_aspect_mlr0.008_rg0.4_cg0.05_nb0.93,True,0.93,row,soda_pmuoneq_normuon,14362.040898795183,0.9,0.4,789,4850,2.13.0.dev20260513+cu130,0.005
0.0008,0.8754,0.40413894119262694,0.0,0.008,170.22320519806817,0.23243910617659194,0.8754,0.40413894119262694,NVIDIA RTX PRO 6000 Blackwell Max-Q Workstation Edition,0.0,0.008,0.03409121031109628,0.95,row_noaspect_mlr0.008_rg0.3_cg0_nb0.95,False,0.95,row,soda_pmuoneq_normuon,15018.533966022032,0.9,0.3,789,4850,2.13.0.dev20260513+cu130,0.005
