batch,best_val_accuracy,best_val_loss,elapsed_s,epoch,event,examples_per_s_interval,mean_step_s_interval,overall_examples_per_s,progress,step,train_loss,train_loss_interval,trial,val_accuracy,val_loss
37,,,,46,step,,,,,4500,0.23449699580669403,,adamw_lr0.0025_wd0.005,,
40,,,,47,step,,,,,4600,0.27780523896217346,,adamw_lr0.0025_wd0.005,,
43,,,,48,step,,,,,4700,0.2566621005535126,,adamw_lr0.0025_wd0.005,,
46,,,,49,step,,,,,4800,0.24802356958389282,,adamw_lr0.0025_wd0.005,,
,0.8303,0.5475664367675781,149.92062107101083,50,bin,16013.959320054506,0.019259042038563823,26876.431643618263,1.0,4850,,0.2720724435480121,adamw_lr0.0025_wd0.005,0.8303,0.560826026916504
2,,,,1,step,,,,,100,1.3507404327392578,,orientation_aspect_mlr0.008_rg0.3_cg0_nb0.95,,
5,,,,2,step,,,,,200,1.3058438301086426,,orientation_aspect_mlr0.008_rg0.3_cg0_nb0.95,,
8,,,,3,step,,,,,300,1.202425479888916,,orientation_aspect_mlr0.008_rg0.3_cg0_nb0.95,,
11,,,,4,step,,,,,400,1.0558311939239502,,orientation_aspect_mlr0.008_rg0.3_cg0_nb0.95,,
14,,,,5,step,,,,,500,1.0387191772460938,,orientation_aspect_mlr0.008_rg0.3_cg0_nb0.95,,
17,,,,6,step,,,,,600,0.8210484981536865,,orientation_aspect_mlr0.008_rg0.3_cg0_nb0.95,,
,0.7095,0.8301707458496094,21.935504297027364,7,bin,14144.82203288393,0.034719682816322275,14746.678496708519,0.12494845360824743,606,,1.2397353035388607,orientation_aspect_mlr0.008_rg0.3_cg0_nb0.95,0.7095,0.8301707458496094
20,,,,7,step,,,,,700,0.7629683017730713,,orientation_aspect_mlr0.008_rg0.3_cg0_nb0.95,,
23,,,,8,step,,,,,800,0.8388339877128601,,orientation_aspect_mlr0.008_rg0.3_cg0_nb0.95,,
26,,,,9,step,,,,,900,0.7375572919845581,,orientation_aspect_mlr0.008_rg0.3_cg0_nb0.95,,
29,,,,10,step,,,,,1000,0.6552073359489441,,orientation_aspect_mlr0.008_rg0.3_cg0_nb0.95,,
32,,,,11,step,,,,,1100,0.6454803943634033,,orientation_aspect_mlr0.008_rg0.3_cg0_nb0.95,,
35,,,,12,step,,,,,1200,0.734528124332428,,orientation_aspect_mlr0.008_rg0.3_cg0_nb0.95,,
,0.7836,0.6256637588500976,43.05505725101102,13,bin,14691.360885071152,0.033915894054930666,14919.3763158839,0.24989690721649485,1212,,0.7287139677175201,orientation_aspect_mlr0.008_rg0.3_cg0_nb0.95,0.7836,0.6256637588500976
38,,,,13,step,,,,,1300,0.6473873853683472,,orientation_aspect_mlr0.008_rg0.3_cg0_nb0.95,,
41,,,,14,step,,,,,1400,0.47935187816619873,,orientation_aspect_mlr0.008_rg0.3_cg0_nb0.95,,
44,,,,15,step,,,,,1500,0.5532044768333435,,orientation_aspect_mlr0.008_rg0.3_cg0_nb0.95,,
47,,,,16,step,,,,,1600,0.5188153386116028,,orientation_aspect_mlr0.008_rg0.3_cg0_nb0.95,,
50,,,,17,step,,,,,1700,0.511084794998169,,orientation_aspect_mlr0.008_rg0.3_cg0_nb0.95,,
53,,,,18,step,,,,,1800,0.4926187992095947,,orientation_aspect_mlr0.008_rg0.3_cg0_nb0.95,,
,0.8319,0.4856597732543945,64.57236862601712,19,bin,14443.511111871792,0.03447544787104412,14896.539158280671,0.3750515463917526,1819,,0.5353610094826933,orientation_aspect_mlr0.008_rg0.3_cg0_nb0.95,0.8319,0.4856597732543945
56,,,,19,step,,,,,1900,0.4123861491680145,,orientation_aspect_mlr0.008_rg0.3_cg0_nb0.95,,
59,,,,20,step,,,,,2000,0.4496521055698395,,orientation_aspect_mlr0.008_rg0.3_cg0_nb0.95,,
62,,,,21,step,,,,,2100,0.4527556598186493,,orientation_aspect_mlr0.008_rg0.3_cg0_nb0.95,,
65,,,,22,step,,,,,2200,0.37435346841812134,,orientation_aspect_mlr0.008_rg0.3_cg0_nb0.95,,
68,,,,23,step,,,,,2300,0.42856407165527344,,orientation_aspect_mlr0.008_rg0.3_cg0_nb0.95,,
71,,,,24,step,,,,,2400,0.3901805579662323,,orientation_aspect_mlr0.008_rg0.3_cg0_nb0.95,,
,0.8488,0.44520537185668946,85.8973912410438,25,bin,14549.740621722167,0.03423673860773309,14911.029807810806,0.5,2425,,0.43246671242682455,orientation_aspect_mlr0.008_rg0.3_cg0_nb0.95,0.8488,0.44520537185668946
74,,,,25,step,,,,,2500,0.43891850113868713,,orientation_aspect_mlr0.008_rg0.3_cg0_nb0.95,,
77,,,,26,step,,,,,2600,0.38827601075172424,,orientation_aspect_mlr0.008_rg0.3_cg0_nb0.95,,
80,,,,27,step,,,,,2700,0.4439345896244049,,orientation_aspect_mlr0.008_rg0.3_cg0_nb0.95,,
83,,,,28,step,,,,,2800,0.3414885103702545,,orientation_aspect_mlr0.008_rg0.3_cg0_nb0.95,,
86,,,,29,step,,,,,2900,0.4049164354801178,,orientation_aspect_mlr0.008_rg0.3_cg0_nb0.95,,
89,,,,30,step,,,,,3000,0.36370623111724854,,orientation_aspect_mlr0.008_rg0.3_cg0_nb0.95,,
,0.8571,0.43007882537841796,107.29276106401812,32,bin,14501.912457394754,0.03432243220160774,14912.294549271588,0.6249484536082475,3031,,0.363284762887278,orientation_aspect_mlr0.008_rg0.3_cg0_nb0.95,0.8571,0.43007882537841796
92,,,,31,step,,,,,3100,0.341594398021698,,orientation_aspect_mlr0.008_rg0.3_cg0_nb0.95,,
95,,,,32,step,,,,,3200,0.32159483432769775,,orientation_aspect_mlr0.008_rg0.3_cg0_nb0.95,,
1,,,,34,step,,,,,3300,0.29731249809265137,,orientation_aspect_mlr0.008_rg0.3_cg0_nb0.95,,
4,,,,35,step,,,,,3400,0.25823894143104553,,orientation_aspect_mlr0.008_rg0.3_cg0_nb0.95,,
7,,,,36,step,,,,,3500,0.27112874388694763,,orientation_aspect_mlr0.008_rg0.3_cg0_nb0.95,,
10,,,,37,step,,,,,3600,0.2669246196746826,,orientation_aspect_mlr0.008_rg0.3_cg0_nb0.95,,
,0.8689,0.3900567024230957,128.75646184606012,38,bin,14479.591390516944,0.03440304509271243,14907.298893677198,0.7501030927835052,3638,,0.31201758907104443,orientation_aspect_mlr0.008_rg0.3_cg0_nb0.95,0.8689,0.3900567024230957
13,,,,38,step,,,,,3700,0.3007814884185791,,orientation_aspect_mlr0.008_rg0.3_cg0_nb0.95,,
16,,,,39,step,,,,,3800,0.25696858763694763,,orientation_aspect_mlr0.008_rg0.3_cg0_nb0.95,,
19,,,,40,step,,,,,3900,0.2574310898780823,,orientation_aspect_mlr0.008_rg0.3_cg0_nb0.95,,
22,,,,41,step,,,,,4000,0.23209959268569946,,orientation_aspect_mlr0.008_rg0.3_cg0_nb0.95,,
25,,,,42,step,,,,,4100,0.2655389606952667,,orientation_aspect_mlr0.008_rg0.3_cg0_nb0.95,,
28,,,,43,step,,,,,4200,0.23427557945251465,,orientation_aspect_mlr0.008_rg0.3_cg0_nb0.95,,
,0.8689,0.3900567024230957,150.05093283799943,44,bin,14570.65602274277,0.03417395307642497,14917.944001074113,0.8750515463917525,4244,,0.2741664637482599,orientation_aspect_mlr0.008_rg0.3_cg0_nb0.95,0.8677,0.413529719543457
31,,,,44,step,,,,,4300,0.27284809947013855,,orientation_aspect_mlr0.008_rg0.3_cg0_nb0.95,,
34,,,,45,step,,,,,4400,0.22033454477787018,,orientation_aspect_mlr0.008_rg0.3_cg0_nb0.95,,
37,,,,46,step,,,,,4500,0.2744348645210266,,orientation_aspect_mlr0.008_rg0.3_cg0_nb0.95,,
