adam_lr,best_val_accuracy,best_val_loss,col_gamma,display_lr,elapsed_s,final_train_loss_interval,final_val_accuracy,final_val_loss,gpu,lr,matrix_lr,mean_step_s,momentum,name,normuon_aspect_scale,normuon_beta2,normuon_mode,optimizer,overall_examples_per_s,pmuoneq_beta,row_gamma,seed,steps,torch,weight_decay
0.0008,0.8303,0.5475664367675781,0.05,0.0025,149.9208125990117,0.2720724435480121,0.8303,0.560826026916504,NVIDIA RTX PRO 6000 Blackwell Max-Q Workstation Edition,0.0025,0.008,0.019050147980547598,0.95,adamw_lr0.0025_wd0.005,True,0.93,row,adamw,26876.431643618263,0.9,0.35,34000,4850,2.13.0.dev20260513+cu130,0.005
0.0008,0.8689,0.3900567024230957,0.0,0.008,171.29216147505213,0.24403870499173408,0.8655,0.4256081153869629,NVIDIA RTX PRO 6000 Blackwell Max-Q Workstation Edition,0.0,0.008,0.03429654401599804,0.95,orientation_aspect_mlr0.008_rg0.3_cg0_nb0.95,True,0.95,orientation,soda_pmuoneq_normuon,14928.617873601823,0.9,0.3,34000,4850,2.13.0.dev20260513+cu130,0.005
0.0008,0.8695,0.39769871368408205,0.05,0.008,173.16225167596713,0.23963847338366429,0.8643,0.42599895477294925,NVIDIA RTX PRO 6000 Blackwell Max-Q Workstation Edition,0.0,0.008,0.03468859545495265,0.95,orientation_aspect_mlr0.008_rg0.4_cg0.05_nb0.93,True,0.93,orientation,soda_pmuoneq_normuon,14759.894232814762,0.9,0.4,34000,4850,2.13.0.dev20260513+cu130,0.005
0.0008,0.8725,0.39690271377563474,0.05,0.008,173.63511693303008,0.22752593007713262,0.8725,0.39690271377563474,NVIDIA RTX PRO 6000 Blackwell Max-Q Workstation Edition,0.0,0.008,0.03478358679926311,0.95,orientation_noaspect_mlr0.008_rg0.4_cg0.05_nb0.93,False,0.93,orientation,soda_pmuoneq_normuon,14719.58607819153,0.9,0.4,34000,4850,2.13.0.dev20260513+cu130,0.005
0.0008,0.8716,0.40357578887939455,0.05,0.008,171.79275383101776,0.24637215732052775,0.8716,0.40357578887939455,NVIDIA RTX PRO 6000 Blackwell Max-Q Workstation Edition,0.0,0.008,0.03440810514750804,0.95,row_aspect_mlr0.008_rg0.35_cg0.05_nb0.93,True,0.93,row,soda_pmuoneq_normuon,14880.214932064659,0.9,0.35,34000,4850,2.13.0.dev20260513+cu130,0.005
0.0008,0.8648,0.4264057228088379,0.05,0.008,172.89388654800132,0.2507220304543429,0.8648,0.4276362854003906,NVIDIA RTX PRO 6000 Blackwell Max-Q Workstation Edition,0.0,0.008,0.034620582847855984,0.95,row_aspect_mlr0.008_rg0.4_cg0.05_nb0.93,True,0.93,row,soda_pmuoneq_normuon,14788.89024630351,0.9,0.4,34000,4850,2.13.0.dev20260513+cu130,0.005
0.0008,0.8649,0.4214436592102051,0.0,0.008,170.2184524249751,0.23792965427385304,0.863,0.43372174224853516,NVIDIA RTX PRO 6000 Blackwell Max-Q Workstation Edition,0.0,0.008,0.034064270297243,0.95,row_noaspect_mlr0.008_rg0.3_cg0_nb0.95,False,0.95,row,soda_pmuoneq_normuon,15030.411499565833,0.9,0.3,34000,4850,2.13.0.dev20260513+cu130,0.005
