best_val_acc,best_val_loss,cuda,dataset,ema_beta,ema_gamma,ema_rest_frac,ema_warmup_frac,eval_every,fallback_lr_mult,fallback_mode,family,final_full_eval_batches,final_full_val_acc,final_full_val_loss,final_lr_scale,final_train_loss,final_val_acc,final_val_loss,gpu_name,lr,mean_step_time_ms,median_step_time_ms,muown_mag_lr_mult,name,normuon_beta2,pace_beta2,pace_c,pace_kappa,pace_precond,pace_update_freq,param_count,pmuoneq_beta,row_gamma,seed,soda_lambda_power,soda_lambda_scale,steps,tokenizer_mode,tokenizer_name,tokens_per_sec,torch,train_bytes,train_tokens,val_bytes,val_tokens,vocab_size,wall_time_sec,warmup_steps,weight_decay,wsd_decay_frac
0.2565155029296875,4.968877762556076,12.9,HuggingFaceFW/fineweb-edu/sample-10BT:train [gpt2],0.0,0.99,0.2,0.3,1000,0.5,atan2,pace_muon_normuon,256,0.2598438262939453,5.037150748074055,0.1,3.8753488063812256,0.2565155029296875,4.968877762556076,NVIDIA GeForce RTX 5090,0.0016,30.932319870751144,30.890535499565885,1.0,final_pace_muon_normuon_lr0.0016_nb0.93_c0.003_k0.3,0.93,0.999,0.003,0.3,adam,1,51045888,0.9,0.25,123,1.0,1.0,8000,hf,gpt2,132418.13149207341,2.9.0.dev20250806+cu129,0,8000000,0,524288,50257,250.25510291499995,100,0.05,0.2
0.2566070556640625,4.953325241804123,12.9,HuggingFaceFW/fineweb-edu/sample-10BT:train [gpt2],0.0,0.99,0.2,0.3,1000,0.5,atan2,pace_muon_normuon,256,0.2603931427001953,5.020519506186247,0.1,3.8715734481811523,0.2566070556640625,4.955056816339493,NVIDIA GeForce RTX 5090,0.0016,31.114647645007835,31.084503000784025,1.0,final_pace_muon_normuon_lr0.0016_nb0.93_c0.003_k0.5,0.93,0.999,0.003,0.5,adam,1,51045888,0.9,0.25,123,1.0,1.0,8000,hf,gpt2,131642.17852414536,2.9.0.dev20250806+cu129,0,8000000,0,524288,50257,251.73038039700077,100,0.05,0.2
0.249176025390625,4.914362907409668,12.9,HuggingFaceFW/fineweb-edu/sample-10BT:train [gpt2],0.0,0.99,0.2,0.3,1000,0.5,atan2,muon_soda,256,0.2518424987792969,4.972155347466469,0.1,3.659623622894287,0.249176025390625,4.914362907409668,NVIDIA GeForce RTX 5090,0.0016,23.641332299137503,23.645741999644088,1.0,final_muon_soda_lr0.0016_soda0.001,0.93,0.999,0.0,0.5,adam,1,51045888,0.9,0.25,123,1.0,0.001,8000,hf,gpt2,173255.88711214185,2.9.0.dev20250806+cu129,0,8000000,0,524288,50257,191.92897401900154,100,0.05,0.2
0.2491912841796875,4.903097569942474,12.9,HuggingFaceFW/fineweb-edu/sample-10BT:train [gpt2],0.0,0.99,0.2,0.3,1000,0.5,atan2,muon_soda,256,0.2518749237060547,4.965975923463702,0.1,3.657360792160034,0.2491912841796875,4.903097569942474,NVIDIA GeForce RTX 5090,0.0016,23.871546523118013,23.847778999879665,1.0,final_muon_soda_lr0.0016_soda0.01,0.93,0.999,0.0,0.5,adam,1,51045888,0.9,0.25,123,1.0,0.01,8000,hf,gpt2,171585.02889761646,2.9.0.dev20250806+cu129,0,8000000,0,524288,50257,193.78931423499853,100,0.05,0.2
0.2529449462890625,4.8506796061992645,12.9,HuggingFaceFW/fineweb-edu/sample-10BT:train [gpt2],0.0,0.99,0.2,0.3,1000,0.5,atan2,muon_pmuoneq,256,0.2558755874633789,4.906588202342391,0.1,3.6667745113372803,0.2529449462890625,4.8506796061992645,NVIDIA GeForce RTX 5090,0.0016,24.5528927276207,24.54289700017398,1.0,final_muon_pmuoneq_lr0.0016_rg0.55,0.93,0.999,0.0,0.5,adam,1,51045888,0.9,0.55,123,1.0,1.0,8000,hf,gpt2,166823.52036638913,2.9.0.dev20250806+cu129,0,8000000,0,524288,50257,199.2196124200018,100,0.05,0.2
0.2535400390625,4.8536955416202545,12.9,HuggingFaceFW/fineweb-edu/sample-10BT:train [gpt2],0.0,0.99,0.2,0.3,1000,0.5,atan2,muon_pmuoneq,256,0.2558126449584961,4.913800081238151,0.1,3.650705575942993,0.2535400390625,4.8536955416202545,NVIDIA GeForce RTX 5090,0.0016,24.77994241513329,24.748039000769495,1.0,final_muon_pmuoneq_lr0.0016_rg0.35,0.93,0.999,0.0,0.5,adam,1,51045888,0.9,0.35,123,1.0,1.0,8000,hf,gpt2,165294.97653305857,2.9.0.dev20250806+cu129,0,8000000,0,524288,50257,201.05219502399996,100,0.05,0.2
0.256317138671875,4.982510507106781,12.9,HuggingFaceFW/fineweb-edu/sample-10BT:train [gpt2],0.0,0.99,0.2,0.3,1000,0.5,atan2,muon_normuon,256,0.2591848373413086,5.046455653384328,0.1,3.846316337585449,0.256317138671875,4.982510507106781,NVIDIA GeForce RTX 5090,0.0016,27.133490146885833,27.083754000159388,1.0,final_muon_normuon_lr0.0016_nb0.93,0.93,0.999,0.0,0.5,adam,1,51045888,0.9,0.25,123,1.0,1.0,8000,hf,gpt2,150957.35851991404,2.9.0.dev20250806+cu129,0,8000000,0,524288,50257,219.8647317319992,100,0.05,0.2
0.2557373046875,4.993392765522003,12.9,HuggingFaceFW/fineweb-edu/sample-10BT:train [gpt2],0.0,0.99,0.2,0.3,1000,0.5,atan2,muon_normuon,256,0.2595062255859375,5.054687174037099,0.1,3.9478468894958496,0.2557373046875,4.993392765522003,NVIDIA GeForce RTX 5090,0.0016,27.254837349623813,27.21998050037655,1.0,final_muon_normuon_lr0.0016_nb0.9,0.9,0.999,0.0,0.5,adam,1,51045888,0.9,0.25,123,1.0,1.0,8000,hf,gpt2,150285.2483563449,2.9.0.dev20250806+cu129,0,8000000,0,524288,50257,220.84801273099947,100,0.05,0.2
0.25054931640625,4.85690438747406,12.9,HuggingFaceFW/fineweb-edu/sample-10BT:train [gpt2],0.0,0.99,0.2,0.3,1000,0.5,atan2,pace_muon,256,0.2540884017944336,4.946627244353294,0.1,3.6546530723571777,0.25054931640625,4.886736661195755,NVIDIA GeForce RTX 5090,0.0016,26.991207047644366,26.943587999994634,1.0,final_pace_muon_lr0.0016_wd0_c0.001_k0.5,0.93,0.999,0.001,0.5,adam,1,51045888,0.9,0.25,123,1.0,1.0,8000,hf,gpt2,151753.12437008906,2.9.0.dev20250806+cu129,0,8000000,0,524288,50257,218.7509722930008,100,0.0,0.2
0.2545623779296875,4.820195913314819,12.9,HuggingFaceFW/fineweb-edu/sample-10BT:train [gpt2],0.0,0.99,0.2,0.3,1000,0.5,atan2,pace_muon,256,0.2568540573120117,4.887454042211175,0.1,3.6779704093933105,0.2545623779296875,4.8256009221076965,NVIDIA GeForce RTX 5090,0.0016,27.445988588500995,27.412632500272593,1.0,final_pace_muon_lr0.0016_wd0.05_c0.001_k0.5,0.93,0.999,0.001,0.5,adam,1,51045888,0.9,0.25,123,1.0,1.0,8000,hf,gpt2,149238.56675055585,2.9.0.dev20250806+cu129,0,8000000,0,524288,50257,222.41752996800096,100,0.05,0.2
0.2548828125,4.821963757276535,12.9,HuggingFaceFW/fineweb-edu/sample-10BT:train [gpt2],0.0,0.99,0.2,0.3,1000,0.5,atan2,emaeval_muon,256,0.25727081298828125,4.886741271242499,0.1,3.68210768699646,0.2548828125,4.833818584680557,NVIDIA GeForce RTX 5090,0.0016,24.38400191049891,24.38685400011309,1.0,final_pace_emaeval_muon_lr0.0016_k0.5,0.93,0.999,0.0,0.5,adam,1,51045888,0.9,0.25,123,1.0,1.0,8000,hf,gpt2,167978.9894634319,2.9.0.dev20250806+cu129,0,8000000,0,524288,50257,197.88275194299968,100,0.05,0.2
0.253570556640625,4.85110080242157,12.9,HuggingFaceFW/fineweb-edu/sample-10BT:train [gpt2],0.0,0.99,0.2,0.3,1000,0.5,atan2,emaeval_muon,256,0.2559385299682617,4.9027460888028145,0.1,3.68210768699646,0.253570556640625,4.85110080242157,NVIDIA GeForce RTX 5090,0.0016,24.604658793135286,24.58153199950175,1.0,final_pace_emaeval_muon_lr0.0016_k0.3,0.93,0.999,0.0,0.3,adam,1,51045888,0.9,0.25,123,1.0,1.0,8000,hf,gpt2,166472.53816593412,2.9.0.dev20250806+cu129,0,8000000,0,524288,50257,199.67541559500023,100,0.05,0.2
0.2466278076171875,5.033439487218857,12.9,HuggingFaceFW/fineweb-edu/sample-10BT:train [gpt2],0.0,0.99,0.2,0.3,1000,0.5,atan2,pace_adamw,256,0.24872970581054688,5.105557542294264,0.1,4.611632347106934,0.2466278076171875,5.033439487218857,NVIDIA GeForce RTX 5090,0.0006,22.61393093024867,22.573739999643294,1.0,final_pace_adamw_lr0.0006_c0.03_k0.3,0.93,0.999,0.03,0.3,adam,1,51045888,0.9,0.25,123,1.0,1.0,8000,hf,gpt2,181127.28886604763,2.9.0.dev20250806+cu129,0,8000000,0,524288,50257,183.76856999200027,100,0.05,0.2
0.23931884765625,5.110822528600693,12.9,HuggingFaceFW/fineweb-edu/sample-10BT:train [gpt2],0.0,0.99,0.2,0.3,1000,0.5,atan2,pace_adamw,256,0.23990726470947266,5.197803236544132,0.1,4.749148368835449,0.23931884765625,5.110822528600693,NVIDIA GeForce RTX 5090,0.0006,22.814910861508906,22.784811999372323,1.0,final_pace_adamw_lr0.0006_c0.1_k0.3,0.93,0.999,0.1,0.3,adam,1,51045888,0.9,0.25,123,1.0,1.0,8000,hf,gpt2,179531.71173289008,2.9.0.dev20250806+cu129,0,8000000,0,524288,50257,185.39717320099953,100,0.05,0.2
0.2477264404296875,5.0263842940330505,12.9,HuggingFaceFW/fineweb-edu/sample-10BT:train [gpt2],0.0,0.99,0.2,0.3,1000,0.5,atan2,emaeval_adamw,256,0.25055980682373047,5.098271328955889,0.1,4.685718059539795,0.2477264404296875,5.0263842940330505,NVIDIA GeForce RTX 5090,0.0006,19.805965625386307,19.81295050063636,1.0,final_pace_emaeval_adamw_lr0.0006_k0.3,0.93,0.999,0.0,0.3,adam,1,51045888,0.9,0.25,123,1.0,1.0,8000,hf,gpt2,206806.37730431833,2.9.0.dev20250806+cu129,0,8000000,0,524288,50257,161.3378123470011,100,0.05,0.2
0.2481231689453125,5.006405383348465,12.9,HuggingFaceFW/fineweb-edu/sample-10BT:train [gpt2],0.0,0.99,0.2,0.3,1000,0.5,atan2,emaeval_adamw,256,0.2507362365722656,5.083566293120384,0.1,4.620248317718506,0.2481231689453125,5.006405383348465,NVIDIA GeForce RTX 5090,0.0005,19.958864881765066,19.927721000385645,1.0,final_pace_emaeval_adamw_lr0.0005_k0.3,0.93,0.999,0.0,0.3,adam,1,51045888,0.9,0.25,123,1.0,1.0,8000,hf,gpt2,205222.09175042872,2.9.0.dev20250806+cu129,0,8000000,0,524288,50257,162.61656042700088,100,0.05,0.2
0.24774169921875,5.010314911603928,12.9,HuggingFaceFW/fineweb-edu/sample-10BT:train [gpt2],0.0,0.99,0.2,0.3,1000,0.5,atan2,adamw,256,0.25052547454833984,5.0874177776277065,0.1,4.620248317718506,0.24774169921875,5.010314911603928,NVIDIA GeForce RTX 5090,0.0005,18.903724173631417,18.900289500379586,1.0,final_pace_ref_adamw_lr0.0005,0.93,0.999,0.0,0.5,adam,1,51045888,0.9,0.25,123,1.0,1.0,8000,hf,gpt2,216676.88135830197,2.9.0.dev20250806+cu129,0,8000000,0,524288,50257,154.19411504199888,100,0.05,0.2
0.2475738525390625,5.031458079814911,12.9,HuggingFaceFW/fineweb-edu/sample-10BT:train [gpt2],0.0,0.99,0.2,0.3,1000,0.5,atan2,adamw,256,0.2505645751953125,5.102593120187521,0.1,4.685718059539795,0.2475738525390625,5.031458079814911,NVIDIA GeForce RTX 5090,0.0006,19.06560210286989,19.04141749946575,1.0,final_pace_ref_adamw_lr0.0006,0.93,0.999,0.0,0.5,adam,1,51045888,0.9,0.25,123,1.0,1.0,8000,hf,gpt2,214837.16999335896,2.9.0.dev20250806+cu129,0,8000000,0,524288,50257,155.48853882000003,100,0.05,0.2
0.252899169921875,4.841693043708801,12.9,HuggingFaceFW/fineweb-edu/sample-10BT:train [gpt2],0.0,0.99,0.2,0.3,1000,0.5,atan2,muon,256,0.2557239532470703,4.897281082347035,0.1,3.694246768951416,0.252899169921875,4.841693043708801,NVIDIA GeForce RTX 5090,0.0018,23.491439202872698,23.482430000512977,1.0,final_pace_ref_muon_lr0.0018,0.93,0.999,0.0,0.5,adam,1,51045888,0.9,0.25,123,1.0,1.0,8000,hf,gpt2,174361.39031869586,2.9.0.dev20250806+cu129,0,8000000,0,524288,50257,190.78790957300043,100,0.05,0.2
0.2529449462890625,4.864627033472061,12.9,HuggingFaceFW/fineweb-edu/sample-10BT:train [gpt2],0.0,0.99,0.2,0.3,1000,0.5,atan2,muon,256,0.25529003143310547,4.916097657755017,0.1,3.68210768699646,0.2529449462890625,4.864627033472061,NVIDIA GeForce RTX 5090,0.0016,23.718122005492205,23.683264999817766,1.0,final_pace_ref_muon_lr0.0016,0.93,0.999,0.0,0.5,adam,1,51045888,0.9,0.25,123,1.0,1.0,8000,hf,gpt2,172694.95447622388,2.9.0.dev20250806+cu129,0,8000000,0,524288,50257,192.61644054599856,100,0.05,0.2
